repair_id,demand_id,covers
AR005,RC0052,0
AR006,RC0052,1
AR007,RC0052,0
AR001,RC0053,1
AR002,RC0053,1
AR003,RC0053,0
AR004,RC0053,1
AR005,RC0053,0
AR006,RC0053,1
AR007,RC0053,0
AR001,RC0054,1
AR002,RC0054,1
AR003,RC0054,0
AR004,RC0054,1
AR005,RC0054,0
AR006,RC0054,1
AR007,RC0054,0
AR001,RC0055,1
AR002,RC0055,1
AR003,RC0055,0
AR004,RC0055,1
AR005,RC0055,0
AR006,RC0055,1
AR007,RC0055,0
AR001,RC0056,1
AR002,RC0056,1
AR003,RC0056,0
AR004,RC0056,1
AR005,RC0056,0
AR006,RC0056,1
AR007,RC0056,0
AR001,RC0057,1
AR002,RC0057,1
AR003,RC0057,0
AR004,RC0057,1
AR005,RC0057,0
AR006,RC0057,1
AR007,RC0057,0
AR001,RC0058,1
AR002,RC0058,1
AR003,RC0058,0
AR004,RC0058,1
AR005,RC0058,0
AR006,RC0058,1
AR007,RC0058,0
AR001,RC0059,1
AR002,RC0059,1
AR003,RC0059,0
AR004,RC0059,1
AR005,RC0059,0
AR006,RC0059,1
AR007,RC0059,0
AR001,RC0060,1
AR002,RC0060,1
AR003,RC0060,0
AR004,RC0060,1
AR005,RC0060,0
AR006,RC0060,1
AR007,RC0060,0
AR001,RC0061,1
AR002,RC0061,1
AR003,RC0061,0
AR004,RC0061,1
AR005,RC0061,0
AR006,RC0061,1
AR007,RC0061,0
AR001,RC0062,1
AR002,RC0062,1
AR003,RC0062,0
AR004,RC0062,1
AR005,RC0062,0
AR006,RC0062,1
AR007,RC0062,0
AR001,RC0063,1
AR002,RC0063,1
AR003,RC0063,0
AR004,RC0063,1
AR005,RC0063,0
AR006,RC0063,1
AR007,RC0063,0
AR001,RC0064,1
AR002,RC0064,1
AR003,RC0064,0
AR004,RC0064,1
AR005,RC0064,0
AR006,RC0064,1
AR007,RC0064,0
AR001,RC0065,1
AR002,RC0065,1
AR003,RC0065,0
AR004,RC0065,1
AR005,RC0065,0
AR006,RC0065,1
AR007,RC0065,0
AR001,RC0066,1
AR002,RC0066,1
AR003,RC0066,0
AR004,RC0066,1
AR005,RC0066,0
AR006,RC0066,1
AR007,RC0066,0
AR001,RC0067,1
AR002,RC0067,1
AR003,RC0067,0
AR004,RC0067,1
AR005,RC0067,0
AR006,RC0067,1
AR007,RC0067,0
AR001,RC0068,1
AR002,RC0068,1
AR003,RC0068,0
AR004,RC0068,1
AR005,RC0068,0
AR006,RC0068,1
AR007,RC0068,0
AR001,RC0069,1
AR002,RC0069,1
AR003,RC0069,0
AR004,RC0069,1
AR005,RC0069,0
AR006,RC0069,1
AR007,RC0069,0
AR001,RC0070,1
AR002,RC0070,1
AR003,RC0070,0
AR004,RC0070,1
AR005,RC0070,0
AR006,RC0070,1
AR007,RC0070,0
AR001,RC0071,1
AR002,RC0071,1
AR003,RC0071,0
AR004,RC0071,1
AR005,RC0071,0
AR006,RC0071,1
AR007,RC0071,0
AR001,RC0072,1
AR002,RC0072,1
AR003,RC0072,0
AR004,RC0072,1
AR005,RC0072,0
AR006,RC0072,1
AR007,RC0072,0
AR001,RC0073,1
AR002,RC0073,1
AR003,RC0073,0
AR004,RC0073,0
AR005,RC0073,0
AR006,RC0073,1
AR007,RC0073,0
AR001,RC0074,1
AR002,RC0074,1
AR003,RC0074,0
AR004,RC0074,0
AR005,RC0074,0
AR006,RC0074,1
AR007,RC0074,0
AR001,RC0075,1
AR002,RC0075,1
AR003,RC0075,0
AR004,RC0075,0
AR005,RC0075,0
AR006,RC0075,1
AR007,RC0075,0
AR001,RC0076,1
AR002,RC0076,1
AR003,RC0076,0
AR004,RC0076,0
AR005,RC0076,0
AR006,RC0076,1
AR007,RC0076,0
AR001,RC0077,1
AR002,RC0077,1
AR003,RC0077,0
AR004,RC0077,0
AR005,RC0077,0
AR006,RC0077,1
AR007,RC0077,0
AR001,RC0078,1
AR002,RC0078,1
AR003,RC0078,0
AR004,RC0078,0
AR005,RC0078,0
AR006,RC0078,1
AR007,RC0078,0
AR001,RC0079,1
AR002,RC0079,1
AR003,RC0079,0
AR004,RC0079,0
AR005,RC0079,0
AR006,RC0079,1
AR007,RC0079,0
AR001,RC0080,1
AR002,RC0080,1
AR003,RC0080,0
AR004,RC0080,0
AR005,RC0080,0
AR006,RC0080,1
AR007,RC0080,0
AR001,RC0081,1
AR002,RC0081,1
AR003,RC0081,0
AR004,RC0081,0
AR005,RC0081,0
AR006,RC0081,1
AR007,RC0081,0
AR001,RC0082,1
AR002,RC0082,1
AR003,RC0082,0
AR004,RC0082,0
AR005,RC0082,0
AR006,RC0082,1
AR007,RC0082,0
AR001,RC0083,1
AR002,RC0083,1
AR003,RC0083,0
AR004,RC0083,0
AR005,RC0083,0
AR006,RC0083,1
AR007,RC0083,0
AR001,RC0084,1
AR002,RC0084,1
AR003,RC0084,0
AR004,RC0084,0
AR005,RC0084,0
AR006,RC0084,1
AR007,RC0084,0
AR001,RC0085,1
AR002,RC0085,1
AR003,RC0085,0
AR004,RC0085,0
AR005,RC0085,0
AR006,RC0085,1
AR007,RC0085,0
AR001,RC0086,1
AR002,RC0086,1
AR003,RC0086,0
AR004,RC0086,0
AR005,RC0086,0
AR006,RC0086,1
AR007,RC0086,0
AR001,RC0087,1
AR002,RC0087,1
AR003,RC0087,0
AR004,RC0087,0
AR005,RC0087,0
AR006,RC0087,1
AR007,RC0087,0
AR001,RC0088,1
AR002,RC0088,1
AR003,RC0088,0
AR004,RC0088,0
AR005,RC0088,0
AR006,RC0088,1
AR007,RC0088,0
AR001,RC0089,1
AR002,RC0089,1
AR003,RC0089,0
AR004,RC0089,0
AR005,RC0089,0
AR006,RC0089,1
AR007,RC0089,0
AR001,RC0090,1
AR002,RC0090,1
AR003,RC0090,0
AR004,RC0090,0
AR005,RC0090,0
AR006,RC0090,1
AR007,RC0090,0
AR001,RC0091,0
AR002,RC0091,0
AR003,RC0091,0
AR004,RC0091,0
AR005,RC0091,0
AR006,RC0091,1
AR007,RC0091,0
AR001,RC0092,0
AR002,RC0092,0
AR003,RC0092,0
AR004,RC0092,0
AR005,RC0092,0
AR006,RC0092,1
AR007,RC0092,0
AR001,RC0093,0
AR002,RC0093,0
AR003,RC0093,0
AR004,RC0093,0
AR005,RC0093,0
AR006,RC0093,1
AR007,RC0093,0
AR001,RC0094,1
AR002,RC0094,1
AR003,RC0094,0
AR004,RC0094,0
AR005,RC0094,0
AR006,RC0094,1
AR007,RC0094,0
AR001,RC0095,1
AR002,RC0095,1
AR003,RC0095,0
AR004,RC0095,0
AR005,RC0095,0
AR006,RC0095,1
AR007,RC0095,0
AR001,RC0096,1
AR002,RC0096,1
AR003,RC0096,0
AR004,RC0096,0
AR005,RC0096,0
AR006,RC0096,1
AR007,RC0096,0
AR001,RC0097,1
AR002,RC0097,1
AR003,RC0097,0
AR004,RC0097,0
AR005,RC0097,0
AR006,RC0097,1
AR007,RC0097,0
AR001,RC0098,1
AR002,RC0098,1
AR003,RC0098,0
AR004,RC0098,0
AR005,RC0098,0
AR006,RC0098,1
AR007,RC0098,0
AR001,RC0099,1
AR002,RC0099,1
AR003,RC0099,0
AR004,RC0099,0
AR005,RC0099,0
AR006,RC0099,1
AR007,RC0099,0
AR001,RC0100,1
AR002,RC0100,1
AR003,RC0100,0
AR004,RC0100,0
AR005,RC0100,0
AR006,RC0100,1
AR007,RC0100,0
AR001,RC0101,1
AR002,RC0101,1
AR003,RC0101,0
AR004,RC0101,0
AR005,RC0101,0
AR006,RC0101,1
AR007,RC0101,0
AR001,RC0102,1
AR002,RC0102,1
AR003,RC0102,0
AR004,RC0102,0
AR005,RC0102,0
AR006,RC0102,1
AR007,RC0102,0
AR001,RC0103,1
AR002,RC0103,1
AR003,RC0103,0
AR004,RC0103,0
AR005,RC0103,0
AR006,RC0103,1
AR007,RC0103,0
AR001,RC0104,1
AR002,RC0104,1
AR003,RC0104,0
AR004,RC0104,0
AR005,RC0104,0
AR006,RC0104,1
AR007,RC0104,0
AR001,RC0105,0
AR002,RC0105,0
AR003,RC0105,0
AR004,RC0105,0
AR005,RC0105,1
AR006,RC0105,1
AR007,RC0105,0
AR001,RC0106,1
AR002,RC0106,1
AR003,RC0106,0
AR004,RC0106,0
AR005,RC0106,0
AR006,RC0106,1
AR007,RC0106,0
AR001,RC0107,1
AR002,RC0107,1
AR003,RC0107,0
AR004,RC0107,0
AR005,RC0107,0
AR006,RC0107,1
AR007,RC0107,0
AR001,RC0108,0
AR002,RC0108,0
AR003,RC0108,0
AR004,RC0108,0
AR005,RC0108,1
AR006,RC0108,1
AR007,RC0108,0
