language,construct_id,construct,uast_structures,node_evidence,field_evidence,child_evidence,exact_producer_class,current_status
c,C028,Yield,YieldExpr,0,0,0,producer_017,MISSING_STRUCTURED_PARSER_DATA
c,C029,Try,TryStmt,0,0,0,producer_018,MISSING_STRUCTURED_PARSER_DATA
c,C030,CatchExcept,TryStmt,0,0,0,producer_018,MISSING_STRUCTURED_PARSER_DATA
c,C031,Finally,DeferCleanupStmt,0,0,0,producer_018,MISSING_STRUCTURED_PARSER_DATA
c,C032,ThrowRaisePanic,RaisePanicStmt;PanicRecover,0,0,0,producer_018,MISSING_STRUCTURED_PARSER_DATA
c,C033,DeferCleanup,DeferStmt;DeferCleanupStmt,0,0,0,producer_018,MISSING_STRUCTURED_PARSER_DATA
c,C034,Async,ConcurrencyOp,0,0,0,producer_019,MISSING_STRUCTURED_PARSER_DATA
c,C035,Await,AwaitExpr,0,0,0,producer_019,MISSING_STRUCTURED_PARSER_DATA
c,C036,SpawnTask,SpawnStmt;ConcurrencyOp,0,0,0,producer_019,MISSING_STRUCTURED_PARSER_DATA
c,C037,Class,NominalTypeDecl,0,0,0,producer_020,MISSING_STRUCTURED_PARSER_DATA
c,C038,StructRecord,RecordTypeDecl,0,0,0,producer_020,MISSING_STRUCTURED_PARSER_DATA
c,C039,InterfaceTraitProtocol,InterfaceTypeDecl;InterfaceType,0,0,0,producer_020,MISSING_STRUCTURED_PARSER_DATA
c,C040,EnumVariant,VariantTypeDecl;UnionVariantType,0,0,0,producer_020,MISSING_STRUCTURED_PARSER_DATA
c,C041,TypeAlias,NominalTypeDecl;TypeRelation,0,0,0,producer_020,MISSING_STRUCTURED_PARSER_DATA
c,C042,GenericParameter,GenericParam;GenericParamDecl,0,0,0,producer_021,MISSING_STRUCTURED_PARSER_DATA
c,C043,GenericInstantiation,Instantiation,0,0,0,producer_021,MISSING_STRUCTURED_PARSER_DATA
c,C044,TypeConstraint,TypeConstraint;TypeSet,0,0,0,producer_021,MISSING_STRUCTURED_PARSER_DATA
c,C045,PointerReference,PointerType;ReferenceType;AddressOf;Deref,0,0,0,producer_022,MISSING_STRUCTURED_PARSER_DATA
c,C046,ArraySliceType,ArraySliceType;SliceType,0,0,0,producer_012,MISSING_STRUCTURED_PARSER_DATA
c,C047,MapDictionaryType,MapType,0,0,0,producer_012,MISSING_STRUCTURED_PARSER_DATA
c,C048,OptionalNullable,OptionalType,0,0,0,producer_012,MISSING_STRUCTURED_PARSER_DATA
c,C049,CastConversion,ConvertExpr,0,0,0,producer_023,MISSING_STRUCTURED_PARSER_DATA
c,C050,TypeAssertTest,TypeAssertExpr;TypeSwitchStmt,0,0,0,producer_023,MISSING_STRUCTURED_PARSER_DATA
c,C051,AnnotationAttribute,Annotation,0,0,0,producer_024,MISSING_STRUCTURED_PARSER_DATA
c,C052,VisibilityModifier,Visibility,0,0,0,producer_024,MISSING_STRUCTURED_PARSER_DATA
c,C053,MacroPreprocessor,MacroCompileTime;CompileTimeEval,0,0,0,producer_025,MISSING_STRUCTURED_PARSER_DATA
c,C054,Unsafe,UnsafeIntrinsic;SafetyRegion,0,0,0,producer_026,MISSING_STRUCTURED_PARSER_DATA
c,C055,ForeignFFI,ForeignDeclCall;ABIContract,0,0,0,producer_027,MISSING_STRUCTURED_PARSER_DATA
c,C056,Range,OperationExpr,0,0,0,producer_028,MISSING_STRUCTURED_PARSER_DATA
c,C057,ChannelSendReceive,ChannelType;SendStmt;ReceiveExpr,0,0,0,producer_029,MISSING_STRUCTURED_PARSER_DATA
c,C058,Select,SelectStmt,0,0,0,producer_029,MISSING_STRUCTURED_PARSER_DATA
c,C059,SynchronizationAtomic,AtomicOp;SynchronizationOp,0,0,0,producer_029,MISSING_STRUCTURED_PARSER_DATA
c,C060,OperatorExpression,OperationExpr,0,0,0,producer_030,MISSING_STRUCTURED_PARSER_DATA
c,C061,ConditionalTernary,IfStmt;OperationExpr,0,0,0,producer_014,MISSING_STRUCTURED_PARSER_DATA
c,C062,GotoLabel,GotoLabelStmt,0,0,0,producer_031,MISSING_STRUCTURED_PARSER_DATA
c,C063,Interpolation,AggregateExpr;OperationExpr,0,0,0,producer_032,MISSING_STRUCTURED_PARSER_DATA
c,C064,OwnershipLifetime,OwnershipSemantics;LifetimeRegion,0,0,0,producer_033,MISSING_STRUCTURED_PARSER_DATA
cpp,C001,ModuleNamespace,ModuleDecl,0,0,0,producer_001,MISSING_STRUCTURED_PARSER_DATA
cpp,C002,ImportUse,ImportDecl,0,0,0,producer_002,MISSING_STRUCTURED_PARSER_DATA
cpp,C003,VariableDeclaration,VariableDecl;VariableDeclGroup,0,0,0,producer_003,MISSING_STRUCTURED_PARSER_DATA
cpp,C004,ConstantDeclaration,ConstantDecl,0,0,0,producer_003,MISSING_STRUCTURED_PARSER_DATA
cpp,C005,Assignment,AssignStmt,0,0,0,producer_004,MISSING_STRUCTURED_PARSER_DATA
cpp,C006,FunctionDeclaration,FunctionDecl;FunctionType,0,0,0,producer_005,MISSING_STRUCTURED_PARSER_DATA
cpp,C007,MethodDeclaration,MethodDecl,0,0,0,producer_005,MISSING_STRUCTURED_PARSER_DATA
cpp,C008,Parameter,ParameterDecl,0,0,0,producer_006,MISSING_STRUCTURED_PARSER_DATA
cpp,C009,ClosureLambda,ClosureExpr;CaptureRelation,0,0,0,producer_007,MISSING_STRUCTURED_PARSER_DATA
cpp,C010,Call,CallExpr;DispatchResolution,0,0,0,producer_008,MISSING_STRUCTURED_PARSER_DATA
cpp,C011,MemberAccess,MemberAccessExpr,0,0,0,producer_009,MISSING_STRUCTURED_PARSER_DATA
cpp,C012,Index,IndexExpr;MapIndexExpr,0,0,0,producer_010,MISSING_STRUCTURED_PARSER_DATA
cpp,C013,Slice,SliceExpr,0,0,0,producer_010,MISSING_STRUCTURED_PARSER_DATA
cpp,C014,Literal,LiteralExpr;NilLiteral,0,0,0,producer_011,MISSING_STRUCTURED_PARSER_DATA
cpp,C015,Tuple,TupleExpr;TupleType;TupleResult,0,0,0,producer_012,MISSING_STRUCTURED_PARSER_DATA
cpp,C016,AggregateCollection,AggregateExpr,0,0,0,producer_012,MISSING_STRUCTURED_PARSER_DATA
cpp,C017,Comprehension,ComprehensionExpr;ForEachStmt,0,0,0,producer_013,MISSING_STRUCTURED_PARSER_DATA
cpp,C018,IfConditional,IfStmt,0,0,0,producer_014,MISSING_STRUCTURED_PARSER_DATA
cpp,C019,SwitchMatchWhen,SwitchMatchStmt,0,0,0,producer_014,MISSING_STRUCTURED_PARSER_DATA
cpp,C020,PatternDestructuring,BindingPattern,0,0,0,producer_015,MISSING_STRUCTURED_PARSER_DATA
cpp,C021,ForLoop,LoopStmt;ForEachStmt,0,0,0,producer_016,MISSING_STRUCTURED_PARSER_DATA
cpp,C022,ForeachEnhancedFor,ForEachStmt,0,0,0,producer_016,MISSING_STRUCTURED_PARSER_DATA
cpp,C023,WhileLoop,LoopStmt,0,0,0,producer_016,MISSING_STRUCTURED_PARSER_DATA
cpp,C024,DoRepeatWhile,LoopStmt,0,0,0,producer_016,MISSING_STRUCTURED_PARSER_DATA
cpp,C025,Break,BreakStmt,0,0,0,producer_017,MISSING_STRUCTURED_PARSER_DATA
cpp,C026,Continue,ContinueStmt,0,0,0,producer_017,MISSING_STRUCTURED_PARSER_DATA
cpp,C027,Return,ReturnStmt,0,0,0,producer_017,MISSING_STRUCTURED_PARSER_DATA
cpp,C028,Yield,YieldExpr,0,0,0,producer_017,MISSING_STRUCTURED_PARSER_DATA
cpp,C029,Try,TryStmt,0,0,0,producer_018,MISSING_STRUCTURED_PARSER_DATA
cpp,C030,CatchExcept,TryStmt,0,0,0,producer_018,MISSING_STRUCTURED_PARSER_DATA
cpp,C031,Finally,DeferCleanupStmt,0,0,0,producer_018,MISSING_STRUCTURED_PARSER_DATA
cpp,C032,ThrowRaisePanic,RaisePanicStmt;PanicRecover,0,0,0,producer_018,MISSING_STRUCTURED_PARSER_DATA
cpp,C033,DeferCleanup,DeferStmt;DeferCleanupStmt,0,0,0,producer_018,MISSING_STRUCTURED_PARSER_DATA
cpp,C034,Async,ConcurrencyOp,0,0,0,producer_019,MISSING_STRUCTURED_PARSER_DATA
cpp,C035,Await,AwaitExpr,0,0,0,producer_019,MISSING_STRUCTURED_PARSER_DATA
cpp,C036,SpawnTask,SpawnStmt;ConcurrencyOp,0,0,0,producer_019,MISSING_STRUCTURED_PARSER_DATA
cpp,C037,Class,NominalTypeDecl,0,0,0,producer_020,MISSING_STRUCTURED_PARSER_DATA
cpp,C038,StructRecord,RecordTypeDecl,0,0,0,producer_020,MISSING_STRUCTURED_PARSER_DATA
cpp,C039,InterfaceTraitProtocol,InterfaceTypeDecl;InterfaceType,0,0,0,producer_020,MISSING_STRUCTURED_PARSER_DATA
cpp,C040,EnumVariant,VariantTypeDecl;UnionVariantType,0,0,0,producer_020,MISSING_STRUCTURED_PARSER_DATA
cpp,C041,TypeAlias,NominalTypeDecl;TypeRelation,0,0,0,producer_020,MISSING_STRUCTURED_PARSER_DATA
cpp,C042,GenericParameter,GenericParam;GenericParamDecl,0,0,0,producer_021,MISSING_STRUCTURED_PARSER_DATA
cpp,C043,GenericInstantiation,Instantiation,0,0,0,producer_021,MISSING_STRUCTURED_PARSER_DATA
cpp,C044,TypeConstraint,TypeConstraint;TypeSet,0,0,0,producer_021,MISSING_STRUCTURED_PARSER_DATA
cpp,C045,PointerReference,PointerType;ReferenceType;AddressOf;Deref,0,0,0,producer_022,MISSING_STRUCTURED_PARSER_DATA
cpp,C046,ArraySliceType,ArraySliceType;SliceType,0,0,0,producer_012,MISSING_STRUCTURED_PARSER_DATA
cpp,C047,MapDictionaryType,MapType,0,0,0,producer_012,MISSING_STRUCTURED_PARSER_DATA
cpp,C048,OptionalNullable,OptionalType,0,0,0,producer_012,MISSING_STRUCTURED_PARSER_DATA
cpp,C049,CastConversion,ConvertExpr,0,0,0,producer_023,MISSING_STRUCTURED_PARSER_DATA
cpp,C050,TypeAssertTest,TypeAssertExpr;TypeSwitchStmt,0,0,0,producer_023,MISSING_STRUCTURED_PARSER_DATA
cpp,C051,AnnotationAttribute,Annotation,0,0,0,producer_024,MISSING_STRUCTURED_PARSER_DATA
cpp,C052,VisibilityModifier,Visibility,0,0,0,producer_024,MISSING_STRUCTURED_PARSER_DATA
cpp,C053,MacroPreprocessor,MacroCompileTime;CompileTimeEval,0,0,0,producer_025,MISSING_STRUCTURED_PARSER_DATA
cpp,C054,Unsafe,UnsafeIntrinsic;SafetyRegion,0,0,0,producer_026,MISSING_STRUCTURED_PARSER_DATA
cpp,C055,ForeignFFI,ForeignDeclCall;ABIContract,0,0,0,producer_027,MISSING_STRUCTURED_PARSER_DATA
cpp,C056,Range,OperationExpr,0,0,0,producer_028,MISSING_STRUCTURED_PARSER_DATA
cpp,C057,ChannelSendReceive,ChannelType;SendStmt;ReceiveExpr,0,0,0,producer_029,MISSING_STRUCTURED_PARSER_DATA
cpp,C058,Select,SelectStmt,0,0,0,producer_029,MISSING_STRUCTURED_PARSER_DATA
cpp,C059,SynchronizationAtomic,AtomicOp;SynchronizationOp,0,0,0,producer_029,MISSING_STRUCTURED_PARSER_DATA
cpp,C060,OperatorExpression,OperationExpr,0,0,0,producer_030,MISSING_STRUCTURED_PARSER_DATA
cpp,C061,ConditionalTernary,IfStmt;OperationExpr,0,0,0,producer_014,MISSING_STRUCTURED_PARSER_DATA
cpp,C062,GotoLabel,GotoLabelStmt,0,0,0,producer_031,MISSING_STRUCTURED_PARSER_DATA
cpp,C063,Interpolation,AggregateExpr;OperationExpr,0,0,0,producer_032,MISSING_STRUCTURED_PARSER_DATA
cpp,C064,OwnershipLifetime,OwnershipSemantics;LifetimeRegion,0,0,0,producer_033,MISSING_STRUCTURED_PARSER_DATA
csharp,C001,ModuleNamespace,ModuleDecl,0,0,0,producer_001,MISSING_STRUCTURED_PARSER_DATA
csharp,C002,ImportUse,ImportDecl,0,0,0,producer_002,MISSING_STRUCTURED_PARSER_DATA
csharp,C003,VariableDeclaration,VariableDecl;VariableDeclGroup,0,0,0,producer_003,MISSING_STRUCTURED_PARSER_DATA
csharp,C004,ConstantDeclaration,ConstantDecl,0,0,0,producer_003,MISSING_STRUCTURED_PARSER_DATA
csharp,C005,Assignment,AssignStmt,0,0,0,producer_004,MISSING_STRUCTURED_PARSER_DATA
csharp,C006,FunctionDeclaration,FunctionDecl;FunctionType,0,0,0,producer_005,MISSING_STRUCTURED_PARSER_DATA
csharp,C007,MethodDeclaration,MethodDecl,0,0,0,producer_005,MISSING_STRUCTURED_PARSER_DATA
csharp,C008,Parameter,ParameterDecl,0,0,0,producer_006,MISSING_STRUCTURED_PARSER_DATA
csharp,C009,ClosureLambda,ClosureExpr;CaptureRelation,0,0,0,producer_007,MISSING_STRUCTURED_PARSER_DATA
csharp,C010,Call,CallExpr;DispatchResolution,0,0,0,producer_008,MISSING_STRUCTURED_PARSER_DATA
csharp,C011,MemberAccess,MemberAccessExpr,0,0,0,producer_009,MISSING_STRUCTURED_PARSER_DATA
csharp,C012,Index,IndexExpr;MapIndexExpr,0,0,0,producer_010,MISSING_STRUCTURED_PARSER_DATA
csharp,C013,Slice,SliceExpr,0,0,0,producer_010,MISSING_STRUCTURED_PARSER_DATA
csharp,C014,Literal,LiteralExpr;NilLiteral,0,0,0,producer_011,MISSING_STRUCTURED_PARSER_DATA
csharp,C015,Tuple,TupleExpr;TupleType;TupleResult,0,0,0,producer_012,MISSING_STRUCTURED_PARSER_DATA
csharp,C016,AggregateCollection,AggregateExpr,0,0,0,producer_012,MISSING_STRUCTURED_PARSER_DATA
csharp,C017,Comprehension,ComprehensionExpr;ForEachStmt,0,0,0,producer_013,MISSING_STRUCTURED_PARSER_DATA
csharp,C018,IfConditional,IfStmt,0,0,0,producer_014,MISSING_STRUCTURED_PARSER_DATA
csharp,C019,SwitchMatchWhen,SwitchMatchStmt,0,0,0,producer_014,MISSING_STRUCTURED_PARSER_DATA
csharp,C020,PatternDestructuring,BindingPattern,0,0,0,producer_015,MISSING_STRUCTURED_PARSER_DATA
csharp,C021,ForLoop,LoopStmt;ForEachStmt,0,0,0,producer_016,MISSING_STRUCTURED_PARSER_DATA
csharp,C022,ForeachEnhancedFor,ForEachStmt,0,0,0,producer_016,MISSING_STRUCTURED_PARSER_DATA
csharp,C023,WhileLoop,LoopStmt,0,0,0,producer_016,MISSING_STRUCTURED_PARSER_DATA
csharp,C024,DoRepeatWhile,LoopStmt,0,0,0,producer_016,MISSING_STRUCTURED_PARSER_DATA
csharp,C025,Break,BreakStmt,0,0,0,producer_017,MISSING_STRUCTURED_PARSER_DATA
csharp,C026,Continue,ContinueStmt,0,0,0,producer_017,MISSING_STRUCTURED_PARSER_DATA
csharp,C027,Return,ReturnStmt,0,0,0,producer_017,MISSING_STRUCTURED_PARSER_DATA
csharp,C028,Yield,YieldExpr,0,0,0,producer_017,MISSING_STRUCTURED_PARSER_DATA
csharp,C029,Try,TryStmt,0,0,0,producer_018,MISSING_STRUCTURED_PARSER_DATA
csharp,C030,CatchExcept,TryStmt,0,0,0,producer_018,MISSING_STRUCTURED_PARSER_DATA
csharp,C031,Finally,DeferCleanupStmt,0,0,0,producer_018,MISSING_STRUCTURED_PARSER_DATA
csharp,C032,ThrowRaisePanic,RaisePanicStmt;PanicRecover,0,0,0,producer_018,MISSING_STRUCTURED_PARSER_DATA
csharp,C033,DeferCleanup,DeferStmt;DeferCleanupStmt,0,0,0,producer_018,MISSING_STRUCTURED_PARSER_DATA
csharp,C034,Async,ConcurrencyOp,0,0,0,producer_019,MISSING_STRUCTURED_PARSER_DATA
csharp,C035,Await,AwaitExpr,0,0,0,producer_019,MISSING_STRUCTURED_PARSER_DATA
csharp,C036,SpawnTask,SpawnStmt;ConcurrencyOp,0,0,0,producer_019,MISSING_STRUCTURED_PARSER_DATA
csharp,C037,Class,NominalTypeDecl,0,0,0,producer_020,MISSING_STRUCTURED_PARSER_DATA
csharp,C038,StructRecord,RecordTypeDecl,0,0,0,producer_020,MISSING_STRUCTURED_PARSER_DATA
csharp,C039,InterfaceTraitProtocol,InterfaceTypeDecl;InterfaceType,0,0,0,producer_020,MISSING_STRUCTURED_PARSER_DATA
csharp,C040,EnumVariant,VariantTypeDecl;UnionVariantType,0,0,0,producer_020,MISSING_STRUCTURED_PARSER_DATA
csharp,C041,TypeAlias,NominalTypeDecl;TypeRelation,0,0,0,producer_020,MISSING_STRUCTURED_PARSER_DATA
csharp,C042,GenericParameter,GenericParam;GenericParamDecl,0,0,0,producer_021,MISSING_STRUCTURED_PARSER_DATA
csharp,C043,GenericInstantiation,Instantiation,0,0,0,producer_021,MISSING_STRUCTURED_PARSER_DATA
csharp,C044,TypeConstraint,TypeConstraint;TypeSet,0,0,0,producer_021,MISSING_STRUCTURED_PARSER_DATA
csharp,C045,PointerReference,PointerType;ReferenceType;AddressOf;Deref,0,0,0,producer_022,MISSING_STRUCTURED_PARSER_DATA
csharp,C046,ArraySliceType,ArraySliceType;SliceType,0,0,0,producer_012,MISSING_STRUCTURED_PARSER_DATA
csharp,C047,MapDictionaryType,MapType,0,0,0,producer_012,MISSING_STRUCTURED_PARSER_DATA
csharp,C048,OptionalNullable,OptionalType,0,0,0,producer_012,MISSING_STRUCTURED_PARSER_DATA
csharp,C049,CastConversion,ConvertExpr,0,0,0,producer_023,MISSING_STRUCTURED_PARSER_DATA
csharp,C050,TypeAssertTest,TypeAssertExpr;TypeSwitchStmt,0,0,0,producer_023,MISSING_STRUCTURED_PARSER_DATA
csharp,C051,AnnotationAttribute,Annotation,0,0,0,producer_024,MISSING_STRUCTURED_PARSER_DATA
csharp,C052,VisibilityModifier,Visibility,0,0,0,producer_024,MISSING_STRUCTURED_PARSER_DATA
csharp,C053,MacroPreprocessor,MacroCompileTime;CompileTimeEval,0,0,0,producer_025,MISSING_STRUCTURED_PARSER_DATA
csharp,C054,Unsafe,UnsafeIntrinsic;SafetyRegion,0,0,0,producer_026,MISSING_STRUCTURED_PARSER_DATA
csharp,C055,ForeignFFI,ForeignDeclCall;ABIContract,0,0,0,producer_027,MISSING_STRUCTURED_PARSER_DATA
csharp,C056,Range,OperationExpr,0,0,0,producer_028,MISSING_STRUCTURED_PARSER_DATA
csharp,C057,ChannelSendReceive,ChannelType;SendStmt;ReceiveExpr,0,0,0,producer_029,MISSING_STRUCTURED_PARSER_DATA
csharp,C058,Select,SelectStmt,0,0,0,producer_029,MISSING_STRUCTURED_PARSER_DATA
csharp,C059,SynchronizationAtomic,AtomicOp;SynchronizationOp,0,0,0,producer_029,MISSING_STRUCTURED_PARSER_DATA
csharp,C060,OperatorExpression,OperationExpr,0,0,0,producer_030,MISSING_STRUCTURED_PARSER_DATA
csharp,C061,ConditionalTernary,IfStmt;OperationExpr,0,0,0,producer_014,MISSING_STRUCTURED_PARSER_DATA
csharp,C062,GotoLabel,GotoLabelStmt,0,0,0,producer_031,MISSING_STRUCTURED_PARSER_DATA
csharp,C063,Interpolation,AggregateExpr;OperationExpr,0,0,0,producer_032,MISSING_STRUCTURED_PARSER_DATA
csharp,C064,OwnershipLifetime,OwnershipSemantics;LifetimeRegion,0,0,0,producer_033,MISSING_STRUCTURED_PARSER_DATA
go,C001,ModuleNamespace,ModuleDecl,0,0,0,producer_001,MISSING_STRUCTURED_PARSER_DATA
go,C002,ImportUse,ImportDecl,0,0,0,producer_002,MISSING_STRUCTURED_PARSER_DATA
go,C003,VariableDeclaration,VariableDecl;VariableDeclGroup,0,0,0,producer_003,MISSING_STRUCTURED_PARSER_DATA
go,C004,ConstantDeclaration,ConstantDecl,0,0,0,producer_003,MISSING_STRUCTURED_PARSER_DATA
go,C005,Assignment,AssignStmt,0,0,0,producer_004,MISSING_STRUCTURED_PARSER_DATA
go,C006,FunctionDeclaration,FunctionDecl;FunctionType,0,0,0,producer_005,MISSING_STRUCTURED_PARSER_DATA
go,C007,MethodDeclaration,MethodDecl,0,0,0,producer_005,MISSING_STRUCTURED_PARSER_DATA
go,C008,Parameter,ParameterDecl,0,0,0,producer_006,MISSING_STRUCTURED_PARSER_DATA
go,C009,ClosureLambda,ClosureExpr;CaptureRelation,0,0,0,producer_007,MISSING_STRUCTURED_PARSER_DATA
go,C010,Call,CallExpr;DispatchResolution,0,0,0,producer_008,MISSING_STRUCTURED_PARSER_DATA
go,C011,MemberAccess,MemberAccessExpr,0,0,0,producer_009,MISSING_STRUCTURED_PARSER_DATA
go,C012,Index,IndexExpr;MapIndexExpr,0,0,0,producer_010,MISSING_STRUCTURED_PARSER_DATA
go,C013,Slice,SliceExpr,0,0,0,producer_010,MISSING_STRUCTURED_PARSER_DATA
go,C014,Literal,LiteralExpr;NilLiteral,0,0,0,producer_011,MISSING_STRUCTURED_PARSER_DATA
go,C015,Tuple,TupleExpr;TupleType;TupleResult,0,0,0,producer_012,MISSING_STRUCTURED_PARSER_DATA
go,C016,AggregateCollection,AggregateExpr,0,0,0,producer_012,MISSING_STRUCTURED_PARSER_DATA
go,C017,Comprehension,ComprehensionExpr;ForEachStmt,0,0,0,producer_013,MISSING_STRUCTURED_PARSER_DATA
go,C018,IfConditional,IfStmt,0,0,0,producer_014,MISSING_STRUCTURED_PARSER_DATA
go,C019,SwitchMatchWhen,SwitchMatchStmt,0,0,0,producer_014,MISSING_STRUCTURED_PARSER_DATA
go,C020,PatternDestructuring,BindingPattern,0,0,0,producer_015,MISSING_STRUCTURED_PARSER_DATA
go,C021,ForLoop,LoopStmt;ForEachStmt,0,0,0,producer_016,MISSING_STRUCTURED_PARSER_DATA
go,C022,ForeachEnhancedFor,ForEachStmt,0,0,0,producer_016,MISSING_STRUCTURED_PARSER_DATA
go,C023,WhileLoop,LoopStmt,0,0,0,producer_016,MISSING_STRUCTURED_PARSER_DATA
go,C024,DoRepeatWhile,LoopStmt,0,0,0,producer_016,MISSING_STRUCTURED_PARSER_DATA
go,C025,Break,BreakStmt,0,0,0,producer_017,MISSING_STRUCTURED_PARSER_DATA
go,C026,Continue,ContinueStmt,0,0,0,producer_017,MISSING_STRUCTURED_PARSER_DATA
go,C027,Return,ReturnStmt,0,0,0,producer_017,MISSING_STRUCTURED_PARSER_DATA
go,C028,Yield,YieldExpr,0,0,0,producer_017,MISSING_STRUCTURED_PARSER_DATA
go,C029,Try,TryStmt,0,0,0,producer_018,MISSING_STRUCTURED_PARSER_DATA
go,C030,CatchExcept,TryStmt,0,0,0,producer_018,MISSING_STRUCTURED_PARSER_DATA
go,C031,Finally,DeferCleanupStmt,0,0,0,producer_018,MISSING_STRUCTURED_PARSER_DATA
go,C032,ThrowRaisePanic,RaisePanicStmt;PanicRecover,0,0,0,producer_018,MISSING_STRUCTURED_PARSER_DATA
go,C033,DeferCleanup,DeferStmt;DeferCleanupStmt,0,0,0,producer_018,MISSING_STRUCTURED_PARSER_DATA
go,C034,Async,ConcurrencyOp,0,0,0,producer_019,MISSING_STRUCTURED_PARSER_DATA
go,C035,Await,AwaitExpr,0,0,0,producer_019,MISSING_STRUCTURED_PARSER_DATA
go,C036,SpawnTask,SpawnStmt;ConcurrencyOp,0,0,0,producer_019,MISSING_STRUCTURED_PARSER_DATA
go,C037,Class,NominalTypeDecl,0,0,0,producer_020,MISSING_STRUCTURED_PARSER_DATA
go,C038,StructRecord,RecordTypeDecl,0,0,0,producer_020,MISSING_STRUCTURED_PARSER_DATA
go,C039,InterfaceTraitProtocol,InterfaceTypeDecl;InterfaceType,0,0,0,producer_020,MISSING_STRUCTURED_PARSER_DATA
go,C040,EnumVariant,VariantTypeDecl;UnionVariantType,0,0,0,producer_020,MISSING_STRUCTURED_PARSER_DATA
go,C041,TypeAlias,NominalTypeDecl;TypeRelation,0,0,0,producer_020,MISSING_STRUCTURED_PARSER_DATA
go,C042,GenericParameter,GenericParam;GenericParamDecl,0,0,0,producer_021,MISSING_STRUCTURED_PARSER_DATA
go,C043,GenericInstantiation,Instantiation,0,0,0,producer_021,MISSING_STRUCTURED_PARSER_DATA
go,C044,TypeConstraint,TypeConstraint;TypeSet,0,0,0,producer_021,MISSING_STRUCTURED_PARSER_DATA
go,C045,PointerReference,PointerType;ReferenceType;AddressOf;Deref,0,0,0,producer_022,MISSING_STRUCTURED_PARSER_DATA
go,C046,ArraySliceType,ArraySliceType;SliceType,0,0,0,producer_012,MISSING_STRUCTURED_PARSER_DATA
go,C047,MapDictionaryType,MapType,0,0,0,producer_012,MISSING_STRUCTURED_PARSER_DATA
go,C048,OptionalNullable,OptionalType,0,0,0,producer_012,MISSING_STRUCTURED_PARSER_DATA
go,C049,CastConversion,ConvertExpr,0,0,0,producer_023,MISSING_STRUCTURED_PARSER_DATA
