language,repository,node_type,field,required,multiple,child_type,child_named
r,r-lib/tree-sitter-r,binary_operator,lhs,True,False,identifier,True
r,r-lib/tree-sitter-r,binary_operator,lhs,True,False,if_statement,True
r,r-lib/tree-sitter-r,binary_operator,lhs,True,False,inf,True
r,r-lib/tree-sitter-r,binary_operator,lhs,True,False,integer,True
r,r-lib/tree-sitter-r,binary_operator,lhs,True,False,na,True
r,r-lib/tree-sitter-r,binary_operator,lhs,True,False,namespace_operator,True
r,r-lib/tree-sitter-r,binary_operator,lhs,True,False,nan,True
r,r-lib/tree-sitter-r,binary_operator,lhs,True,False,next,True
r,r-lib/tree-sitter-r,binary_operator,lhs,True,False,null,True
r,r-lib/tree-sitter-r,binary_operator,lhs,True,False,parenthesized_expression,True
r,r-lib/tree-sitter-r,binary_operator,lhs,True,False,repeat_statement,True
r,r-lib/tree-sitter-r,binary_operator,lhs,True,False,string,True
r,r-lib/tree-sitter-r,binary_operator,lhs,True,False,subset,True
r,r-lib/tree-sitter-r,binary_operator,lhs,True,False,subset2,True
r,r-lib/tree-sitter-r,binary_operator,lhs,True,False,true,True
r,r-lib/tree-sitter-r,binary_operator,lhs,True,False,unary_operator,True
r,r-lib/tree-sitter-r,binary_operator,lhs,True,False,while_statement,True
r,r-lib/tree-sitter-r,binary_operator,operator,True,False,!=,False
r,r-lib/tree-sitter-r,binary_operator,operator,True,False,&,False
r,r-lib/tree-sitter-r,binary_operator,operator,True,False,&&,False
r,r-lib/tree-sitter-r,binary_operator,operator,True,False,*,False
r,r-lib/tree-sitter-r,binary_operator,operator,True,False,**,False
r,r-lib/tree-sitter-r,binary_operator,operator,True,False,+,False
r,r-lib/tree-sitter-r,binary_operator,operator,True,False,-,False
r,r-lib/tree-sitter-r,binary_operator,operator,True,False,->,False
r,r-lib/tree-sitter-r,binary_operator,operator,True,False,->>,False
r,r-lib/tree-sitter-r,binary_operator,operator,True,False,/,False
r,r-lib/tree-sitter-r,binary_operator,operator,True,False,:,False
r,r-lib/tree-sitter-r,binary_operator,operator,True,False,:=,False
r,r-lib/tree-sitter-r,binary_operator,operator,True,False,<,False
r,r-lib/tree-sitter-r,binary_operator,operator,True,False,<-,False
r,r-lib/tree-sitter-r,binary_operator,operator,True,False,<<-,False
r,r-lib/tree-sitter-r,binary_operator,operator,True,False,<=,False
r,r-lib/tree-sitter-r,binary_operator,operator,True,False,=,False
r,r-lib/tree-sitter-r,binary_operator,operator,True,False,==,False
r,r-lib/tree-sitter-r,binary_operator,operator,True,False,>,False
r,r-lib/tree-sitter-r,binary_operator,operator,True,False,>=,False
r,r-lib/tree-sitter-r,binary_operator,operator,True,False,?,False
r,r-lib/tree-sitter-r,binary_operator,operator,True,False,^,False
r,r-lib/tree-sitter-r,binary_operator,operator,True,False,special,False
r,r-lib/tree-sitter-r,binary_operator,operator,True,False,|,False
r,r-lib/tree-sitter-r,binary_operator,operator,True,False,|>,False
r,r-lib/tree-sitter-r,binary_operator,operator,True,False,||,False
r,r-lib/tree-sitter-r,binary_operator,operator,True,False,~,False
r,r-lib/tree-sitter-r,binary_operator,rhs,True,False,binary_operator,True
r,r-lib/tree-sitter-r,binary_operator,rhs,True,False,braced_expression,True
r,r-lib/tree-sitter-r,binary_operator,rhs,True,False,break,True
r,r-lib/tree-sitter-r,binary_operator,rhs,True,False,call,True
r,r-lib/tree-sitter-r,binary_operator,rhs,True,False,complex,True
r,r-lib/tree-sitter-r,binary_operator,rhs,True,False,dot_dot_i,True
r,r-lib/tree-sitter-r,binary_operator,rhs,True,False,dots,True
r,r-lib/tree-sitter-r,binary_operator,rhs,True,False,extract_operator,True
r,r-lib/tree-sitter-r,binary_operator,rhs,True,False,false,True
r,r-lib/tree-sitter-r,binary_operator,rhs,True,False,float,True
r,r-lib/tree-sitter-r,binary_operator,rhs,True,False,for_statement,True
r,r-lib/tree-sitter-r,binary_operator,rhs,True,False,function_definition,True
r,r-lib/tree-sitter-r,binary_operator,rhs,True,False,identifier,True
r,r-lib/tree-sitter-r,binary_operator,rhs,True,False,if_statement,True
r,r-lib/tree-sitter-r,binary_operator,rhs,True,False,inf,True
r,r-lib/tree-sitter-r,binary_operator,rhs,True,False,integer,True
r,r-lib/tree-sitter-r,binary_operator,rhs,True,False,na,True
r,r-lib/tree-sitter-r,binary_operator,rhs,True,False,namespace_operator,True
r,r-lib/tree-sitter-r,binary_operator,rhs,True,False,nan,True
r,r-lib/tree-sitter-r,binary_operator,rhs,True,False,next,True
r,r-lib/tree-sitter-r,binary_operator,rhs,True,False,null,True
r,r-lib/tree-sitter-r,binary_operator,rhs,True,False,parenthesized_expression,True
r,r-lib/tree-sitter-r,binary_operator,rhs,True,False,repeat_statement,True
r,r-lib/tree-sitter-r,binary_operator,rhs,True,False,string,True
r,r-lib/tree-sitter-r,binary_operator,rhs,True,False,subset,True
r,r-lib/tree-sitter-r,binary_operator,rhs,True,False,subset2,True
r,r-lib/tree-sitter-r,binary_operator,rhs,True,False,true,True
r,r-lib/tree-sitter-r,binary_operator,rhs,True,False,unary_operator,True
r,r-lib/tree-sitter-r,binary_operator,rhs,True,False,while_statement,True
r,r-lib/tree-sitter-r,braced_expression,body,False,True,binary_operator,True
r,r-lib/tree-sitter-r,braced_expression,body,False,True,braced_expression,True
r,r-lib/tree-sitter-r,braced_expression,body,False,True,break,True
r,r-lib/tree-sitter-r,braced_expression,body,False,True,call,True
r,r-lib/tree-sitter-r,braced_expression,body,False,True,complex,True
r,r-lib/tree-sitter-r,braced_expression,body,False,True,dot_dot_i,True
r,r-lib/tree-sitter-r,braced_expression,body,False,True,dots,True
r,r-lib/tree-sitter-r,braced_expression,body,False,True,extract_operator,True
r,r-lib/tree-sitter-r,braced_expression,body,False,True,false,True
r,r-lib/tree-sitter-r,braced_expression,body,False,True,float,True
r,r-lib/tree-sitter-r,braced_expression,body,False,True,for_statement,True
r,r-lib/tree-sitter-r,braced_expression,body,False,True,function_definition,True
r,r-lib/tree-sitter-r,braced_expression,body,False,True,identifier,True
r,r-lib/tree-sitter-r,braced_expression,body,False,True,if_statement,True
r,r-lib/tree-sitter-r,braced_expression,body,False,True,inf,True
r,r-lib/tree-sitter-r,braced_expression,body,False,True,integer,True
r,r-lib/tree-sitter-r,braced_expression,body,False,True,na,True
r,r-lib/tree-sitter-r,braced_expression,body,False,True,namespace_operator,True
r,r-lib/tree-sitter-r,braced_expression,body,False,True,nan,True
r,r-lib/tree-sitter-r,braced_expression,body,False,True,next,True
r,r-lib/tree-sitter-r,braced_expression,body,False,True,null,True
r,r-lib/tree-sitter-r,braced_expression,body,False,True,parenthesized_expression,True
r,r-lib/tree-sitter-r,braced_expression,body,False,True,repeat_statement,True
r,r-lib/tree-sitter-r,braced_expression,body,False,True,string,True
r,r-lib/tree-sitter-r,braced_expression,body,False,True,subset,True
r,r-lib/tree-sitter-r,braced_expression,body,False,True,subset2,True
r,r-lib/tree-sitter-r,braced_expression,body,False,True,true,True
r,r-lib/tree-sitter-r,braced_expression,body,False,True,unary_operator,True
r,r-lib/tree-sitter-r,braced_expression,body,False,True,while_statement,True
r,r-lib/tree-sitter-r,braced_expression,close,True,False,},False
r,r-lib/tree-sitter-r,braced_expression,open,True,False,{,False
r,r-lib/tree-sitter-r,call,arguments,True,False,arguments,True
r,r-lib/tree-sitter-r,call,function,True,False,binary_operator,True
r,r-lib/tree-sitter-r,call,function,True,False,braced_expression,True
r,r-lib/tree-sitter-r,call,function,True,False,break,True
r,r-lib/tree-sitter-r,call,function,True,False,call,True
r,r-lib/tree-sitter-r,call,function,True,False,complex,True
r,r-lib/tree-sitter-r,call,function,True,False,dot_dot_i,True
r,r-lib/tree-sitter-r,call,function,True,False,dots,True
r,r-lib/tree-sitter-r,call,function,True,False,extract_operator,True
r,r-lib/tree-sitter-r,call,function,True,False,false,True
r,r-lib/tree-sitter-r,call,function,True,False,float,True
r,r-lib/tree-sitter-r,call,function,True,False,for_statement,True
r,r-lib/tree-sitter-r,call,function,True,False,function_definition,True
r,r-lib/tree-sitter-r,call,function,True,False,identifier,True
r,r-lib/tree-sitter-r,call,function,True,False,if_statement,True
r,r-lib/tree-sitter-r,call,function,True,False,inf,True
r,r-lib/tree-sitter-r,call,function,True,False,integer,True
r,r-lib/tree-sitter-r,call,function,True,False,na,True
r,r-lib/tree-sitter-r,call,function,True,False,namespace_operator,True
r,r-lib/tree-sitter-r,call,function,True,False,nan,True
r,r-lib/tree-sitter-r,call,function,True,False,next,True
r,r-lib/tree-sitter-r,call,function,True,False,null,True
r,r-lib/tree-sitter-r,call,function,True,False,parenthesized_expression,True
r,r-lib/tree-sitter-r,call,function,True,False,repeat_statement,True
r,r-lib/tree-sitter-r,call,function,True,False,string,True
r,r-lib/tree-sitter-r,call,function,True,False,subset,True
r,r-lib/tree-sitter-r,call,function,True,False,subset2,True
r,r-lib/tree-sitter-r,call,function,True,False,true,True
r,r-lib/tree-sitter-r,call,function,True,False,unary_operator,True
r,r-lib/tree-sitter-r,call,function,True,False,while_statement,True
r,r-lib/tree-sitter-r,extract_operator,lhs,True,False,binary_operator,True
r,r-lib/tree-sitter-r,extract_operator,lhs,True,False,braced_expression,True
r,r-lib/tree-sitter-r,extract_operator,lhs,True,False,break,True
r,r-lib/tree-sitter-r,extract_operator,lhs,True,False,call,True
r,r-lib/tree-sitter-r,extract_operator,lhs,True,False,complex,True
r,r-lib/tree-sitter-r,extract_operator,lhs,True,False,dot_dot_i,True
r,r-lib/tree-sitter-r,extract_operator,lhs,True,False,dots,True
r,r-lib/tree-sitter-r,extract_operator,lhs,True,False,extract_operator,True
r,r-lib/tree-sitter-r,extract_operator,lhs,True,False,false,True
r,r-lib/tree-sitter-r,extract_operator,lhs,True,False,float,True
r,r-lib/tree-sitter-r,extract_operator,lhs,True,False,for_statement,True
r,r-lib/tree-sitter-r,extract_operator,lhs,True,False,function_definition,True
r,r-lib/tree-sitter-r,extract_operator,lhs,True,False,identifier,True
r,r-lib/tree-sitter-r,extract_operator,lhs,True,False,if_statement,True
r,r-lib/tree-sitter-r,extract_operator,lhs,True,False,inf,True
r,r-lib/tree-sitter-r,extract_operator,lhs,True,False,integer,True
r,r-lib/tree-sitter-r,extract_operator,lhs,True,False,na,True
r,r-lib/tree-sitter-r,extract_operator,lhs,True,False,namespace_operator,True
r,r-lib/tree-sitter-r,extract_operator,lhs,True,False,nan,True
r,r-lib/tree-sitter-r,extract_operator,lhs,True,False,next,True
r,r-lib/tree-sitter-r,extract_operator,lhs,True,False,null,True
r,r-lib/tree-sitter-r,extract_operator,lhs,True,False,parenthesized_expression,True
r,r-lib/tree-sitter-r,extract_operator,lhs,True,False,repeat_statement,True
r,r-lib/tree-sitter-r,extract_operator,lhs,True,False,string,True
r,r-lib/tree-sitter-r,extract_operator,lhs,True,False,subset,True
r,r-lib/tree-sitter-r,extract_operator,lhs,True,False,subset2,True
r,r-lib/tree-sitter-r,extract_operator,lhs,True,False,true,True
r,r-lib/tree-sitter-r,extract_operator,lhs,True,False,unary_operator,True
r,r-lib/tree-sitter-r,extract_operator,lhs,True,False,while_statement,True
r,r-lib/tree-sitter-r,extract_operator,operator,True,False,$,False
r,r-lib/tree-sitter-r,extract_operator,operator,True,False,@,False
r,r-lib/tree-sitter-r,extract_operator,rhs,False,False,dot_dot_i,True
r,r-lib/tree-sitter-r,extract_operator,rhs,False,False,dots,True
r,r-lib/tree-sitter-r,extract_operator,rhs,False,False,identifier,True
r,r-lib/tree-sitter-r,extract_operator,rhs,False,False,string,True
r,r-lib/tree-sitter-r,for_statement,body,True,False,binary_operator,True
r,r-lib/tree-sitter-r,for_statement,body,True,False,braced_expression,True
r,r-lib/tree-sitter-r,for_statement,body,True,False,break,True
r,r-lib/tree-sitter-r,for_statement,body,True,False,call,True
r,r-lib/tree-sitter-r,for_statement,body,True,False,complex,True
r,r-lib/tree-sitter-r,for_statement,body,True,False,dot_dot_i,True
r,r-lib/tree-sitter-r,for_statement,body,True,False,dots,True
r,r-lib/tree-sitter-r,for_statement,body,True,False,extract_operator,True
r,r-lib/tree-sitter-r,for_statement,body,True,False,false,True
r,r-lib/tree-sitter-r,for_statement,body,True,False,float,True
r,r-lib/tree-sitter-r,for_statement,body,True,False,for_statement,True
r,r-lib/tree-sitter-r,for_statement,body,True,False,function_definition,True
r,r-lib/tree-sitter-r,for_statement,body,True,False,identifier,True
r,r-lib/tree-sitter-r,for_statement,body,True,False,if_statement,True
r,r-lib/tree-sitter-r,for_statement,body,True,False,inf,True
r,r-lib/tree-sitter-r,for_statement,body,True,False,integer,True
r,r-lib/tree-sitter-r,for_statement,body,True,False,na,True
r,r-lib/tree-sitter-r,for_statement,body,True,False,namespace_operator,True
r,r-lib/tree-sitter-r,for_statement,body,True,False,nan,True
r,r-lib/tree-sitter-r,for_statement,body,True,False,next,True
r,r-lib/tree-sitter-r,for_statement,body,True,False,null,True
r,r-lib/tree-sitter-r,for_statement,body,True,False,parenthesized_expression,True
r,r-lib/tree-sitter-r,for_statement,body,True,False,repeat_statement,True
r,r-lib/tree-sitter-r,for_statement,body,True,False,string,True
r,r-lib/tree-sitter-r,for_statement,body,True,False,subset,True
r,r-lib/tree-sitter-r,for_statement,body,True,False,subset2,True
r,r-lib/tree-sitter-r,for_statement,body,True,False,true,True
r,r-lib/tree-sitter-r,for_statement,body,True,False,unary_operator,True
r,r-lib/tree-sitter-r,for_statement,body,True,False,while_statement,True
r,r-lib/tree-sitter-r,for_statement,close,True,False,),False
r,r-lib/tree-sitter-r,for_statement,open,True,False,(,False
r,r-lib/tree-sitter-r,for_statement,sequence,True,False,binary_operator,True
r,r-lib/tree-sitter-r,for_statement,sequence,True,False,braced_expression,True
r,r-lib/tree-sitter-r,for_statement,sequence,True,False,break,True
r,r-lib/tree-sitter-r,for_statement,sequence,True,False,call,True
r,r-lib/tree-sitter-r,for_statement,sequence,True,False,complex,True
r,r-lib/tree-sitter-r,for_statement,sequence,True,False,dot_dot_i,True
r,r-lib/tree-sitter-r,for_statement,sequence,True,False,dots,True
r,r-lib/tree-sitter-r,for_statement,sequence,True,False,extract_operator,True
r,r-lib/tree-sitter-r,for_statement,sequence,True,False,false,True
r,r-lib/tree-sitter-r,for_statement,sequence,True,False,float,True
r,r-lib/tree-sitter-r,for_statement,sequence,True,False,for_statement,True
r,r-lib/tree-sitter-r,for_statement,sequence,True,False,function_definition,True
r,r-lib/tree-sitter-r,for_statement,sequence,True,False,identifier,True
r,r-lib/tree-sitter-r,for_statement,sequence,True,False,if_statement,True
r,r-lib/tree-sitter-r,for_statement,sequence,True,False,inf,True
r,r-lib/tree-sitter-r,for_statement,sequence,True,False,integer,True
r,r-lib/tree-sitter-r,for_statement,sequence,True,False,na,True
r,r-lib/tree-sitter-r,for_statement,sequence,True,False,namespace_operator,True
r,r-lib/tree-sitter-r,for_statement,sequence,True,False,nan,True
r,r-lib/tree-sitter-r,for_statement,sequence,True,False,next,True
r,r-lib/tree-sitter-r,for_statement,sequence,True,False,null,True
r,r-lib/tree-sitter-r,for_statement,sequence,True,False,parenthesized_expression,True
r,r-lib/tree-sitter-r,for_statement,sequence,True,False,repeat_statement,True
r,r-lib/tree-sitter-r,for_statement,sequence,True,False,string,True
r,r-lib/tree-sitter-r,for_statement,sequence,True,False,subset,True
r,r-lib/tree-sitter-r,for_statement,sequence,True,False,subset2,True
r,r-lib/tree-sitter-r,for_statement,sequence,True,False,true,True
r,r-lib/tree-sitter-r,for_statement,sequence,True,False,unary_operator,True
r,r-lib/tree-sitter-r,for_statement,sequence,True,False,while_statement,True
r,r-lib/tree-sitter-r,for_statement,variable,True,False,dot_dot_i,True
r,r-lib/tree-sitter-r,for_statement,variable,True,False,dots,True
r,r-lib/tree-sitter-r,for_statement,variable,True,False,identifier,True
r,r-lib/tree-sitter-r,function_definition,body,True,False,binary_operator,True
r,r-lib/tree-sitter-r,function_definition,body,True,False,braced_expression,True
r,r-lib/tree-sitter-r,function_definition,body,True,False,break,True
r,r-lib/tree-sitter-r,function_definition,body,True,False,call,True
r,r-lib/tree-sitter-r,function_definition,body,True,False,complex,True
r,r-lib/tree-sitter-r,function_definition,body,True,False,dot_dot_i,True
r,r-lib/tree-sitter-r,function_definition,body,True,False,dots,True
r,r-lib/tree-sitter-r,function_definition,body,True,False,extract_operator,True
r,r-lib/tree-sitter-r,function_definition,body,True,False,false,True
r,r-lib/tree-sitter-r,function_definition,body,True,False,float,True
r,r-lib/tree-sitter-r,function_definition,body,True,False,for_statement,True
r,r-lib/tree-sitter-r,function_definition,body,True,False,function_definition,True
r,r-lib/tree-sitter-r,function_definition,body,True,False,identifier,True
r,r-lib/tree-sitter-r,function_definition,body,True,False,if_statement,True
r,r-lib/tree-sitter-r,function_definition,body,True,False,inf,True
r,r-lib/tree-sitter-r,function_definition,body,True,False,integer,True
r,r-lib/tree-sitter-r,function_definition,body,True,False,na,True
r,r-lib/tree-sitter-r,function_definition,body,True,False,namespace_operator,True
r,r-lib/tree-sitter-r,function_definition,body,True,False,nan,True
r,r-lib/tree-sitter-r,function_definition,body,True,False,next,True
r,r-lib/tree-sitter-r,function_definition,body,True,False,null,True
r,r-lib/tree-sitter-r,function_definition,body,True,False,parenthesized_expression,True
r,r-lib/tree-sitter-r,function_definition,body,True,False,repeat_statement,True
r,r-lib/tree-sitter-r,function_definition,body,True,False,string,True
r,r-lib/tree-sitter-r,function_definition,body,True,False,subset,True
r,r-lib/tree-sitter-r,function_definition,body,True,False,subset2,True
r,r-lib/tree-sitter-r,function_definition,body,True,False,true,True
r,r-lib/tree-sitter-r,function_definition,body,True,False,unary_operator,True
r,r-lib/tree-sitter-r,function_definition,body,True,False,while_statement,True
r,r-lib/tree-sitter-r,function_definition,name,True,False,\,False
r,r-lib/tree-sitter-r,function_definition,name,True,False,function,False
r,r-lib/tree-sitter-r,function_definition,parameters,True,False,parameters,True
r,r-lib/tree-sitter-r,if_statement,alternative,False,False,binary_operator,True
r,r-lib/tree-sitter-r,if_statement,alternative,False,False,braced_expression,True
r,r-lib/tree-sitter-r,if_statement,alternative,False,False,break,True
r,r-lib/tree-sitter-r,if_statement,alternative,False,False,call,True
r,r-lib/tree-sitter-r,if_statement,alternative,False,False,complex,True
r,r-lib/tree-sitter-r,if_statement,alternative,False,False,dot_dot_i,True
r,r-lib/tree-sitter-r,if_statement,alternative,False,False,dots,True
r,r-lib/tree-sitter-r,if_statement,alternative,False,False,extract_operator,True
r,r-lib/tree-sitter-r,if_statement,alternative,False,False,false,True
r,r-lib/tree-sitter-r,if_statement,alternative,False,False,float,True
r,r-lib/tree-sitter-r,if_statement,alternative,False,False,for_statement,True
r,r-lib/tree-sitter-r,if_statement,alternative,False,False,function_definition,True
r,r-lib/tree-sitter-r,if_statement,alternative,False,False,identifier,True
r,r-lib/tree-sitter-r,if_statement,alternative,False,False,if_statement,True
r,r-lib/tree-sitter-r,if_statement,alternative,False,False,inf,True
r,r-lib/tree-sitter-r,if_statement,alternative,False,False,integer,True
r,r-lib/tree-sitter-r,if_statement,alternative,False,False,na,True
r,r-lib/tree-sitter-r,if_statement,alternative,False,False,namespace_operator,True
r,r-lib/tree-sitter-r,if_statement,alternative,False,False,nan,True
r,r-lib/tree-sitter-r,if_statement,alternative,False,False,next,True
r,r-lib/tree-sitter-r,if_statement,alternative,False,False,null,True
r,r-lib/tree-sitter-r,if_statement,alternative,False,False,parenthesized_expression,True
r,r-lib/tree-sitter-r,if_statement,alternative,False,False,repeat_statement,True
r,r-lib/tree-sitter-r,if_statement,alternative,False,False,string,True
r,r-lib/tree-sitter-r,if_statement,alternative,False,False,subset,True
r,r-lib/tree-sitter-r,if_statement,alternative,False,False,subset2,True
r,r-lib/tree-sitter-r,if_statement,alternative,False,False,true,True
r,r-lib/tree-sitter-r,if_statement,alternative,False,False,unary_operator,True
r,r-lib/tree-sitter-r,if_statement,alternative,False,False,while_statement,True
r,r-lib/tree-sitter-r,if_statement,close,True,False,),False
r,r-lib/tree-sitter-r,if_statement,condition,True,False,binary_operator,True
r,r-lib/tree-sitter-r,if_statement,condition,True,False,braced_expression,True
r,r-lib/tree-sitter-r,if_statement,condition,True,False,break,True
r,r-lib/tree-sitter-r,if_statement,condition,True,False,call,True
r,r-lib/tree-sitter-r,if_statement,condition,True,False,complex,True
r,r-lib/tree-sitter-r,if_statement,condition,True,False,dot_dot_i,True
r,r-lib/tree-sitter-r,if_statement,condition,True,False,dots,True
r,r-lib/tree-sitter-r,if_statement,condition,True,False,extract_operator,True
r,r-lib/tree-sitter-r,if_statement,condition,True,False,false,True
r,r-lib/tree-sitter-r,if_statement,condition,True,False,float,True
r,r-lib/tree-sitter-r,if_statement,condition,True,False,for_statement,True
r,r-lib/tree-sitter-r,if_statement,condition,True,False,function_definition,True
r,r-lib/tree-sitter-r,if_statement,condition,True,False,identifier,True
r,r-lib/tree-sitter-r,if_statement,condition,True,False,if_statement,True
r,r-lib/tree-sitter-r,if_statement,condition,True,False,inf,True
r,r-lib/tree-sitter-r,if_statement,condition,True,False,integer,True
r,r-lib/tree-sitter-r,if_statement,condition,True,False,na,True
r,r-lib/tree-sitter-r,if_statement,condition,True,False,namespace_operator,True
r,r-lib/tree-sitter-r,if_statement,condition,True,False,nan,True
r,r-lib/tree-sitter-r,if_statement,condition,True,False,next,True
r,r-lib/tree-sitter-r,if_statement,condition,True,False,null,True
r,r-lib/tree-sitter-r,if_statement,condition,True,False,parenthesized_expression,True
r,r-lib/tree-sitter-r,if_statement,condition,True,False,repeat_statement,True
r,r-lib/tree-sitter-r,if_statement,condition,True,False,string,True
r,r-lib/tree-sitter-r,if_statement,condition,True,False,subset,True
r,r-lib/tree-sitter-r,if_statement,condition,True,False,subset2,True
r,r-lib/tree-sitter-r,if_statement,condition,True,False,true,True
r,r-lib/tree-sitter-r,if_statement,condition,True,False,unary_operator,True
r,r-lib/tree-sitter-r,if_statement,condition,True,False,while_statement,True
r,r-lib/tree-sitter-r,if_statement,consequence,True,False,binary_operator,True
r,r-lib/tree-sitter-r,if_statement,consequence,True,False,braced_expression,True
r,r-lib/tree-sitter-r,if_statement,consequence,True,False,break,True
r,r-lib/tree-sitter-r,if_statement,consequence,True,False,call,True
r,r-lib/tree-sitter-r,if_statement,consequence,True,False,complex,True
r,r-lib/tree-sitter-r,if_statement,consequence,True,False,dot_dot_i,True
r,r-lib/tree-sitter-r,if_statement,consequence,True,False,dots,True
r,r-lib/tree-sitter-r,if_statement,consequence,True,False,extract_operator,True
r,r-lib/tree-sitter-r,if_statement,consequence,True,False,false,True
r,r-lib/tree-sitter-r,if_statement,consequence,True,False,float,True
r,r-lib/tree-sitter-r,if_statement,consequence,True,False,for_statement,True
r,r-lib/tree-sitter-r,if_statement,consequence,True,False,function_definition,True
r,r-lib/tree-sitter-r,if_statement,consequence,True,False,identifier,True
r,r-lib/tree-sitter-r,if_statement,consequence,True,False,if_statement,True
r,r-lib/tree-sitter-r,if_statement,consequence,True,False,inf,True
r,r-lib/tree-sitter-r,if_statement,consequence,True,False,integer,True
r,r-lib/tree-sitter-r,if_statement,consequence,True,False,na,True
r,r-lib/tree-sitter-r,if_statement,consequence,True,False,namespace_operator,True
r,r-lib/tree-sitter-r,if_statement,consequence,True,False,nan,True
r,r-lib/tree-sitter-r,if_statement,consequence,True,False,next,True
r,r-lib/tree-sitter-r,if_statement,consequence,True,False,null,True
r,r-lib/tree-sitter-r,if_statement,consequence,True,False,parenthesized_expression,True
r,r-lib/tree-sitter-r,if_statement,consequence,True,False,repeat_statement,True
r,r-lib/tree-sitter-r,if_statement,consequence,True,False,string,True
r,r-lib/tree-sitter-r,if_statement,consequence,True,False,subset,True
r,r-lib/tree-sitter-r,if_statement,consequence,True,False,subset2,True
r,r-lib/tree-sitter-r,if_statement,consequence,True,False,true,True
r,r-lib/tree-sitter-r,if_statement,consequence,True,False,unary_operator,True
r,r-lib/tree-sitter-r,if_statement,consequence,True,False,while_statement,True
r,r-lib/tree-sitter-r,if_statement,open,True,False,(,False
r,r-lib/tree-sitter-r,namespace_operator,lhs,True,False,dot_dot_i,True
r,r-lib/tree-sitter-r,namespace_operator,lhs,True,False,dots,True
r,r-lib/tree-sitter-r,namespace_operator,lhs,True,False,identifier,True
r,r-lib/tree-sitter-r,namespace_operator,lhs,True,False,string,True
r,r-lib/tree-sitter-r,namespace_operator,operator,True,False,::,False
