language,repository,rule,atom_count,max_depth,symbol_ref_count,field_count,operators,operator_counts_json,symbol_refs,fields,rule_json
r,r-lib/tree-sitter-r,repeat_statement,7,3,2,1,FIELD|PREC_LEFT|REPEAT|SEQ|STRING|SYMBOL,"{""FIELD"":1,""PREC_LEFT"":1,""REPEAT"":1,""SEQ"":1,""STRING"":1,""SYMBOL"":2}",_expression|_newline,body,"{""type"":""PREC_LEFT"",""value"":2,""content"":{""type"":""SEQ"",""members"":[{""type"":""STRING"",""value"":""repeat""},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""body"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}]}}"
r,r-lib/tree-sitter-r,braced_expression,12,5,5,3,CHOICE|FIELD|PREC|REPEAT|SEQ|SYMBOL,"{""CHOICE"":1,""FIELD"":3,""PREC"":1,""REPEAT"":1,""SEQ"":1,""SYMBOL"":5}",_close_brace|_expression|_newline|_open_brace|_semicolon,body|close|open,"{""type"":""PREC"",""value"":0,""content"":{""type"":""SEQ"",""members"":[{""type"":""FIELD"",""name"":""open"",""content"":{""type"":""SYMBOL"",""name"":""_open_brace""}},{""type"":""REPEAT"",""content"":{""type"":""FIELD"",""name"":""body"",""content"":{""type"":""CHOICE"",""members"":[{""type"":""SYMBOL"",""name"":""_expression""},{""type"":""SYMBOL"",""name"":""_semicolon""},{""type"":""SYMBOL"",""name"":""_newline""}]}}},{""type"":""FIELD"",""name"":""close"",""content"":{""type"":""SYMBOL"",""name"":""_close_brace""}}]}}"
r,r-lib/tree-sitter-r,parenthesized_expression,8,3,3,3,FIELD|PREC|SEQ|SYMBOL,"{""FIELD"":3,""PREC"":1,""SEQ"":1,""SYMBOL"":3}",_close_parenthesis|_expression|_open_parenthesis,body|close|open,"{""type"":""PREC"",""value"":0,""content"":{""type"":""SEQ"",""members"":[{""type"":""FIELD"",""name"":""open"",""content"":{""type"":""SYMBOL"",""name"":""_open_parenthesis""}},{""type"":""FIELD"",""name"":""body"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}},{""type"":""FIELD"",""name"":""close"",""content"":{""type"":""SYMBOL"",""name"":""_close_parenthesis""}}]}}"
r,r-lib/tree-sitter-r,call,7,4,2,2,ALIAS|FIELD|PREC_RIGHT|SEQ|SYMBOL,"{""ALIAS"":1,""FIELD"":2,""PREC_RIGHT"":1,""SEQ"":1,""SYMBOL"":2}",_expression|call_arguments,arguments|function,"{""type"":""PREC_RIGHT"",""value"":20,""content"":{""type"":""SEQ"",""members"":[{""type"":""FIELD"",""name"":""function"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}},{""type"":""FIELD"",""name"":""arguments"",""content"":{""type"":""ALIAS"",""content"":{""type"":""SYMBOL"",""name"":""call_arguments""},""named"":true,""value"":""arguments""}}]}}"
r,r-lib/tree-sitter-r,subset,7,4,2,2,ALIAS|FIELD|PREC_RIGHT|SEQ|SYMBOL,"{""ALIAS"":1,""FIELD"":2,""PREC_RIGHT"":1,""SEQ"":1,""SYMBOL"":2}",_expression|subset_arguments,arguments|function,"{""type"":""PREC_RIGHT"",""value"":20,""content"":{""type"":""SEQ"",""members"":[{""type"":""FIELD"",""name"":""function"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}},{""type"":""FIELD"",""name"":""arguments"",""content"":{""type"":""ALIAS"",""content"":{""type"":""SYMBOL"",""name"":""subset_arguments""},""named"":true,""value"":""arguments""}}]}}"
r,r-lib/tree-sitter-r,subset2,7,4,2,2,ALIAS|FIELD|PREC_RIGHT|SEQ|SYMBOL,"{""ALIAS"":1,""FIELD"":2,""PREC_RIGHT"":1,""SEQ"":1,""SYMBOL"":2}",_expression|subset2_arguments,arguments|function,"{""type"":""PREC_RIGHT"",""value"":20,""content"":{""type"":""SEQ"",""members"":[{""type"":""FIELD"",""name"":""function"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}},{""type"":""FIELD"",""name"":""arguments"",""content"":{""type"":""ALIAS"",""content"":{""type"":""SYMBOL"",""name"":""subset2_arguments""},""named"":true,""value"":""arguments""}}]}}"
r,r-lib/tree-sitter-r,call_arguments,17,6,4,3,BLANK|CHOICE|FIELD|REPEAT|SEQ|SYMBOL,"{""BLANK"":2,""CHOICE"":2,""FIELD"":4,""REPEAT"":1,""SEQ"":3,""SYMBOL"":5}",_close_parenthesis|_open_parenthesis|argument|comma,argument|close|open,"{""type"":""SEQ"",""members"":[{""type"":""FIELD"",""name"":""open"",""content"":{""type"":""SYMBOL"",""name"":""_open_parenthesis""}},{""type"":""SEQ"",""members"":[{""type"":""CHOICE"",""members"":[{""type"":""FIELD"",""name"":""argument"",""content"":{""type"":""SYMBOL"",""name"":""argument""}},{""type"":""BLANK""}]},{""type"":""REPEAT"",""content"":{""type"":""SEQ"",""members"":[{""type"":""SYMBOL"",""name"":""comma""},{""type"":""CHOICE"",""members"":[{""type"":""FIELD"",""name"":""argument"",""content"":{""type"":""SYMBOL"",""name"":""argument""}},{""type"":""BLANK""}]}]}}]},{""type"":""FIELD"",""name"":""close"",""content"":{""type"":""SYMBOL"",""name"":""_close_parenthesis""}}]}"
r,r-lib/tree-sitter-r,subset_arguments,17,6,4,3,BLANK|CHOICE|FIELD|REPEAT|SEQ|SYMBOL,"{""BLANK"":2,""CHOICE"":2,""FIELD"":4,""REPEAT"":1,""SEQ"":3,""SYMBOL"":5}",_close_bracket|_open_bracket|argument|comma,argument|close|open,"{""type"":""SEQ"",""members"":[{""type"":""FIELD"",""name"":""open"",""content"":{""type"":""SYMBOL"",""name"":""_open_bracket""}},{""type"":""SEQ"",""members"":[{""type"":""CHOICE"",""members"":[{""type"":""FIELD"",""name"":""argument"",""content"":{""type"":""SYMBOL"",""name"":""argument""}},{""type"":""BLANK""}]},{""type"":""REPEAT"",""content"":{""type"":""SEQ"",""members"":[{""type"":""SYMBOL"",""name"":""comma""},{""type"":""CHOICE"",""members"":[{""type"":""FIELD"",""name"":""argument"",""content"":{""type"":""SYMBOL"",""name"":""argument""}},{""type"":""BLANK""}]}]}}]},{""type"":""FIELD"",""name"":""close"",""content"":{""type"":""SYMBOL"",""name"":""_close_bracket""}}]}"
r,r-lib/tree-sitter-r,subset2_arguments,17,6,4,3,BLANK|CHOICE|FIELD|REPEAT|SEQ|SYMBOL,"{""BLANK"":2,""CHOICE"":2,""FIELD"":4,""REPEAT"":1,""SEQ"":3,""SYMBOL"":5}",_close_bracket2|_open_bracket2|argument|comma,argument|close|open,"{""type"":""SEQ"",""members"":[{""type"":""FIELD"",""name"":""open"",""content"":{""type"":""SYMBOL"",""name"":""_open_bracket2""}},{""type"":""SEQ"",""members"":[{""type"":""CHOICE"",""members"":[{""type"":""FIELD"",""name"":""argument"",""content"":{""type"":""SYMBOL"",""name"":""argument""}},{""type"":""BLANK""}]},{""type"":""REPEAT"",""content"":{""type"":""SEQ"",""members"":[{""type"":""SYMBOL"",""name"":""comma""},{""type"":""CHOICE"",""members"":[{""type"":""FIELD"",""name"":""argument"",""content"":{""type"":""SYMBOL"",""name"":""argument""}},{""type"":""BLANK""}]}]}}]},{""type"":""FIELD"",""name"":""close"",""content"":{""type"":""SYMBOL"",""name"":""_close_bracket2""}}]}"
r,r-lib/tree-sitter-r,argument,3,1,2,0,CHOICE|SYMBOL,"{""CHOICE"":1,""SYMBOL"":2}",_argument_named|_argument_unnamed,,"{""type"":""CHOICE"",""members"":[{""type"":""SYMBOL"",""name"":""_argument_named""},{""type"":""SYMBOL"",""name"":""_argument_unnamed""}]}"
r,r-lib/tree-sitter-r,_argument_named,7,2,2,1,BLANK|CHOICE|FIELD|SEQ|STRING|SYMBOL,"{""BLANK"":1,""CHOICE"":1,""FIELD"":1,""SEQ"":1,""STRING"":1,""SYMBOL"":2}",_argument_name_string_or_identifier_or_null|_argument_value,name,"{""type"":""SEQ"",""members"":[{""type"":""FIELD"",""name"":""name"",""content"":{""type"":""SYMBOL"",""name"":""_argument_name_string_or_identifier_or_null""}},{""type"":""STRING"",""value"":""=""},{""type"":""CHOICE"",""members"":[{""type"":""SYMBOL"",""name"":""_argument_value""},{""type"":""BLANK""}]}]}"
r,r-lib/tree-sitter-r,_argument_unnamed,1,0,1,0,SYMBOL,"{""SYMBOL"":1}",_argument_value,,"{""type"":""SYMBOL"",""name"":""_argument_value""}"
r,r-lib/tree-sitter-r,_argument_value,2,1,1,1,FIELD|SYMBOL,"{""FIELD"":1,""SYMBOL"":1}",_expression,value,"{""type"":""FIELD"",""name"":""value"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}"
r,r-lib/tree-sitter-r,unary_operator,41,4,2,2,CHOICE|FIELD|PREC_LEFT|REPEAT|SEQ|STRING|SYMBOL,"{""CHOICE"":1,""FIELD"":10,""PREC_LEFT"":5,""REPEAT"":5,""SEQ"":5,""STRING"":5,""SYMBOL"":10}",_expression|_newline,operator|rhs,"{""type"":""CHOICE"",""members"":[{""type"":""PREC_LEFT"",""value"":1,""content"":{""type"":""SEQ"",""members"":[{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""?""}},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}]}},{""type"":""PREC_LEFT"",""value"":7,""content"":{""type"":""SEQ"",""members"":[{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""~""}},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}]}},{""type"":""PREC_LEFT"",""value"":10,""content"":{""type"":""SEQ"",""members"":[{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""!""}},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}]}},{""type"":""PREC_LEFT"",""value"":16,""content"":{""type"":""SEQ"",""members"":[{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""+""}},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}]}},{""type"":""PREC_LEFT"",""value"":16,""content"":{""type"":""SEQ"",""members"":[{""type"":""FIELD"",""name"":""operator"",""content"":{""type"":""STRING"",""value"":""-""}},{""type"":""REPEAT"",""content"":{""type"":""SYMBOL"",""name"":""_newline""}},{""type"":""FIELD"",""name"":""rhs"",""content"":{""type"":""SYMBOL"",""name"":""_expression""}}]}}]}"
