language_rule,ALIAS,BLANK,CHOICE,FIELD,IMMEDIATE_TOKEN,PATTERN,PREC,PREC_DYNAMIC,PREC_LEFT,PREC_RIGHT,REPEAT,REPEAT1,SEQ,STRING,SYMBOL,TOKEN
c:concatenated_string,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
c:conditional_expression,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0
c:continue_statement,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
c:declaration,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0
c:declaration_list,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
c:do_statement,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
c:else_clause,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
c:enum_specifier,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
c:enumerator,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
c:enumerator_list,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
c:escape_sequence,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1
c:expression,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
c:expression_statement,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
c:extension_expression,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
c:false,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
c:field_declaration,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
c:field_declaration_list,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
c:field_designator,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
c:field_expression,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0
c:for_statement,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
c:function_declarator,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0
c:function_definition,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0
c:function_field_declarator,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
c:function_type_declarator,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
c:generic_expression,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0
c:gnu_asm_clobber_list,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0
c:gnu_asm_expression,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0
c:gnu_asm_goto_list,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0
c:gnu_asm_input_operand,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
c:gnu_asm_input_operand_list,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0
c:gnu_asm_output_operand,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
c:gnu_asm_output_operand_list,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0
c:gnu_asm_qualifier,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
c:goto_statement,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
c:identifier,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
c:if_statement,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0
c:init_declarator,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0
c:initializer_list,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
c:initializer_pair,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0
c:labeled_statement,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0
c:linkage_specification,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0
c:macro_type_specifier,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0
c:ms_based_modifier,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
c:ms_call_modifier,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
c:ms_declspec_modifier,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
c:ms_pointer_modifier,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
c:ms_restrict_modifier,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
c:ms_signed_ptr_modifier,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
c:ms_unaligned_ptr_modifier,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
c:ms_unsigned_ptr_modifier,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
c:null,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
c:number_literal,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1
c:offsetof_expression,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0
c:parameter_declaration,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0
c:parameter_list,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
c:parenthesized_declarator,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0
c:parenthesized_expression,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
c:parenthesized_field_declarator,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0
c:parenthesized_type_declarator,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0
c:pointer_declarator,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0
c:pointer_expression,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0
c:pointer_field_declarator,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0
c:pointer_type_declarator,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0
c:preproc_arg,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
c:preproc_argument_list,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
c:preproc_binary_expression,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0
c:preproc_call,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0
c:preproc_call_expression,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
c:preproc_def,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0
c:preproc_defined,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0
c:preproc_directive,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
c:preproc_elif,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
c:preproc_elif_in_enumerator_list,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
c:preproc_elif_in_enumerator_list_no_comma,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
c:preproc_elif_in_field_declaration_list,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
c:preproc_elifdef,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0
c:preproc_elifdef_in_enumerator_list,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
c:preproc_elifdef_in_enumerator_list_no_comma,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0
c:preproc_elifdef_in_field_declaration_list,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0
c:preproc_else,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0
c:preproc_else_in_enumerator_list,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0
c:preproc_else_in_enumerator_list_no_comma,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0
c:preproc_else_in_field_declaration_list,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0
c:preproc_function_def,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0
c:preproc_if,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
c:preproc_if_in_enumerator_list,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
c:preproc_if_in_enumerator_list_no_comma,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
c:preproc_if_in_field_declaration_list,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
c:preproc_ifdef,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0
c:preproc_ifdef_in_enumerator_list,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0
c:preproc_ifdef_in_enumerator_list_no_comma,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0
c:preproc_ifdef_in_field_declaration_list,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0
c:preproc_include,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0
c:preproc_params,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0
c:preproc_parenthesized_expression,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
c:preproc_unary_expression,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0
c:primitive_type,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
c:return_statement,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
c:seh_except_clause,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
c:seh_finally_clause,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
c:seh_leave_statement,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
c:seh_try_statement,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0
c:sized_type_specifier,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0
c:sizeof_expression,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0
c:statement,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
c:storage_class_specifier,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
c:string_literal,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0
c:struct_specifier,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0
c:subscript_designator,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
c:subscript_expression,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0
c:subscript_range_designator,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
c:switch_statement,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
c:system_lib_string,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1
c:translation_unit,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
c:true,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
c:type_definition,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
c:type_descriptor,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0
c:type_qualifier,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
c:type_specifier,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
c:unary_expression,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0
c:union_specifier,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0
c:update_expression,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0
c:variadic_parameter,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
c:while_statement,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:_abstract_declarator,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
cpp:_assignment_expression_lhs,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:_assignment_left_expression,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
cpp:_binary_fold,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
cpp:_binary_fold_operator,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
cpp:_block_item,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
cpp:_class_declaration,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0
cpp:_class_declaration_item,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0
cpp:_class_name,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
cpp:_constructor_specifiers,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
cpp:_declaration_declarator,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
cpp:_declaration_modifiers,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
cpp:_declaration_specifiers,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
cpp:_declarator,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
cpp:_empty_declaration,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:_enum_base_clause,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0
cpp:_expression_not_binary,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
cpp:_field_declaration_declarator,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0
cpp:_field_declaration_list_item,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:_field_declarator,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
cpp:_field_identifier,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
cpp:_fold_operator,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
cpp:_for_range_loop_body,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:_for_statement_body,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0
cpp:_function_attributes_end,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0
cpp:_function_attributes_start,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0
cpp:_function_declaration_declarator,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0
cpp:_function_declarator_seq,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0
cpp:_function_exception_specification,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
cpp:_function_postfix,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
cpp:_lambda_capture,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:_lambda_capture_identifier,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:_namespace_identifier,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
cpp:_namespace_specifier,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:_non_case_statement,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
cpp:_old_style_function_declarator,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
cpp:_old_style_function_definition,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0
cpp:_old_style_parameter_list,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
cpp:_preproc_expression,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
cpp:_requirement,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
cpp:_requirement_clause_constraint,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:_scope_resolution,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0
cpp:_splice_specialization_specifier,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
cpp:_statement_identifier,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
cpp:_string,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
cpp:_top_level_expression_statement,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:_top_level_item,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
cpp:_top_level_statement,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
cpp:_type_declarator,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
cpp:_type_definition_declarators,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0
cpp:_type_definition_type,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
cpp:_type_identifier,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
cpp:_unary_left_fold,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:_unary_right_fold,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:abstract_array_declarator,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0
cpp:abstract_function_declarator,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0
cpp:abstract_parenthesized_declarator,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0
cpp:abstract_pointer_declarator,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0
cpp:abstract_reference_declarator,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0
cpp:access_specifier,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
cpp:alias_declaration,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0
cpp:alignas_qualifier,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:alignof_expression,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0
cpp:annotation,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:argument_list,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
cpp:array_declarator,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0
cpp:array_field_declarator,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0
cpp:array_type_declarator,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0
cpp:assignment_expression,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0
cpp:attribute,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:attribute_declaration,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0
cpp:attribute_specifier,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:attributed_declarator,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
cpp:attributed_field_declarator,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
cpp:attributed_statement,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
cpp:attributed_type_declarator,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
cpp:auto,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cpp:base_class_clause,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
cpp:binary_expression,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0
cpp:bitfield_clause,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:break_statement,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
cpp:call_expression,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0
cpp:case_statement,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0
cpp:cast_expression,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0
cpp:catch_clause,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:char_literal,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0
cpp:class_specifier,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:co_await_expression,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0
cpp:co_return_statement,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:co_yield_statement,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:comma_expression,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:comment,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1
cpp:compound_literal_expression,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:compound_requirement,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:compound_statement,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0
cpp:concatenated_string,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
cpp:concept_definition,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:condition_clause,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:condition_declaration,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:conditional_expression,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0
cpp:consteval_block_declaration,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:constraint_conjunction,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0
cpp:constraint_disjunction,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0
cpp:constructor_or_destructor_declaration,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0
cpp:constructor_or_destructor_definition,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0
cpp:constructor_try_statement,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0
cpp:continue_statement,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
cpp:declaration,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0
cpp:declaration_list,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
cpp:decltype,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:decltype_auto,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:default_method_clause,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
cpp:delete_expression,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:delete_method_clause,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
cpp:dependent_field_identifier,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:dependent_identifier,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:dependent_type,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0
cpp:dependent_type_identifier,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:destructor_name,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
cpp:do_statement,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:else_clause,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:enum_specifier,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0
cpp:enumerator,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:enumerator_list,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0
cpp:escape_sequence,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1
cpp:expansion_statement,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
cpp:explicit_function_specifier,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0
cpp:explicit_object_parameter_declaration,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
cpp:export_declaration,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0
cpp:expression,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
cpp:expression_statement,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:extension_expression,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:false,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
cpp:field_declaration,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0
cpp:field_declaration_list,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
cpp:field_designator,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
cpp:field_expression,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0
