feature,abi_calling_convention,allocation,array_list,array_type,assignment,atomic,attribute_annotation,await,binary_op,break,bytecode_vm,call,capture,cast_conversion,channel,class,closure_lambda,code_generation,compile_time_eval,comprehension,constant,continue,defer_cleanup,dynamic_dispatch,enum,exception_try,ffi,filesystem,for,foreach_iteration,function,function_type,gc,generic,generic_constraint,global_state,goto_label,identifier,if,import,index,interface_trait,io,ir,layout_alignment,lifetime,literal_boolean,literal_null,literal_numeric,literal_string,lock_mutex,macro,manual_memory,map_dict,map_type,member_access,memory_model,module,mutation,name_resolution,network,optimizer,optional_nullable,overload_resolution,ownership,parameter,pattern,pointer,primitive_bool,primitive_float,primitive_integer,primitive_string,random,reference,reflection,return,scope,set,shadowing,slice,struct,subtyping,switch_match,symbol_table,task_async,thread,throw_raise,time,tuple,tuple_type,type_inference,unary_op,union_sum,unsafe,variable,visibility,while,yield
bytecode_vm,0.00070,0.03150,0.00000,0.00000,0.00141,0.00340,0.00258,0.00088,0.00110,0.00000,1.00573,0.00000,0.00081,0.00121,0.00000,0.00060,0.00045,0.00000,0.00000,0.00121,0.03206,0.00000,0.00105,0.00000,0.00096,0.00511,0.00158,0.00012,0.00000,0.03261,0.03213,0.00123,0.00144,0.00176,0.00050,0.02136,0.00082,0.00144,0.00000,0.00226,0.00081,0.00114,0.00103,0.00245,0.00109,0.00000,0.00334,0.03177,0.00000,0.00068,0.02646,0.00143,0.00280,0.00159,0.00000,0.00000,0.00000,0.00179,0.03672,0.00000,0.00082,0.04304,0.00046,0.00000,0.00174,0.00318,0.00145,0.00000,0.00000,0.00035,0.00200,0.00000,0.00037,0.00180,0.00078,0.00000,0.00158,0.00000,0.00000,0.00000,0.00101,0.00053,0.00000,0.00104,0.03158,0.03500,0.00166,0.00000,0.00372,0.00000,0.00000,0.00000,0.00000,0.00158,0.00342,0.00173,0.00000,0.03007
call,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
capture,0.00048,0.00024,0.00000,0.00000,0.00102,0.00000,0.00422,0.00111,0.00048,0.00000,0.00094,0.00000,1.00434,0.00060,0.00000,0.03790,0.03773,0.00000,0.00000,0.00128,0.00170,0.00000,0.03907,0.00000,0.00061,0.04334,0.00092,0.00097,0.00000,0.03502,0.00713,0.00071,0.00068,0.00052,0.00031,0.00059,0.00022,0.00070,0.00000,0.00393,0.00000,0.00100,0.04342,0.00493,0.00105,0.00000,0.04094,0.04029,0.00000,0.00033,0.00000,0.00042,0.00024,0.00069,0.00000,0.00000,0.00000,0.00465,0.00165,0.00000,0.00104,0.00058,0.00093,0.00000,0.00000,0.00659,0.00296,0.00000,0.00000,0.00125,0.00000,0.00000,0.00131,0.00000,0.00089,0.00000,0.00041,0.00000,0.00000,0.00000,0.00031,0.00059,0.00000,0.00000,0.00148,0.00155,0.04319,0.00000,0.00323,0.00000,0.00000,0.00000,0.00000,0.00045,0.00068,0.00092,0.00000,0.03528
cast_conversion,0.00115,0.00046,0.00000,0.00000,0.00173,0.00022,0.03019,0.00187,0.02716,0.00000,0.00101,0.00000,0.00043,1.00450,0.00000,0.00161,0.00127,0.00000,0.00000,0.00316,0.03661,0.00000,0.00110,0.00000,0.00142,0.03041,0.00124,0.00061,0.00125,0.03052,0.03100,0.00329,0.00050,0.03226,0.00156,0.00009,0.00042,0.00307,0.00045,0.00234,0.00389,0.00192,0.00086,0.03020,0.00134,0.00000,0.00288,0.00416,0.00000,0.01786,0.00017,0.00136,0.00074,0.00204,0.00000,0.00000,0.00000,0.00198,0.03080,0.00000,0.00055,0.00137,0.00136,0.00000,0.00000,0.03421,0.00257,0.00000,0.00000,0.00078,0.00020,0.00000,0.00106,0.00041,0.00123,0.00052,0.00086,0.00000,0.00000,0.00000,0.00075,0.00130,0.00000,0.00028,0.00290,0.00069,0.00205,0.00000,0.03019,0.00000,0.00000,0.02664,0.00000,0.00066,0.00115,0.00175,0.00000,0.00340
channel,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00243,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00183,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00234,0.00000,0.00000,0.00254,0.00000,0.00242,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00294,0.00000,0.00273,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08015,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00246,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00273,0.00249,0.00257,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
class,0.00164,0.00038,0.00000,0.00000,0.00055,0.00000,0.02865,0.00036,0.00000,0.00000,0.00026,0.00000,0.01436,0.00085,0.00000,1.00629,0.02275,0.00000,0.00000,0.00040,0.00139,0.00000,0.02536,0.00000,0.00087,0.03458,0.00178,0.00084,0.00000,0.00245,0.03115,0.00067,0.00057,0.00106,0.00045,0.00032,0.00035,0.00065,0.00000,0.03418,0.00000,0.00201,0.01877,0.02620,0.00254,0.00000,0.03584,0.03567,0.00000,0.00000,0.00000,0.00090,0.00021,0.00099,0.00000,0.00000,0.00000,0.03025,0.00233,0.00000,0.00106,0.00015,0.00221,0.00000,0.00000,0.02860,0.00176,0.00000,0.00000,0.01691,0.00000,0.00000,0.00155,0.00000,0.00058,0.00000,0.00028,0.00000,0.00000,0.00000,0.00141,0.00114,0.00000,0.00000,0.00251,0.00205,0.03117,0.00000,0.00315,0.00000,0.00000,0.00000,0.00000,0.00071,0.00245,0.00118,0.00000,0.00227
closure_lambda,0.00074,0.00038,0.00000,0.00000,0.02083,0.00000,0.02941,0.01991,0.00114,0.00000,0.00026,0.00000,0.01871,0.00087,0.00000,0.02978,1.00566,0.00000,0.00000,0.02163,0.00190,0.00000,0.02712,0.00000,0.00069,0.03113,0.00109,0.00037,0.00126,0.00352,0.03298,0.00089,0.00062,0.00227,0.00085,0.00069,0.00057,0.00087,0.00000,0.00409,0.00236,0.00106,0.00288,0.00321,0.00180,0.00000,0.03040,0.03032,0.00000,0.00140,0.00000,0.00082,0.00018,0.00101,0.00000,0.00000,0.00000,0.00383,0.00191,0.00000,0.00088,0.00033,0.00175,0.00000,0.00000,0.02825,0.02280,0.00000,0.00000,0.00128,0.00000,0.00000,0.00137,0.00018,0.00035,0.00000,0.00134,0.00000,0.00027,0.00031,0.00092,0.00111,0.00000,0.00080,0.00256,0.00133,0.02795,0.00000,0.02615,0.00000,0.00000,0.00164,0.00000,0.00055,0.00135,0.00095,0.00000,0.00417
code_generation,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
compile_time_eval,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
comprehension,0.00000,0.00000,0.00000,0.00000,0.03269,0.00000,0.00357,0.02897,0.03577,0.00000,0.00081,0.00000,0.00073,0.00252,0.00000,0.00061,0.02505,0.00000,0.00000,1.01268,0.00327,0.00000,0.00056,0.00000,0.00000,0.00160,0.00000,0.00000,0.02212,0.00177,0.00212,0.00238,0.00000,0.03083,0.01922,0.01690,0.00000,0.00212,0.00150,0.00000,0.03508,0.00000,0.00046,0.00061,0.00000,0.00000,0.00111,0.00157,0.00000,0.01794,0.00000,0.00000,0.00143,0.00122,0.00000,0.00000,0.00000,0.00000,0.00111,0.00000,0.00000,0.00000,0.00068,0.00000,0.00000,0.00299,0.00416,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00048,0.02964,0.00056,0.01354,0.00100,0.00000,0.00000,0.00000,0.02633,0.00510,0.00000,0.00108,0.00000,0.00425,0.00000,0.00000,0.03814,0.00000,0.00000,0.00059,0.00046,0.00118,0.02788
constant,0.00120,0.00168,0.00000,0.00000,0.00193,0.00054,0.02202,0.00163,0.01377,0.00000,0.01319,0.00000,0.00060,0.01804,0.00000,0.00130,0.00136,0.00000,0.00000,0.00202,1.00704,0.00000,0.00090,0.00000,0.00104,0.02416,0.00098,0.00040,0.00051,0.02151,0.02389,0.01490,0.00034,0.02079,0.00101,0.00031,0.00042,0.01779,0.00000,0.00228,0.01571,0.00141,0.00100,0.02039,0.00110,0.00027,0.00285,0.02259,0.00000,0.01501,0.00041,0.01415,0.00059,0.00136,0.00000,0.00000,0.00000,0.00156,0.02250,0.00000,0.00037,0.01542,0.00223,0.00000,0.00000,0.02384,0.01600,0.00000,0.00000,0.00065,0.00013,0.00000,0.00071,0.00066,0.01015,0.00041,0.00076,0.00000,0.00000,0.00027,0.00068,0.00097,0.00000,0.00017,0.00348,0.00137,0.00226,0.00000,0.02430,0.00000,0.00000,0.00293,0.00000,0.00079,0.00148,0.00128,0.00000,0.02021
continue,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00722,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
defer_cleanup,0.00145,0.00125,0.00000,0.00000,0.00038,0.00071,0.00472,0.00037,0.00000,0.00000,0.00051,0.00000,0.01629,0.00064,0.00030,0.02790,0.02279,0.00000,0.00000,0.00041,0.00106,0.00000,1.00609,0.00000,0.00063,0.03370,0.00156,0.00128,0.00000,0.00234,0.03025,0.00044,0.01479,0.00074,0.00028,0.00036,0.00030,0.00043,0.00000,0.02553,0.00000,0.00203,0.02166,0.02696,0.00189,0.00000,0.03084,0.02956,0.00000,0.00000,0.00029,0.00077,0.00098,0.00073,0.00000,0.00000,0.00000,0.02637,0.00307,0.00000,0.01430,0.00041,0.00168,0.00000,0.00026,0.02706,0.00143,0.00000,0.00000,0.00162,0.00025,0.00000,0.01542,0.00043,0.00063,0.00000,0.00011,0.00000,0.00000,0.00000,0.00118,0.00087,0.00000,0.00000,0.00240,0.02116,0.02916,0.00033,0.00251,0.00000,0.00000,0.00000,0.00000,0.00087,0.00244,0.00091,0.00000,0.00192
dynamic_dispatch,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
enum,0.00291,0.00206,0.00000,0.00000,0.00068,0.00063,0.03656,0.00000,0.00000,0.00000,0.00098,0.00000,0.00054,0.00173,0.00000,0.00202,0.00122,0.00000,0.00000,0.00000,0.00257,0.00000,0.00133,0.00000,1.00364,0.00469,0.03636,0.00111,0.00000,0.03856,0.04019,0.00102,0.00080,0.00151,0.00127,0.00041,0.00173,0.00069,0.00000,0.00495,0.00000,0.00242,0.00104,0.03719,0.00265,0.00000,0.00402,0.03886,0.00000,0.00000,0.00100,0.00130,0.00189,0.00202,0.00000,0.00000,0.00000,0.00338,0.03843,0.00000,0.00052,0.00073,0.00178,0.00000,0.00075,0.04110,0.00126,0.00000,0.00000,0.00135,0.00183,0.00000,0.00115,0.00116,0.00098,0.00000,0.00040,0.00000,0.00000,0.00000,0.03496,0.00138,0.00000,0.00000,0.00221,0.00129,0.00255,0.00000,0.00398,0.00000,0.00036,0.00000,0.00000,0.00082,0.03999,0.00338,0.00000,0.00172
exception_try,0.00801,0.00132,0.00000,0.00000,0.00077,0.00060,0.01534,0.00054,0.00071,0.00000,0.00093,0.00000,0.00682,0.00664,0.00012,0.01435,0.00987,0.00000,0.00000,0.00044,0.01071,0.00000,0.01271,0.00000,0.00084,1.00779,0.00951,0.00584,0.00000,0.01190,0.01897,0.00687,0.00607,0.00897,0.00080,0.00045,0.00066,0.00682,0.00000,0.01590,0.00060,0.00963,0.00914,0.01493,0.01017,0.00000,0.01718,0.01877,0.00000,0.00051,0.00037,0.00653,0.00096,0.00768,0.00000,0.00000,0.00000,0.01401,0.01370,0.00000,0.00648,0.00629,0.00950,0.00000,0.00018,0.01737,0.00780,0.00000,0.00000,0.00734,0.00070,0.00000,0.00624,0.00054,0.00074,0.00000,0.00049,0.00000,0.00000,0.00000,0.00105,0.00580,0.00000,0.00015,0.01053,0.00974,0.01511,0.00013,0.01341,0.00000,0.00000,0.00069,0.00000,0.00462,0.01133,0.00823,0.00000,0.01015
