rank,ast_node,kind,file,line,gap_score,mapped_features,missing_or_partial_features
24,MatchSequence,asdl_constructor,Parser/Python.asdl,136,0.460123,switch_match,switch_match
25,MatchAs,asdl_constructor,Parser/Python.asdl,143,0.460123,switch_match,switch_match
26,MatchSingleton,asdl_constructor,Parser/Python.asdl,135,0.460123,switch_match,switch_match
27,MatchStar,asdl_constructor,Parser/Python.asdl,140,0.460123,switch_match,switch_match
28,MatchOr,asdl_constructor,Parser/Python.asdl,144,0.460123,switch_match,switch_match
29,Subscript,asdl_constructor,Parser/Python.asdl,88,0.425249,index,index
30,AnnAssign,asdl_constructor,Parser/Python.asdl,31,0.417387,assignment,assignment
31,Assign,asdl_constructor,Parser/Python.asdl,27,0.417387,assignment,assignment
32,AugAssign,asdl_constructor,Parser/Python.asdl,29,0.417387,assignment,assignment
33,BinOp,asdl_constructor,Parser/Python.asdl,62,0.355510,binary_op,binary_op
34,For,asdl_constructor,Parser/Python.asdl,34,0.331625,for,for
35,AsyncFor,asdl_constructor,Parser/Python.asdl,35,0.331625,for,for
36,FormattedValue,asdl_constructor,Parser/Python.asdl,80,0.331625,for,for
37,UnaryOp,asdl_constructor,Parser/Python.asdl,63,0.319312,unary_op,unary_op
38,List,asdl_constructor,Parser/Python.asdl,91,0.312160,array_list,array_list
39,ListComp,asdl_constructor,Parser/Python.asdl,68,0.312160,array_list,array_list
40,BoolOp,asdl_constructor,Parser/Python.asdl,60,0.294259,literal_boolean,
41,If,asdl_constructor,Parser/Python.asdl,37,0.115519,if,
42,RShift,asdl_constructor,Parser/Python.asdl,105,0.115519,if,
43,IfExp,asdl_constructor,Parser/Python.asdl,65,0.115519,if,
44,Return,asdl_constructor,Parser/Python.asdl,24,0.101683,return,
45,While,asdl_constructor,Parser/Python.asdl,36,0.091880,while,
46,Call,asdl_constructor,Parser/Python.asdl,79,0.064653,call,call
47,Continue,asdl_constructor,Parser/Python.asdl,54,0.018560,continue,
48,ImportFrom,asdl_constructor,Parser/Python.asdl,49,0.000000,,
49,Expr,asdl_constructor,Parser/Python.asdl,53,0.000000,,
50,Pass,asdl_constructor,Parser/Python.asdl,54,0.000000,,
51,NamedExpr,asdl_constructor,Parser/Python.asdl,61,0.000000,,
52,Set,asdl_constructor,Parser/Python.asdl,67,0.000000,,
53,Compare,asdl_constructor,Parser/Python.asdl,78,0.000000,,
54,Import,asdl_constructor,Parser/Python.asdl,48,0.000000,,
55,Global,asdl_constructor,Parser/Python.asdl,51,0.000000,,
56,Nonlocal,asdl_constructor,Parser/Python.asdl,52,0.000000,,
57,With,asdl_constructor,Parser/Python.asdl,38,0.000000,,
58,Module,asdl_constructor,Parser/Python.asdl,6,0.000000,,
59,TypeAlias,asdl_constructor,Parser/Python.asdl,28,0.000000,,
60,Expression,asdl_constructor,Parser/Python.asdl,8,0.000000,,
61,Interactive,asdl_constructor,Parser/Python.asdl,7,0.000000,,
62,Delete,asdl_constructor,Parser/Python.asdl,26,0.000000,,
63,AsyncWith,asdl_constructor,Parser/Python.asdl,39,0.000000,,
64,Assert,asdl_constructor,Parser/Python.asdl,46,0.000000,,
65,Add,asdl_constructor,Parser/Python.asdl,104,0.000000,,
66,And,asdl_constructor,Parser/Python.asdl,102,0.000000,,
67,Del,asdl_constructor,Parser/Python.asdl,100,0.000000,,
68,Load,asdl_constructor,Parser/Python.asdl,100,0.000000,,
69,Name,asdl_constructor,Parser/Python.asdl,90,0.000000,,
70,Constant,asdl_constructor,Parser/Python.asdl,84,0.000000,,
71,Attribute,asdl_constructor,Parser/Python.asdl,87,0.000000,,
72,Starred,asdl_constructor,Parser/Python.asdl,89,0.000000,,
73,Interpolation,asdl_constructor,Parser/Python.asdl,81,0.000000,,
74,JoinedStr,asdl_constructor,Parser/Python.asdl,82,0.000000,,
75,SetComp,asdl_constructor,Parser/Python.asdl,69,0.000000,,
76,UAdd,asdl_constructor,Parser/Python.asdl,107,0.000000,,
77,BitXor,asdl_constructor,Parser/Python.asdl,105,0.000000,,
78,Mult,asdl_constructor,Parser/Python.asdl,104,0.000000,,
79,Div,asdl_constructor,Parser/Python.asdl,104,0.000000,,
80,Pow,asdl_constructor,Parser/Python.asdl,104,0.000000,,
81,In,asdl_constructor,Parser/Python.asdl,109,0.000000,,
82,Lt,asdl_constructor,Parser/Python.asdl,109,0.000000,,
83,Gt,asdl_constructor,Parser/Python.asdl,109,0.000000,,
84,Is,asdl_constructor,Parser/Python.asdl,109,0.000000,,
85,Eq,asdl_constructor,Parser/Python.asdl,109,0.000000,,
86,FloorDiv,asdl_constructor,Parser/Python.asdl,105,0.000000,,
87,Invert,asdl_constructor,Parser/Python.asdl,107,0.000000,,
88,TypeIgnore,asdl_constructor,Parser/Python.asdl,148,0.000000,,
89,TypeVar,asdl_constructor,Parser/Python.asdl,150,0.000000,,
90,ParamSpec,asdl_constructor,Parser/Python.asdl,151,0.000000,,
