rank,feature,category,semantic_layer,importance,current_sp_support,base_gap,propagated_gap,cluster,trusted_ast_hits,trusted_grammar_hits
25,subtyping,type,typing_semantics,0.356245,0.200000,0.284996,0.469785,CL01,0,0
26,switch_match,control,language_surface,0.460123,0.000000,0.460123,0.460123,CL07,10,2
27,constant,declaration,language_surface,0.602145,0.550000,0.270965,0.446495,CL01,0,0
28,optional_nullable,type,typing_semantics,0.449281,0.450000,0.247104,0.438572,CL01,0,0
29,scope,binding,language_surface,0.474046,0.500000,0.237023,0.431930,CL05,0,0
30,parameter,declaration,language_surface,0.664141,0.620000,0.252373,0.429716,CL01,0,0
31,index,expression,language_surface,0.589785,0.580000,0.247710,0.425249,CL02,1,0
32,variable,declaration,language_surface,0.697196,0.600000,0.278878,0.421360,CL01,0,0
33,assignment,expression,language_surface,0.708576,0.680000,0.226744,0.417387,CL02,3,1
34,function_type,type,typing_semantics,0.404732,0.480000,0.210460,0.417240,CL01,0,0
35,symbol_table,binding,language_surface,0.480715,0.450000,0.264393,0.407003,CL05,0,0
36,gc,memory,runtime_semantics,0.279203,0.070000,0.259659,0.393113,CL10,0,0
37,generic_constraint,type,typing_semantics,0.287065,0.350000,0.186592,0.383217,CL01,0,0
38,primitive_integer,type,typing_semantics,0.479863,0.400000,0.287918,0.379356,CL01,0,0
39,lock_mutex,concurrency,runtime_semantics,0.320766,0.182500,0.262226,0.356308,CL08,0,0
40,mutation,effect,runtime_semantics,0.373896,0.450000,0.205643,0.356034,CL04,0,0
41,binary_op,expression,language_surface,0.582235,0.680000,0.186315,0.355510,CL02,1,0
42,primitive_float,type,typing_semantics,0.436953,0.600000,0.174781,0.353048,CL01,0,0
43,network,effect,runtime_semantics,0.371094,0.550000,0.166992,0.346694,CL04,0,0
44,identifier,expression,language_surface,0.478868,0.720000,0.134083,0.343448,CL02,0,0
45,io,effect,runtime_semantics,0.344825,0.550000,0.155171,0.338439,CL04,0,0
46,for,control,language_surface,0.436881,0.480000,0.227178,0.331625,CL03,3,0
47,unary_op,expression,language_surface,0.566952,0.720000,0.158747,0.319312,CL02,1,1
48,random,effect,runtime_semantics,0.316425,0.550000,0.142391,0.315553,CL04,0,0
49,array_list,expression,language_surface,0.295690,0.000000,0.295690,0.312160,CL02,2,1
50,ir,meta,implementation_internal,0.151435,0.140000,0.130234,0.303588,,0,0
51,macro,meta,implementation_internal,0.136586,0.140000,0.117464,0.303055,,0,0
52,literal_boolean,expression,language_surface,0.930363,0.900000,0.093036,0.294259,,1,2
53,layout_alignment,memory,implementation_internal,0.150799,0.170000,0.125163,0.290422,,0,0
54,abi_calling_convention,memory,implementation_internal,0.128258,0.070000,0.119280,0.285392,,0,0
55,literal_null,expression,language_surface,0.992109,0.900000,0.099211,0.278939,,0,3
56,goto_label,control,implementation_internal,0.157222,0.000000,0.157222,0.274196,,0,0
57,struct,declaration,implementation_internal,0.148463,0.120000,0.130647,0.272692,,0,0
58,reflection,effect,runtime_semantics,0.225882,0.410000,0.133271,0.272341,CL04,0,0
59,filesystem,effect,runtime_semantics,0.250413,0.550000,0.112686,0.267851,CL04,0,0
60,allocation,effect,runtime_semantics,0.371229,0.550000,0.167053,0.264479,CL04,0,0
61,ffi,memory,implementation_internal,0.139302,0.167500,0.115969,0.262443,,0,0
62,bytecode_vm,meta,implementation_internal,0.138473,0.140000,0.119086,0.257212,,0,0
63,global_state,effect,runtime_semantics,0.203029,0.550000,0.091363,0.245668,CL04,0,0
64,type_inference,type,typing_semantics,0.234001,0.180000,0.191881,0.244452,CL01,0,0
65,shadowing,binding,language_surface,0.266072,0.250000,0.199554,0.243990,CL05,0,0
66,optimizer,meta,implementation_internal,0.106359,0.140000,0.091469,0.240005,,0,0
67,literal_string,expression,language_surface,0.549587,0.900000,0.054959,0.238963,,0,3
68,manual_memory,memory,implementation_internal,0.143563,0.070000,0.133514,0.237300,,0,0
69,enum,declaration,implementation_internal,0.116424,0.120000,0.102453,0.235193,,0,0
70,unsafe,memory,implementation_internal,0.087636,0.070000,0.081501,0.227694,,0,0
71,atomic,concurrency,implementation_internal,0.126442,0.182500,0.103366,0.206415,,0,0
72,overload_resolution,type,typing_semantics,0.227801,0.100000,0.205021,0.205021,CL01,0,0
73,array_type,type,typing_semantics,0.278421,0.420000,0.161484,0.193001,CL01,0,0
74,lifetime,binding,language_surface,0.217909,0.200000,0.174327,0.192325,CL05,0,0
75,reference,type,implementation_internal,0.118200,0.300000,0.082740,0.191498,,0,0
76,union_sum,type,typing_semantics,0.221093,0.300000,0.154765,0.179335,CL01,0,0
77,ownership,memory,implementation_internal,0.091282,0.170000,0.075764,0.169411,,0,0
78,name_resolution,binding,language_surface,0.232422,0.400000,0.139453,0.139453,CL05,0,0
79,time,effect,runtime_semantics,0.252692,0.550000,0.113712,0.135571,CL04,0,0
80,channel,concurrency,implementation_internal,0.112343,0.052500,0.106445,0.130588,,0,0
81,set,expression,language_surface,0.090440,0.000000,0.090440,0.129406,,0,0
82,if,control,language_surface,0.518623,0.900000,0.051862,0.115519,,3,9
83,return,control,language_surface,0.259972,0.900000,0.025997,0.101683,,1,0
84,dynamic_dispatch,effect,runtime_semantics,0.167107,0.410000,0.098593,0.098593,CL04,0,0
85,code_generation,meta,implementation_internal,0.111537,0.140000,0.095922,0.095922,,0,0
86,while,control,language_surface,0.262296,0.900000,0.026230,0.091880,,1,0
87,pointer,type,implementation_internal,0.088082,0.250000,0.066062,0.085641,,0,0
88,map_type,type,typing_semantics,0.128519,0.420000,0.074541,0.074541,CL01,0,0
89,primitive_string,type,typing_semantics,0.212227,0.650000,0.074279,0.074279,CL01,0,0
90,call,expression,language_surface,0.170140,0.620000,0.064653,0.064653,CL02,1,0
91,compile_time_eval,meta,implementation_internal,0.063353,0.140000,0.054483,0.054483,,0,0
92,tuple_type,type,typing_semantics,0.062011,0.380000,0.038447,0.038447,,0,0
93,primitive_bool,type,typing_semantics,0.054672,0.650000,0.019135,0.019135,,0,0
94,literal_numeric,expression,language_surface,0.188330,0.900000,0.018833,0.018833,,0,0
95,continue,control,language_surface,0.181413,0.900000,0.018141,0.018560,,1,0
96,memory_model,concurrency,implementation_internal,0.011421,0.052500,0.010821,0.010821,,0,0
97,member_access,expression,language_surface,0.007078,0.265000,0.005202,0.005202,,0,0
98,break,control,language_surface,0.033497,0.900000,0.003350,0.004931,,0,0
