feature,abi_calling_convention,allocation,array_list,array_type,assignment,atomic,attribute_annotation,await,binary_op,break,bytecode_vm,call,capture,cast_conversion,channel,class,closure_lambda,code_generation,compile_time_eval,comprehension,constant,continue,defer_cleanup,dynamic_dispatch,enum,exception_try,ffi,filesystem,for,foreach_iteration,function,function_type,gc,generic,generic_constraint,global_state,goto_label,identifier,if,import,index,interface_trait,io,ir,layout_alignment,lifetime,literal_boolean,literal_null,literal_numeric,literal_string,lock_mutex,macro,manual_memory,map_dict,map_type,member_access,memory_model,module,mutation,name_resolution,network,optimizer,optional_nullable,overload_resolution,ownership,parameter,pattern,pointer,primitive_bool,primitive_float,primitive_integer,primitive_string,random,reference,reflection,return,scope,set,shadowing,slice,struct,subtyping,switch_match,symbol_table,task_async,thread,throw_raise,time,tuple,tuple_type,type_inference,unary_op,union_sum,unsafe,variable,visibility,while,yield
bytecode_vm,0.08311,0.10624,0.00000,0.00896,0.06127,0.08521,0.09378,0.06347,0.05328,0.00618,0.00000,0.00994,0.08042,0.07157,0.03645,0.08589,0.08142,0.71272,0.69315,0.08186,0.11030,0.00720,0.09781,0.02866,0.07811,0.10240,0.09706,0.07327,0.04337,0.10988,0.10383,0.06555,0.08768,0.08928,0.05677,0.08083,0.05863,0.07202,0.02977,0.10119,0.06948,0.07449,0.09176,0.73943,0.07841,0.04019,0.10380,0.10519,0.01789,0.04128,0.09638,0.74566,0.08710,0.07252,0.01155,0.00000,0.00000,0.09149,0.12164,0.05247,0.07488,0.80479,0.07584,0.04880,0.08428,0.09695,0.08664,0.01731,0.01173,0.05388,0.08811,0.01080,0.06917,0.09253,0.06455,0.01260,0.08641,0.02073,0.04689,0.04105,0.09088,0.05508,0.03408,0.07577,0.11233,0.11984,0.08235,0.03715,0.10139,0.00471,0.02376,0.03064,0.01936,0.07584,0.10304,0.08564,0.03722,0.10914
call,0.01154,0.00721,0.25000,0.00000,0.65000,0.00000,0.00889,0.25000,0.66474,0.04167,0.00994,0.00000,0.01974,0.25000,0.00000,0.00726,0.26276,0.00000,0.00000,0.26407,0.00640,0.04167,0.04663,0.00000,0.00864,0.04921,0.00462,0.02249,0.04167,0.05273,0.00728,0.00991,0.01038,0.00714,0.00000,0.00000,0.04167,0.45000,0.04167,0.00539,0.46131,0.00658,0.00651,0.00927,0.00971,0.00000,0.65706,0.65641,0.65000,0.65000,0.00000,0.00821,0.00766,0.25878,0.00000,0.65000,0.00000,0.00688,0.01010,0.00000,0.01080,0.01021,0.01188,0.00000,0.00000,0.00850,0.25850,0.00000,0.00000,0.00613,0.00000,0.00000,0.00000,0.00000,0.01499,0.04167,0.00000,0.25000,0.00000,0.25000,0.00999,0.01078,0.04167,0.00000,0.00588,0.00596,0.05056,0.00000,0.25925,0.00000,0.00000,0.65000,0.00000,0.01437,0.00824,0.01400,0.04167,0.26219
capture,0.05820,0.06211,0.03976,0.00646,0.07786,0.03538,0.14870,0.06877,0.06184,0.00669,0.08042,0.01974,0.00000,0.05587,0.02314,0.15806,0.11441,0.03800,0.02708,0.09318,0.13429,0.00779,0.11368,0.01412,0.12740,0.11889,0.07673,0.05753,0.04217,0.10701,0.15613,0.07724,0.05789,0.14084,0.07171,0.07333,0.03587,0.28341,0.02210,0.14532,0.07171,0.11504,0.13412,0.09643,0.07307,0.68082,0.11208,0.10966,0.00701,0.06079,0.04000,0.04790,0.06530,0.07528,0.00491,0.00000,0.00000,0.14468,0.10263,0.69167,0.06360,0.07222,0.06983,0.04382,0.04108,0.15288,0.10390,0.00917,0.00373,0.06970,0.02574,0.00942,0.05695,0.04418,0.06939,0.05505,0.73607,0.03797,0.67779,0.03870,0.11757,0.02705,0.01155,0.71882,0.09425,0.08864,0.12154,0.02720,0.09369,0.01785,0.01741,0.06132,0.02198,0.04335,0.13866,0.12487,0.02651,0.10887
cast_conversion,0.10595,0.09923,0.25447,0.42952,0.34907,0.05876,0.12388,0.33174,0.36337,0.07143,0.07157,0.25000,0.05587,0.00000,0.02624,0.10029,0.36775,0.03910,0.02569,0.36734,0.14674,0.04897,0.15044,0.01636,0.12113,0.16297,0.10236,0.07134,0.11457,0.17015,0.12377,0.50937,0.05081,0.53193,0.49562,0.04514,0.11625,0.36871,0.07617,0.10127,0.35931,0.50255,0.09203,0.12613,0.11821,0.05106,0.35939,0.36101,0.28513,0.32939,0.07325,0.08700,0.08965,0.36292,0.45879,0.25000,0.00000,0.10767,0.12496,0.01084,0.06305,0.08065,0.52115,0.43654,0.05459,0.13871,0.36088,0.01622,0.41189,0.50074,0.46533,0.46026,0.07502,0.06520,0.07200,0.07911,0.05994,0.28988,0.04882,0.31204,0.09732,0.48243,0.06241,0.03783,0.12127,0.07483,0.15407,0.04922,0.37294,0.42548,0.43708,0.36273,0.41700,0.06875,0.11119,0.09438,0.06898,0.36162
channel,0.04322,0.03711,0.00000,0.01167,0.02845,0.66854,0.05378,0.02409,0.00240,0.01610,0.03645,0.00000,0.02314,0.02624,0.00000,0.04186,0.02646,0.02570,0.04156,0.02834,0.04323,0.01876,0.03730,0.00447,0.03050,0.04706,0.04555,0.05440,0.00000,0.04218,0.03789,0.03454,0.03874,0.03402,0.02647,0.02624,0.00491,0.03852,0.00000,0.03854,0.02580,0.06099,0.03463,0.04913,0.04723,0.03899,0.04222,0.04300,0.01091,0.01392,0.67985,0.03296,0.02555,0.05074,0.00645,0.00000,0.65000,0.04803,0.04069,0.02713,0.08015,0.02587,0.04508,0.01367,0.01292,0.04645,0.03019,0.01177,0.00899,0.03793,0.02422,0.01408,0.04995,0.01211,0.05562,0.00000,0.04325,0.00000,0.02497,0.01513,0.03114,0.03853,0.00000,0.02645,0.49869,0.69494,0.05130,0.03294,0.03977,0.00000,0.00876,0.00000,0.01723,0.02633,0.03277,0.05849,0.00766,0.02842
class,0.10902,0.09888,0.01637,0.08219,0.10659,0.05905,0.86609,0.08479,0.06069,0.00246,0.08589,0.00726,0.15806,0.10029,0.04186,0.00000,0.17337,0.04924,0.03286,0.08477,0.79266,0.01003,0.18314,0.02958,0.35455,0.24508,0.13314,0.08586,0.03435,0.16713,0.86964,0.16395,0.09868,0.38659,0.13972,0.06632,0.06377,0.10526,0.02404,0.90695,0.08301,0.39963,0.13789,0.18783,0.17245,0.09093,0.25872,0.25454,0.01076,0.06123,0.06206,0.08923,0.08508,0.12936,0.07915,0.00000,0.00209,0.87595,0.16872,0.07994,0.09734,0.09206,0.19088,0.10069,0.05517,0.85177,0.12704,0.10261,0.06414,0.18395,0.10834,0.07192,0.09881,0.12458,0.07218,0.02420,0.12925,0.02136,0.09922,0.05384,0.37569,0.15193,0.01357,0.09865,0.16176,0.14126,0.22742,0.04572,0.18399,0.06344,0.09086,0.05182,0.09624,0.07740,0.78630,0.77900,0.01481,0.14610
closure_lambda,0.10111,0.08075,0.25000,0.03397,0.37478,0.05117,0.16992,0.37295,0.34412,0.04599,0.08142,0.26276,0.11441,0.36775,0.02646,0.17337,0.00000,0.03994,0.02988,0.38499,0.12823,0.04671,0.20224,0.03088,0.10485,0.21380,0.11437,0.07188,0.09488,0.18718,0.19333,0.11989,0.08059,0.13216,0.10034,0.07441,0.08804,0.34528,0.05953,0.14733,0.36107,0.12013,0.12317,0.14933,0.12978,0.05378,0.41900,0.41715,0.26253,0.31469,0.06090,0.07396,0.08443,0.36850,0.03669,0.25000,0.00000,0.15277,0.14802,0.02638,0.07084,0.07315,0.10954,0.05053,0.04103,0.16011,0.38614,0.02154,0.01111,0.09974,0.04486,0.03404,0.09795,0.06336,0.07973,0.07216,0.09508,0.27679,0.06301,0.30657,0.10310,0.08390,0.04914,0.07330,0.14401,0.10813,0.19890,0.04720,0.40892,0.02034,0.03512,0.33790,0.04719,0.06663,0.11801,0.10056,0.06258,0.39442
code_generation,0.04141,0.04721,0.00000,0.00569,0.03643,0.02395,0.05663,0.03919,0.03831,0.00000,0.71272,0.00000,0.03800,0.03910,0.02570,0.04924,0.03994,0.00000,0.66727,0.03897,0.06816,0.00000,0.06441,0.00719,0.04015,0.06632,0.04979,0.02799,0.02100,0.05731,0.05564,0.04303,0.03826,0.05852,0.03632,0.03950,0.03055,0.05192,0.00324,0.05136,0.02480,0.04527,0.04590,0.70872,0.04231,0.02402,0.05553,0.05286,0.00362,0.02078,0.03879,0.69756,0.03746,0.03882,0.00000,0.00000,0.00000,0.04880,0.05651,0.01096,0.03196,0.72015,0.05844,0.01932,0.01888,0.04938,0.04307,0.02598,0.00657,0.04753,0.03059,0.00629,0.03548,0.03914,0.05056,0.00926,0.05254,0.00000,0.05061,0.01716,0.04033,0.01586,0.03217,0.03611,0.05201,0.03550,0.05682,0.03002,0.05141,0.00000,0.00609,0.01503,0.00540,0.04810,0.04905,0.04357,0.01026,0.05670
compile_time_eval,0.03840,0.04660,0.00000,0.00991,0.03548,0.02334,0.04165,0.02455,0.00000,0.00000,0.69315,0.00000,0.02708,0.02569,0.04156,0.03286,0.02988,0.66727,0.00000,0.02523,0.04761,0.00000,0.02817,0.01368,0.04403,0.03791,0.03236,0.03588,0.00000,0.03558,0.03786,0.04334,0.06462,0.04583,0.03822,0.02237,0.01378,0.02714,0.00000,0.02859,0.02668,0.04435,0.02259,0.69833,0.03865,0.03640,0.03537,0.03208,0.01517,0.02266,0.02877,0.69581,0.03659,0.05231,0.00000,0.00000,0.00000,0.03586,0.04781,0.01588,0.04144,0.68468,0.04626,0.06113,0.00783,0.04358,0.02874,0.00818,0.01249,0.02104,0.02358,0.00000,0.03390,0.05452,0.02876,0.00000,0.05057,0.00000,0.00826,0.02974,0.03265,0.05763,0.01288,0.02128,0.04595,0.04551,0.03089,0.01979,0.04266,0.00000,0.04202,0.00000,0.02951,0.02914,0.04139,0.04516,0.00000,0.02529
comprehension,0.06032,0.06140,0.65000,0.02183,0.40291,0.02429,0.11297,0.38701,0.42516,0.05041,0.08186,0.26407,0.09318,0.36734,0.02834,0.08477,0.38499,0.03897,0.02523,0.00000,0.11811,0.05185,0.12911,0.02477,0.09026,0.13115,0.06515,0.04220,0.14924,0.14205,0.09457,0.11408,0.04521,0.14479,0.10797,0.08380,0.07322,0.36693,0.09464,0.07219,0.61731,0.06148,0.06812,0.07389,0.06211,0.04093,0.33590,0.33501,0.26886,0.34201,0.02653,0.06434,0.07737,0.74740,0.01051,0.25000,0.00000,0.08692,0.09821,0.02966,0.05554,0.07252,0.09754,0.03276,0.02959,0.11004,0.37069,0.01278,0.01074,0.05421,0.02558,0.05522,0.04999,0.05761,0.05452,0.07672,0.14872,0.71318,0.07733,0.70172,0.06741,0.03894,0.05173,0.13583,0.12914,0.04856,0.12284,0.03004,0.76177,0.00667,0.01019,0.44057,0.01805,0.04316,0.08445,0.07170,0.08394,0.39291
constant,0.13497,0.13086,0.02648,0.08540,0.10883,0.09232,0.81875,0.09084,0.11161,0.01889,0.11030,0.00640,0.13429,0.14674,0.04323,0.79266,0.12823,0.06816,0.04761,0.11811,0.00000,0.01236,0.14142,0.04132,0.37010,0.17592,0.13697,0.08066,0.04988,0.16594,0.82387,0.17296,0.10044,0.41237,0.14165,0.07058,0.10138,0.14976,0.03943,0.80804,0.12873,0.38485,0.11158,0.16802,0.14507,0.10844,0.15869,0.17326,0.05110,0.12747,0.07867,0.12386,0.12464,0.12320,0.06368,0.00000,0.00000,0.80521,0.16724,0.08378,0.09068,0.13247,0.20393,0.10784,0.07516,0.82343,0.13129,0.07120,0.06288,0.17548,0.13496,0.09366,0.09557,0.15915,0.08814,0.03943,0.14541,0.03661,0.10163,0.05550,0.39139,0.13784,0.03053,0.11161,0.16095,0.12152,0.15320,0.06239,0.17887,0.06668,0.09739,0.10115,0.07417,0.07067,0.80647,0.77318,0.02081,0.15408
continue,0.01594,0.01392,0.04167,0.00000,0.05726,0.00859,0.00644,0.05194,0.05447,0.73584,0.00720,0.04167,0.00779,0.04897,0.01876,0.01003,0.04671,0.00000,0.00000,0.05185,0.01236,0.00000,0.26508,0.00000,0.00625,0.26042,0.00401,0.01628,0.65000,0.66165,0.01007,0.00718,0.00751,0.00000,0.00000,0.01119,0.25000,0.04167,0.69728,0.00745,0.05149,0.01666,0.01036,0.01281,0.00703,0.01862,0.05142,0.05052,0.04167,0.04167,0.00000,0.00594,0.00554,0.04802,0.00000,0.04167,0.00000,0.00950,0.01395,0.00000,0.01433,0.01355,0.00469,0.00000,0.00000,0.01174,0.04782,0.00000,0.00000,0.01863,0.00000,0.00000,0.02001,0.00000,0.03797,0.65000,0.00935,0.04167,0.01902,0.04167,0.00395,0.00780,0.25000,0.01484,0.00780,0.01509,0.26229,0.00000,0.05444,0.00000,0.00000,0.04167,0.00000,0.00000,0.00325,0.01014,0.65000,0.05449
defer_cleanup,0.10994,0.12560,0.04167,0.02979,0.13770,0.07683,0.16596,0.14513,0.11617,0.26757,0.09781,0.04663,0.11368,0.15044,0.03730,0.18314,0.20224,0.06441,0.02817,0.12911,0.14142,0.26508,0.00000,0.03072,0.09692,0.86100,0.13936,0.09573,0.29920,0.40515,0.19177,0.11104,0.11190,0.13238,0.08293,0.07049,0.34415,0.13541,0.28870,0.16997,0.13032,0.12512,0.14906,0.17814,0.14250,0.04271,0.23829,0.22982,0.06377,0.10045,0.07503,0.08356,0.10647,0.16439,0.03989,0.04167,0.00000,0.17577,0.16691,0.02919,0.10248,0.10848,0.13392,0.04280,0.07332,0.17609,0.15489,0.02850,0.00702,0.10890,0.07939,0.02632,0.11025,0.08362,0.07907,0.27608,0.08643,0.06998,0.05354,0.08704,0.12835,0.08440,0.27661,0.05825,0.16058,0.14853,0.83723,0.05512,0.20168,0.02021,0.04617,0.10209,0.02191,0.07161,0.14146,0.10988,0.26935,0.17911
dynamic_dispatch,0.03356,0.68708,0.00000,0.04452,0.03650,0.05000,0.03500,0.02229,0.00610,0.00000,0.02866,0.00000,0.01412,0.01636,0.00447,0.02958,0.03088,0.00719,0.01368,0.02477,0.04132,0.00000,0.03072,0.00000,0.02342,0.03025,0.02891,0.66440,0.01169,0.02874,0.02798,0.04722,0.04066,0.03699,0.04733,0.68630,0.02994,0.01839,0.00000,0.02605,0.05483,0.03302,0.66698,0.03263,0.03356,0.00977,0.02898,0.03033,0.01665,0.01759,0.01439,0.02195,0.03673,0.04151,0.01968,0.00000,0.00000,0.02155,0.69050,0.01198,0.66268,0.05357,0.03847,0.04669,0.01642,0.03463,0.03726,0.03366,0.03017,0.01866,0.02912,0.00716,0.67272,0.04899,0.66811,0.00000,0.01560,0.03380,0.00000,0.06369,0.03659,0.02325,0.00000,0.02796,0.02293,0.03053,0.02059,0.65745,0.02855,0.00000,0.04294,0.00000,0.04224,0.02207,0.03651,0.01925,0.00000,0.01675
enum,0.11884,0.11548,0.03575,0.09239,0.10307,0.09358,0.37928,0.06694,0.06125,0.02550,0.07811,0.00864,0.12740,0.12113,0.03050,0.35455,0.10485,0.04015,0.04403,0.09026,0.37010,0.00625,0.09692,0.02342,0.00000,0.12291,0.12796,0.07645,0.02415,0.13729,0.38035,0.14205,0.08810,0.36947,0.14205,0.06377,0.08872,0.10330,0.01479,0.36595,0.08681,0.35870,0.07389,0.12651,0.11633,0.09590,0.12022,0.12488,0.01555,0.06346,0.08743,0.10165,0.11706,0.10922,0.10648,0.00000,0.00455,0.36057,0.13125,0.07536,0.07017,0.09072,0.15811,0.09420,0.08263,0.38492,0.10166,0.09685,0.05659,0.14529,0.14277,0.08247,0.07521,0.15166,0.06130,0.04266,0.12690,0.03879,0.09838,0.05352,0.37490,0.13512,0.02705,0.10525,0.11302,0.10767,0.10261,0.05154,0.11749,0.07935,0.10514,0.06392,0.08232,0.07084,0.38825,0.36725,0.00255,0.10629
exception_try,0.14485,0.14312,0.05869,0.02605,0.14754,0.09231,0.22001,0.13435,0.11594,0.26214,0.10240,0.04921,0.11889,0.16297,0.04706,0.24508,0.21380,0.06632,0.03791,0.13115,0.17592,0.26042,0.86100,0.03025,0.12291,0.00000,0.16673,0.10109,0.28644,0.43944,0.24985,0.12537,0.11364,0.15772,0.09550,0.07092,0.34335,0.16503,0.27971,0.24638,0.13377,0.16506,0.15854,0.21293,0.18338,0.05068,0.29730,0.30341,0.06663,0.10487,0.08446,0.12205,0.12446,0.18081,0.03030,0.04167,0.00000,0.22595,0.20258,0.03566,0.11113,0.11563,0.16077,0.04860,0.07953,0.22390,0.18238,0.03542,0.00999,0.13290,0.09016,0.03471,0.11205,0.09745,0.08175,0.27827,0.09067,0.06388,0.04612,0.09627,0.15280,0.10587,0.27109,0.05404,0.18298,0.16893,0.89971,0.05612,0.24355,0.01592,0.04271,0.10438,0.03708,0.08300,0.18218,0.14606,0.26540,0.21604
