atomic_operation,cpp_module,cpp_strategy,cpp_support,difficulty,stateful,semantic_contract,test_oracle
OPS_GROUP_DISPATCH,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
ORDER_NA_PLACEMENT,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
ORDER_STABLE,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
ORDER_TOTAL_R,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
PAIRLIST_REPRESENTATION,include/r2cpp/runtime.hpp,C++17 helper,0.92,4,no,preserve observable Base R semantics,R differential test + C++ unit test
PRIMITIVE_LOOKUP,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
PROC_SPAWN,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
PROMISE_CACHE,include/r2cpp/runtime.hpp,C++17 helper,0.95,3,yes,preserve observable Base R semantics,R differential test + C++ unit test
PROMISE_CREATE,include/r2cpp/runtime.hpp,C++17 helper,0.94,3,yes,preserve observable Base R semantics,R differential test + C++ unit test
PROMISE_FORCE,include/r2cpp/runtime.hpp,C++17 helper,0.92,4,yes,preserve observable Base R semantics,R differential test + C++ unit test
PROMISE_RECURSION_GUARD,include/r2cpp/runtime.hpp,C++17 helper,0.88,4,yes,preserve observable Base R semantics,R differential test + C++ unit test
RECYCLE_INDEX,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
RECYCLE_LENGTH,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
RECYCLE_WARNING,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
REDUCE_EMPTY_POLICY,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
REDUCE_INIT,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
REDUCE_NA_POLICY,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
REGEX_COMPILE,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
REGEX_FLAGS_R,include/r2cpp/runtime.hpp,C++17 helper,0.9,4,no,preserve observable Base R semantics,R differential test + C++ unit test
REGEX_MATCH,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
REGEX_NA_POLICY,include/r2cpp/runtime.hpp,C++17 helper,0.95,3,no,preserve observable Base R semantics,R differential test + C++ unit test
REGEX_REPLACE,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
REPLACEMENT_RECYCLE,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
RESHAPE_COLUMN_MAJOR,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
RNG_KIND_SELECT,include/r2cpp/runtime.hpp,C++17 helper,0.9,4,yes,preserve observable Base R semantics,R differential test + C++ unit test
RNG_NORMAL,include/r2cpp/runtime.hpp,C++17 helper,0.93,3,yes,preserve observable Base R semantics,R differential test + C++ unit test
RNG_SAMPLE,include/r2cpp/runtime.hpp,C++17 helper,0.92,4,yes,preserve observable Base R semantics,R differential test + C++ unit test
RNG_SEED,include/r2cpp/runtime.hpp,C++17 helper,0.96,2,yes,preserve observable Base R semantics,R differential test + C++ unit test
RNG_STATE_GET,include/r2cpp/runtime.hpp,C++17 helper,0.94,3,yes,preserve observable Base R semantics,R differential test + C++ unit test
RNG_STATE_SET,include/r2cpp/runtime.hpp,C++17 helper,0.94,3,yes,preserve observable Base R semantics,R differential test + C++ unit test
RNG_UNIFORM,include/r2cpp/runtime.hpp,C++17 helper,0.96,2,yes,preserve observable Base R semantics,R differential test + C++ unit test
RVALUE_RECURSIVE,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
S3_CLASS_VECTOR,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
S3_METHOD_LOOKUP,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
S3_NEXT_METHOD,include/r2cpp/runtime.hpp,C++17 helper,0.88,4,no,preserve observable Base R semantics,R differential test + C++ unit test
S3_USEMETHOD,include/r2cpp/runtime.hpp,C++17 helper,0.9,4,no,preserve observable Base R semantics,R differential test + C++ unit test
S4_CLASS_REGISTRY,include/r2cpp/runtime.hpp,C++17 helper,0.84,5,no,preserve observable Base R semantics,R differential test + C++ unit test
S4_METHOD_LOOKUP,include/r2cpp/runtime.hpp,C++17 helper,0.8,5,no,preserve observable Base R semantics,R differential test + C++ unit test
S4_SLOT_GET,include/r2cpp/runtime.hpp,C++17 helper,0.9,4,no,preserve observable Base R semantics,R differential test + C++ unit test
S4_SLOT_SET,include/r2cpp/runtime.hpp,C++17 helper,0.88,4,no,preserve observable Base R semantics,R differential test + C++ unit test
SCAN_INIT,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
SCAN_NA_POLICY,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
SCAN_STEP,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
SCATTER_ATOMIC,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
SCATTER_LIST,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
SEMANTIC_RECIPE,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
SER_ATOMIC,include/r2cpp/runtime.hpp,C++17 helper,0.95,3,no,preserve observable Base R semantics,R differential test + C++ unit test
SER_ATTRIBUTES,include/r2cpp/runtime.hpp,C++17 helper,0.91,4,no,preserve observable Base R semantics,R differential test + C++ unit test
SER_ENV_REFERENCE,include/r2cpp/runtime.hpp,C++17 helper,0.78,5,yes,preserve observable Base R semantics,R differential test + C++ unit test
SER_LENGTH,include/r2cpp/runtime.hpp,C++17 helper,0.98,2,no,preserve observable Base R semantics,R differential test + C++ unit test
SER_RECURSIVE,include/r2cpp/runtime.hpp,C++17 helper,0.89,4,no,preserve observable Base R semantics,R differential test + C++ unit test
SER_TYPE_TAG,include/r2cpp/runtime.hpp,C++17 helper,0.92,4,no,preserve observable Base R semantics,R differential test + C++ unit test
SER_VERSION_HEADER,include/r2cpp/runtime.hpp,C++17 helper,0.9,4,no,preserve observable Base R semantics,R differential test + C++ unit test
SHAPE_SCALAR,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
STRING_UTF8,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
STRING_VECTORIZE,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
SYMBOL_LOOKUP,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
TRUTH_SCALAR,include/r2cpp/runtime.hpp,C++17 helper,0.975,2,no,preserve observable Base R semantics,R differential test + C++ unit test
TZ_RESOLVE,include/r2cpp/runtime.hpp,C++17 helper,0.94,3,no,preserve observable Base R semantics,R differential test + C++ unit test
VECTORIZE_BINARY,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
VECTORIZE_UNARY,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
VECTOR_ALLOC,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
VECTOR_APPEND,include/r2cpp/runtime.hpp,C++17 helper,0.985,2,no,preserve observable Base R semantics,R differential test + C++ unit test
