table_index,name,kernel,routed,explicit_cpp_handler,fallback
198,choose,numeric-binary,1,0,explicit_error
199,besselJ,numeric-binary,1,0,explicit_error
200,besselY,numeric-binary,1,0,explicit_error
201,psigamma,numeric-binary,1,0,explicit_error
202,Re,numeric-complex,1,0,explicit_error
203,Im,numeric-complex,1,0,explicit_error
204,Mod,numeric-complex,1,0,explicit_error
205,Arg,numeric-complex,1,0,explicit_error
206,Conj,numeric-complex,1,0,explicit_error
207,besselI,numeric-ternary,1,0,explicit_error
208,besselK,numeric-ternary,1,0,explicit_error
209,rchisq,random,1,0,explicit_error
210,rexp,random,1,0,explicit_error
211,rgeom,random,1,0,explicit_error
212,rpois,random,1,0,explicit_error
213,rt,random,1,0,explicit_error
214,rsignrank,random,1,0,explicit_error
215,rbeta,random,1,0,explicit_error
216,rbinom,random,1,0,explicit_error
217,rcauchy,random,1,0,explicit_error
218,rf,random,1,0,explicit_error
219,rgamma,random,1,0,explicit_error
220,rlnorm,random,1,0,explicit_error
221,rlogis,random,1,0,explicit_error
222,rnbinom,random,1,0,explicit_error
223,rnbinom_mu,random,1,0,explicit_error
224,rnchisq,random,1,0,explicit_error
225,rnorm,random,1,1,none
226,runif,random,1,1,none
227,rweibull,random,1,0,explicit_error
228,rwilcox,random,1,0,explicit_error
229,rhyper,random,1,0,explicit_error
230,sample,random,1,1,none
231,sample2,random,1,0,explicit_error
232,RNGkind,random,1,0,explicit_error
233,set.seed,random,1,1,none
234,sum,reduction,1,1,none
235,min,reduction,1,1,none
236,max,reduction,1,1,none
237,prod,reduction,1,1,none
238,mean,reduction,1,1,none
239,range,runtime,1,1,none
240,cumsum,cumulative,1,1,none
241,cumprod,cumulative,1,1,none
242,cummax,cumulative,1,1,none
243,cummin,cumulative,1,1,none
244,cumvar,cumulative,1,0,explicit_error
245,as.character,coercion-atomic,1,1,none
246,as.integer,coercion-atomic,1,1,none
247,as.double,coercion-atomic,1,1,none
248,as.numeric,coercion-atomic,1,1,none
249,as.complex,coercion-atomic,1,0,explicit_error
250,as.logical,coercion-atomic,1,1,none
251,as.raw,coercion-atomic,1,0,explicit_error
252,as.call,runtime,1,0,explicit_error
253,as.environment,environment,1,0,explicit_error
254,storage.mode<-,replacement,1,0,explicit_error
255,asCharacterFactor,character,1,0,explicit_error
256,as.vector,coercion-mode,1,1,none
257,paste,character,1,1,none
258,paste0,character,1,1,none
259,file.path,io,1,0,explicit_error
260,format,runtime,1,0,explicit_error
261,format.info,runtime,1,0,explicit_error
262,cat,runtime,1,0,explicit_error
263,do.call,runtime,1,0,explicit_error
264,str2lang,character,1,0,explicit_error
265,str2expression,character,1,0,explicit_error
266,nchar,character,1,1,none
267,nzchar,character,1,0,explicit_error
268,substr,character,1,1,none
269,startsWith,character,1,0,explicit_error
270,endsWith,character,1,0,explicit_error
271,substr<-,replacement,1,0,explicit_error
272,strsplit,character,1,0,explicit_error
273,abbreviate,character,1,0,explicit_error
274,make.names,attribute,1,0,explicit_error
275,pcre_config,runtime,1,0,explicit_error
276,grep,character,1,1,none
277,grepl,character,1,1,none
278,grepRaw,character,1,0,explicit_error
279,sub,character,1,1,none
280,gsub,character,1,1,none
281,regexpr,runtime,1,0,explicit_error
282,gregexpr,runtime,1,0,explicit_error
283,regexec,runtime,1,0,explicit_error
284,agrep,character,1,0,explicit_error
285,agrepl,character,1,0,explicit_error
286,adist,runtime,1,0,explicit_error
287,aregexec,runtime,1,0,explicit_error
288,tolower,character,1,1,none
289,toupper,character,1,1,none
290,chartr,character,1,0,explicit_error
291,sprintf,runtime,1,0,explicit_error
292,make.unique,matching,1,0,explicit_error
293,charToRaw,character,1,0,explicit_error
294,rawToChar,character,1,0,explicit_error
295,rawShift,bitwise,1,0,explicit_error
296,intToBits,bitwise,1,0,explicit_error
297,numToBits,bitwise,1,0,explicit_error
298,numToInts,runtime,1,0,explicit_error
299,rawToBits,bitwise,1,0,explicit_error
300,packBits,bitwise,1,0,explicit_error
301,utf8ToInt,character,1,0,explicit_error
302,intToUtf8,character,1,0,explicit_error
303,validUTF8,character,1,0,explicit_error
304,validEnc,runtime,1,0,explicit_error
305,encodeString,character,1,0,explicit_error
306,iconv,system,1,0,explicit_error
307,strtrim,character,1,0,explicit_error
308,strtoi,character,1,0,explicit_error
309,strrep,character,1,0,explicit_error
310,is.null,predicate,1,1,none
311,is.logical,predicate,1,1,none
312,is.integer,predicate,1,1,none
313,is.double,predicate,1,1,none
314,is.complex,predicate,1,0,explicit_error
315,is.character,predicate,1,1,none
316,is.symbol,predicate,1,0,explicit_error
317,is.name,predicate,1,0,explicit_error
318,is.environment,predicate,1,0,explicit_error
319,is.list,predicate,1,1,none
320,is.pairlist,predicate,1,0,explicit_error
321,is.expression,predicate,1,0,explicit_error
322,is.raw,predicate,1,0,explicit_error
323,is.object,predicate,1,0,explicit_error
324,isS4,predicate,1,0,explicit_error
325,is.numeric,predicate,1,1,none
326,is.matrix,predicate,1,0,explicit_error
327,is.array,predicate,1,0,explicit_error
328,is.atomic,predicate,1,1,none
329,is.recursive,predicate,1,0,explicit_error
330,is.call,predicate,1,0,explicit_error
331,is.language,predicate,1,0,explicit_error
332,is.function,predicate,1,0,explicit_error
333,is.single,predicate,1,0,explicit_error
334,is.na,missingness,1,1,none
335,is.nan,numeric-predicate,1,1,none
336,is.finite,numeric-predicate,1,1,none
337,is.infinite,numeric-predicate,1,1,none
338,is.vector,runtime,1,1,none
339,proc.time,system,1,0,explicit_error
340,gc.time,runtime,1,0,explicit_error
341,withVisible,language,1,0,explicit_error
342,expression,language,1,1,none
343,interactive,system,1,0,explicit_error
344,invisible,runtime,1,1,none
345,rep,language,1,1,none
346,rep.int,runtime,1,0,explicit_error
347,rep_len,runtime,1,0,explicit_error
348,seq.int,runtime,1,1,none
349,seq_len,runtime,1,1,none
350,seq_along,runtime,1,1,none
351,list,runtime,1,1,none
352,xtfrm,ordering,1,0,explicit_error
353,enc2native,runtime,1,0,explicit_error
354,enc2utf8,runtime,1,0,explicit_error
355,emptyenv,environment,1,0,explicit_error
356,baseenv,environment,1,0,explicit_error
357,globalenv,environment,1,0,explicit_error
358,environment<-,replacement,1,0,explicit_error
359,pos.to.env,environment,1,0,explicit_error
360,.C,runtime,1,0,explicit_error
361,.Fortran,runtime,1,0,explicit_error
362,.External,runtime,1,0,explicit_error
363,.External2,runtime,1,0,explicit_error
364,.Call,runtime,1,0,explicit_error
365,.External.graphics,runtime,1,0,explicit_error
366,.Call.graphics,runtime,1,0,explicit_error
367,eapply,language,1,0,explicit_error
368,lapply,language,1,0,explicit_error
369,vapply,language,1,0,explicit_error
370,mapply,runtime,1,0,explicit_error
371,Version,runtime,1,0,explicit_error
372,machine,runtime,1,0,explicit_error
373,commandArgs,runtime,1,0,explicit_error
374,internalsID,runtime,1,0,explicit_error
375,system,runtime,1,0,explicit_error
376,system,runtime,1,0,explicit_error
377,shell.exec,runtime,1,0,explicit_error
378,Sys.which,runtime,1,0,explicit_error
379,mkjunction,system,1,0,explicit_error
380,tzone_name,runtime,1,0,explicit_error
381,parse,runtime,1,0,explicit_error
382,parse_Rd,runtime,1,0,explicit_error
383,deparseRd,runtime,1,0,explicit_error
384,parseLatex,runtime,1,0,explicit_error
385,save,serialization,1,0,explicit_error
386,saveToConn,serialization,1,0,explicit_error
387,load,serialization,1,0,explicit_error
388,loadFromConn2,serialization,1,0,explicit_error
389,loadInfoFromConn2,serialization,1,0,explicit_error
390,serializeToConn,serialization,1,0,explicit_error
391,unserializeFromConn,serialization,1,0,explicit_error
392,serializeInfoFromConn,serialization,1,0,explicit_error
393,deparse,runtime,1,0,explicit_error
394,dput,runtime,1,0,explicit_error
395,dump,runtime,1,0,explicit_error
396,quit,runtime,1,0,explicit_error
397,readline,io,1,0,explicit_error
398,print.default,runtime,1,0,explicit_error
399,prmatrix,matrix,1,0,explicit_error
400,gc,runtime,1,0,explicit_error
401,gcinfo,runtime,1,0,explicit_error
402,gctorture,runtime,1,0,explicit_error
403,gctorture2,runtime,1,0,explicit_error
404,memory.profile,io,1,0,explicit_error
405,mem.maxVSize,runtime,1,0,explicit_error
406,mem.maxNSize,runtime,1,0,explicit_error
407,split,runtime,1,0,explicit_error
408,is.loaded,serialization,1,0,explicit_error
409,recordGraphics,runtime,1,0,explicit_error
410,dyn.load,serialization,1,0,explicit_error
411,dyn.unload,serialization,1,0,explicit_error
412,ls,environment,1,0,explicit_error
413,typeof,runtime,1,1,none
414,eval,language,1,0,explicit_error
415,Exec,language,1,0,explicit_error
416,Tailcall,language,1,0,explicit_error
417,returnValue,language,1,0,explicit_error
418,sys.parent,runtime,1,0,explicit_error
419,sys.call,runtime,1,0,explicit_error
420,sys.frame,runtime,1,0,explicit_error
421,sys.nframe,runtime,1,0,explicit_error
422,sys.calls,runtime,1,0,explicit_error
423,sys.frames,runtime,1,0,explicit_error
424,sys.on.exit,runtime,1,0,explicit_error
425,sys.parents,runtime,1,0,explicit_error
426,sys.function,runtime,1,0,explicit_error
427,traceback,runtime,1,0,explicit_error
428,browserText,runtime,1,0,explicit_error
429,browserCondition,runtime,1,0,explicit_error
430,browserSetDebug,runtime,1,0,explicit_error
431,parent.frame,runtime,1,0,explicit_error
432,sort,ordering,1,1,none
433,is.unsorted,ordering,1,0,explicit_error
434,sorted_fpass,ordering,1,0,explicit_error
435,psort,ordering,1,0,explicit_error
436,qsort,runtime,1,0,explicit_error
437,radixsort,runtime,1,0,explicit_error
438,order,ordering,1,1,none
439,rank,ordering,1,1,none
440,scan,runtime,1,0,explicit_error
441,t.default,matrix,1,0,explicit_error
442,aperm,matrix,1,0,explicit_error
443,builtins,environment,1,0,explicit_error
444,args,runtime,1,0,explicit_error
445,formals,runtime,1,0,explicit_error
446,body,runtime,1,0,explicit_error
447,bodyCode,runtime,1,0,explicit_error
448,environment,environment,1,0,explicit_error
449,environmentName,environment,1,0,explicit_error
450,env2list,environment,1,0,explicit_error
451,reg.finalizer,runtime,1,0,explicit_error
452,options,runtime,1,0,explicit_error
453,getOption,environment,1,0,explicit_error
454,sink,io,1,0,explicit_error
455,sink.number,io,1,0,explicit_error
456,rapply,iteration,1,0,explicit_error
457,islistfactor,iteration,1,0,explicit_error
458,colSums,reduction,1,1,none
459,colMeans,reduction,1,0,explicit_error
460,rowSums,reduction,1,1,none
461,rowMeans,reduction,1,0,explicit_error
462,tracemem,runtime,1,0,explicit_error
463,retracemem,runtime,1,0,explicit_error
464,untracemem,runtime,1,0,explicit_error
465,inspect,runtime,1,0,explicit_error
466,address,runtime,1,0,explicit_error
467,named,runtime,1,0,explicit_error
468,refcnt,runtime,1,0,explicit_error
469,merge,runtime,1,0,explicit_error
470,capabilities,system,1,0,explicit_error
471,capabilitiesX11,system,1,0,explicit_error
472,new.env,environment,1,0,explicit_error
473,parent.env,environment,1,0,explicit_error
474,parent.env<-,replacement,1,0,explicit_error
475,topenv,environment,1,0,explicit_error
476,l10n_info,system,1,0,explicit_error
477,Cstack_info,system,1,0,explicit_error
478,mmap_file,io,1,0,explicit_error
479,munmap_file,io,1,0,explicit_error
480,wrap_meta,runtime,1,0,explicit_error
481,tryWrap,runtime,1,0,explicit_error
482,altrep_class,attribute,1,0,explicit_error
483,file.show,io,1,0,explicit_error
484,file.create,io,1,0,explicit_error
485,file.remove,environment,1,1,none
486,file.rename,io,1,0,explicit_error
487,file.append,io,1,0,explicit_error
488,file.symlink,io,1,0,explicit_error
489,file.link,io,1,0,explicit_error
490,file.copy,io,1,0,explicit_error
491,list.files,io,1,0,explicit_error
492,list.dirs,io,1,0,explicit_error
493,file.exists,io,1,1,none
494,file.choose,io,1,0,explicit_error
495,file.info,io,1,0,explicit_error
496,file.access,io,1,0,explicit_error
497,dir.exists,io,1,0,explicit_error
498,dir.create,io,1,1,none
499,tempfile,io,1,0,explicit_error
500,tempdir,io,1,0,explicit_error
501,R.home,system,1,0,explicit_error
502,date,system,1,0,explicit_error
503,Sys.getenv,environment,1,1,none
504,Sys.setenv,environment,1,0,explicit_error
505,Sys.unsetenv,environment,1,0,explicit_error
506,getwd,environment,1,1,none
507,setwd,runtime,1,1,none
508,basename,runtime,1,0,explicit_error
509,dirname,io,1,0,explicit_error
510,Sys.chmod,system,1,0,explicit_error
511,Sys.umask,system,1,0,explicit_error
512,Sys.readlink,io,1,0,explicit_error
513,Sys.info,runtime,1,0,explicit_error
514,Sys.sleep,system,1,0,explicit_error
515,Sys.getlocale,environment,1,0,explicit_error
516,Sys.setlocale,system,1,0,explicit_error
517,Sys.localeconv,system,1,0,explicit_error
518,path.expand,system,1,0,explicit_error
519,Sys.getpid,environment,1,0,explicit_error
520,normalizePath,runtime,1,0,explicit_error
521,Sys.glob,system,1,0,explicit_error
522,unlink,system,1,1,none
523,polyroot,numeric-complex,1,0,explicit_error
524,inherits,runtime,1,0,explicit_error
525,UseMethod,language,1,0,explicit_error
526,NextMethod,language,1,0,explicit_error
527,standardGeneric,runtime,1,0,explicit_error
528,Sys.time,runtime,1,1,none
529,as.POSIXct,datetime,1,0,explicit_error
530,as.POSIXlt,datetime,1,0,explicit_error
531,format.POSIXlt,datetime,1,0,explicit_error
532,strptime,character,1,0,explicit_error
533,Date2POSIXlt,datetime,1,0,explicit_error
534,POSIXlt2Date,datetime,1,0,explicit_error
535,balancePOSIXlt,datetime,1,0,explicit_error
536,unCfillPOSIXlt,datetime,1,0,explicit_error
537,compareNumericVersion,runtime,1,0,explicit_error
538,mkCode,language,1,0,explicit_error
539,bcClose,language,1,0,explicit_error
540,is.builtin.internal,language,1,0,explicit_error
541,disassemble,language,1,0,explicit_error
542,bcVersion,language,1,0,explicit_error
543,load.from.file,io,1,0,explicit_error
544,save.to.file,io,1,0,explicit_error
545,growconst,language,1,0,explicit_error
546,putconst,language,1,0,explicit_error
547,getconst,environment,1,0,explicit_error
548,enableJIT,language,1,0,explicit_error
549,compilePKGS,language,1,0,explicit_error
550,setNumMathThreads,io,1,0,explicit_error
551,setMaxNumMathThreads,io,1,0,explicit_error
552,stdin,io,1,0,explicit_error
553,stdout,io,1,0,explicit_error
554,stderr,io,1,0,explicit_error
555,isatty,io,1,0,explicit_error
556,readLines,io,1,0,explicit_error
557,writeLines,io,1,0,explicit_error
558,readBin,io,1,0,explicit_error
559,writeBin,io,1,0,explicit_error
560,readChar,io,1,0,explicit_error
561,writeChar,io,1,0,explicit_error
562,open,io,1,0,explicit_error
563,isOpen,io,1,0,explicit_error
564,isIncomplete,io,1,0,explicit_error
565,isSeekable,io,1,0,explicit_error
566,close,io,1,0,explicit_error
567,flush,io,1,0,explicit_error
568,file,io,1,0,explicit_error
569,url,io,1,0,explicit_error
570,pipe,io,1,0,explicit_error
571,fifo,io,1,0,explicit_error
572,gzfile,io,1,0,explicit_error
573,bzfile,io,1,0,explicit_error
574,xzfile,io,1,0,explicit_error
575,zstdfile,io,1,0,explicit_error
576,unz,io,1,0,explicit_error
577,seek,io,1,0,explicit_error
578,truncate,io,1,0,explicit_error
579,pushBack,io,1,0,explicit_error
580,clearPushBack,io,1,0,explicit_error
581,pushBackLength,io,1,0,explicit_error
582,rawConnection,io,1,0,explicit_error
583,rawConnectionValue,io,1,0,explicit_error
584,textConnection,io,1,0,explicit_error
585,textConnectionValue,io,1,0,explicit_error
586,socketConnection,io,1,0,explicit_error
587,socketAccept,io,1,0,explicit_error
588,sockSelect,io,1,0,explicit_error
589,serverSocket,io,1,0,explicit_error
590,socketTimeout,io,1,0,explicit_error
591,getConnection,environment,1,0,explicit_error
592,getAllConnections,environment,1,0,explicit_error
593,summary.connection,io,1,0,explicit_error
594,gzcon,io,1,0,explicit_error
595,memCompress,io,1,0,explicit_error
596,memDecompress,io,1,0,explicit_error
597,readDCF,io,1,0,explicit_error
598,lockEnvironment,environment,1,0,explicit_error
599,environmentIsLocked,environment,1,0,explicit_error
600,lockBinding,environment,1,0,explicit_error
601,unlockBinding,environment,1,0,explicit_error
602,bindingIsLocked,environment,1,0,explicit_error
603,makeActiveBinding,environment,1,0,explicit_error
604,bindingIsActive,environment,1,0,explicit_error
605,activeBindingFunction,environment,1,0,explicit_error
606,getBindingType,environment,1,0,explicit_error
607,delayedBindingExpression,environment,1,0,explicit_error
608,delayedBindingEnvironment,environment,1,0,explicit_error
609,forcedBindingExpression,environment,1,0,explicit_error
610,dotsExist,environment,1,0,explicit_error
611,getDotType,environment,1,0,explicit_error
612,dotDelayedExpression,environment,1,0,explicit_error
613,dotDelayedEnvironment,environment,1,0,explicit_error
614,dotForcedExpression,environment,1,0,explicit_error
615,dotsLength,environment,1,0,explicit_error
616,dotsNames,attribute,1,0,explicit_error
617,dotsElt,environment,1,0,explicit_error
618,mkUnbound,environment,1,0,explicit_error
619,isNamespaceEnv,environment,1,0,explicit_error
620,registerNamespace,environment,1,0,explicit_error
621,unregisterNamespace,environment,1,0,explicit_error
622,getRegisteredNamespace,environment,1,0,explicit_error
623,isRegisteredNamespace,environment,1,0,explicit_error
624,getNamespaceRegistry,environment,1,0,explicit_error
625,importIntoEnv,environment,1,0,explicit_error
626,env.profile,environment,1,0,explicit_error
627,Encoding,character,1,0,explicit_error
628,setEncoding,character,1,0,explicit_error
629,setTimeLimit,system,1,0,explicit_error
630,setSessionTimeLimit,system,1,0,explicit_error
631,icuSetCollate,runtime,1,0,explicit_error
632,icuGetCollate,environment,1,0,explicit_error
633,readRenviron,environment,1,0,explicit_error
634,shortRowNames,attribute,1,0,explicit_error
635,copyDFattr,attribute,1,0,explicit_error
636,getRegisteredRoutines,environment,1,0,explicit_error
637,getLoadedDLLs,environment,1,0,explicit_error
638,getSymbolInfo,environment,1,0,explicit_error
639,.isMethodsDispatchOn,runtime,1,0,explicit_error
640,lazyLoadDBfetch,serialization,1,0,explicit_error
641,lazyLoadDBflush,serialization,1,0,explicit_error
642,getVarsFromFrame,environment,1,0,explicit_error
643,lazyLoadDBinsertValue,serialization,1,0,explicit_error
644,bincode,runtime,1,0,explicit_error
645,tabulate,runtime,1,0,explicit_error
646,findInterval,runtime,1,0,explicit_error
647,pretty,runtime,1,0,explicit_error
648,formatC,runtime,1,0,explicit_error
649,crc64,runtime,1,0,explicit_error
650,bitwiseAnd,bitwise,1,0,explicit_error
651,bitwiseNot,bitwise,1,0,explicit_error
652,bitwiseOr,bitwise,1,0,explicit_error
653,bitwiseXor,bitwise,1,0,explicit_error
654,bitwiseShiftL,bitwise,1,0,explicit_error
655,bitwiseShiftR,bitwise,1,0,explicit_error
656,serialize,serialization,1,0,explicit_error
657,serializeb,serialization,1,0,explicit_error
658,unserialize,serialization,1,0,explicit_error
659,rowsum_matrix,reduction,1,0,explicit_error
660,rowsum_df,reduction,1,0,explicit_error
661,objsxp,runtime,1,0,explicit_error
662,setS4Object,runtime,1,0,explicit_error
663,traceOnOff,runtime,1,0,explicit_error
664,debugOnOff,runtime,1,0,explicit_error
665,La_qr_cmplx,matrix,1,0,explicit_error
666,La_rs,matrix,1,0,explicit_error
667,La_rs_cmplx,matrix,1,0,explicit_error
668,La_rg,matrix,1,0,explicit_error
669,La_rg_cmplx,matrix,1,0,explicit_error
670,La_rs,matrix,1,0,explicit_error
671,La_rs_cmplx,matrix,1,0,explicit_error
672,La_dlange,matrix,1,0,explicit_error
673,La_dgecon,matrix,1,0,explicit_error
674,La_dtrcon,matrix,1,0,explicit_error
675,La_dtrcon3,matrix,1,0,explicit_error
676,La_zlange,matrix,1,0,explicit_error
677,La_zgecon,matrix,1,0,explicit_error
678,La_ztrcon,matrix,1,0,explicit_error
679,La_ztrcon3,matrix,1,0,explicit_error
680,La_solve_cmplx,matrix,1,0,explicit_error
681,La_solve,matrix,1,0,explicit_error
682,La_qr,matrix,1,0,explicit_error
683,La_chol,matrix,1,0,explicit_error
684,La_chol2inv,matrix,1,0,explicit_error
685,qr_coef_real,matrix,1,0,explicit_error
686,qr_qy_real,matrix,1,0,explicit_error
687,det_ge_real,matrix,1,0,explicit_error
688,qr_coef_cmplx,matrix,1,0,explicit_error
689,qr_qy_cmplx,matrix,1,0,explicit_error
690,La_svd,matrix,1,0,explicit_error
