table_index,name,kernel,atomic_operation,required,rust_support
5,next,language,PROMISE_CACHE,1,0.95
5,next,language,PROMISE_RECURSION_GUARD,1,0.88
5,next,language,ENV_LOOKUP_LOCAL,1,0.975
5,next,language,ENV_LOOKUP_PARENT,1,0.95
5,next,language,ACTIVE_BINDING_READ,1,0.86
5,next,language,ENV_ASSIGN_LOCAL,1,0.975
5,next,language,ENV_SUPERASSIGN,1,0.93
5,next,language,ACTIVE_BINDING_WRITE,1,0.84
5,next,language,ARG_MATCH_EXACT,1,0.975
5,next,language,ARG_MATCH_PARTIAL_UNIQUE,1,0.975
5,next,language,ARG_MATCH_PARTIAL_AMBIGUITY,1,0.94
5,next,language,ARG_MATCH_POSITIONAL,1,0.975
5,next,language,SYMBOL_LOOKUP,1,0.975
5,next,language,PRIMITIVE_LOOKUP,1,0.975
5,next,language,SHAPE_SCALAR,1,0.975
6,return,language,ATTR_DROP,1,0.985
6,return,language,ATTR_POLICY_DROP,1,0.985
6,return,language,LANG_CAPTURE_AST,1,0.94
6,return,language,LANG_SYMBOL_OBJECT,1,0.975
6,return,language,LANG_CALL_OBJECT,1,0.93
6,return,language,CLOSURE_CREATE,1,0.96
6,return,language,CLOSURE_CAPTURE_ENV,1,0.93
6,return,language,CALL_FRAME_CREATE,1,0.95
6,return,language,CALL_FRAME_PARENT,1,0.94
6,return,language,FORMAL_BIND_PROMISES,1,0.91
6,return,language,COERCE_IDENTITY,1,0.985
6,return,language,DOTS_COLLECT,1,0.975
6,return,language,DOTS_ORDER_PRESERVE,1,0.975
6,return,language,DOTS_NAMES_PRESERVE,1,0.985
6,return,language,TRUTH_SCALAR,1,0.975
6,return,language,MISSING_TRUTH_ERROR,1,0.975
6,return,language,CONTROL_BREAK,1,0.975
6,return,language,CONTROL_NEXT,1,0.975
6,return,language,CONTROL_RETURN,1,0.975
6,return,language,PROMISE_CREATE,1,0.94
6,return,language,PROMISE_FORCE,1,0.92
6,return,language,PROMISE_CACHE,1,0.95
6,return,language,PROMISE_RECURSION_GUARD,1,0.88
6,return,language,ENV_LOOKUP_LOCAL,1,0.975
6,return,language,ENV_LOOKUP_PARENT,1,0.95
6,return,language,ACTIVE_BINDING_READ,1,0.86
6,return,language,ENV_ASSIGN_LOCAL,1,0.975
6,return,language,ENV_SUPERASSIGN,1,0.93
6,return,language,ACTIVE_BINDING_WRITE,1,0.84
6,return,language,SYMBOL_LOOKUP,1,0.975
6,return,language,PRIMITIVE_LOOKUP,1,0.975
6,return,language,SHAPE_SCALAR,1,0.975
7,function,language,ATTR_DROP,1,0.985
7,function,language,ATTR_POLICY_DROP,1,0.985
7,function,language,LANG_CAPTURE_AST,1,0.94
7,function,language,LANG_SYMBOL_OBJECT,1,0.975
7,function,language,LANG_CALL_OBJECT,1,0.93
7,function,language,CLOSURE_CREATE,1,0.96
7,function,language,CLOSURE_CAPTURE_ENV,1,0.93
7,function,language,CALL_FRAME_CREATE,1,0.95
7,function,language,CALL_FRAME_PARENT,1,0.94
7,function,language,FORMAL_BIND_PROMISES,1,0.91
7,function,language,COERCE_IDENTITY,1,0.985
7,function,language,DOTS_COLLECT,1,0.975
7,function,language,DOTS_ORDER_PRESERVE,1,0.975
7,function,language,DOTS_NAMES_PRESERVE,1,0.985
7,function,language,TRUTH_SCALAR,1,0.975
7,function,language,MISSING_TRUTH_ERROR,1,0.975
7,function,language,CONTROL_BREAK,1,0.975
7,function,language,CONTROL_NEXT,1,0.975
7,function,language,CONTROL_RETURN,1,0.975
7,function,language,PROMISE_CREATE,1,0.94
7,function,language,PROMISE_FORCE,1,0.92
7,function,language,PROMISE_CACHE,1,0.95
7,function,language,PROMISE_RECURSION_GUARD,1,0.88
7,function,language,ENV_LOOKUP_LOCAL,1,0.975
7,function,language,ENV_LOOKUP_PARENT,1,0.95
7,function,language,ACTIVE_BINDING_READ,1,0.86
7,function,language,ENV_ASSIGN_LOCAL,1,0.975
7,function,language,ENV_SUPERASSIGN,1,0.93
7,function,language,ACTIVE_BINDING_WRITE,1,0.84
7,function,language,SYMBOL_LOOKUP,1,0.975
7,function,language,PRIMITIVE_LOOKUP,1,0.975
7,function,language,SHAPE_SCALAR,1,0.975
8,<-,replacement,ATTR_GET_GENERIC,1,0.985
8,<-,replacement,ATTR_SET_GENERIC,1,0.985
8,<-,replacement,LANG_CAPTURE_AST,1,0.94
8,<-,replacement,LANG_SYMBOL_OBJECT,1,0.975
8,<-,replacement,LANG_CALL_OBJECT,1,0.93
8,<-,replacement,COERCE_IDENTITY,1,0.985
8,<-,replacement,DOTS_COLLECT,1,0.975
8,<-,replacement,DOTS_ORDER_PRESERVE,1,0.975
8,<-,replacement,DOTS_NAMES_PRESERVE,1,0.985
8,<-,replacement,PROMISE_CREATE,1,0.94
8,<-,replacement,PROMISE_FORCE,1,0.92
8,<-,replacement,PROMISE_CACHE,1,0.95
8,<-,replacement,PROMISE_RECURSION_GUARD,1,0.88
8,<-,replacement,ENV_LOOKUP_LOCAL,1,0.975
8,<-,replacement,ENV_LOOKUP_PARENT,1,0.95
8,<-,replacement,ACTIVE_BINDING_READ,1,0.86
8,<-,replacement,ENV_ASSIGN_LOCAL,1,0.975
8,<-,replacement,ENV_SUPERASSIGN,1,0.93
8,<-,replacement,ACTIVE_BINDING_WRITE,1,0.84
8,<-,replacement,ARG_FORCE_EAGER,1,0.975
8,<-,replacement,SYMBOL_LOOKUP,1,0.975
8,<-,replacement,PRIMITIVE_LOOKUP,1,0.975
8,<-,replacement,SCATTER_ATOMIC,1,0.975
8,<-,replacement,SCATTER_LIST,1,0.975
8,<-,replacement,REPLACEMENT_RECYCLE,1,0.975
8,<-,replacement,SHAPE_SCALAR,1,0.975
9,=,language,ATTR_DROP,1,0.985
9,=,language,ATTR_POLICY_DROP,1,0.985
9,=,language,LANG_CAPTURE_AST,1,0.94
9,=,language,LANG_SYMBOL_OBJECT,1,0.975
9,=,language,LANG_CALL_OBJECT,1,0.93
9,=,language,CLOSURE_CREATE,1,0.96
9,=,language,CLOSURE_CAPTURE_ENV,1,0.93
9,=,language,CALL_FRAME_CREATE,1,0.95
9,=,language,CALL_FRAME_PARENT,1,0.94
9,=,language,FORMAL_BIND_PROMISES,1,0.91
9,=,language,COERCE_IDENTITY,1,0.985
9,=,language,DOTS_COLLECT,1,0.975
9,=,language,DOTS_ORDER_PRESERVE,1,0.975
9,=,language,DOTS_NAMES_PRESERVE,1,0.985
9,=,language,TRUTH_SCALAR,1,0.975
9,=,language,MISSING_TRUTH_ERROR,1,0.975
9,=,language,CONTROL_BREAK,1,0.975
9,=,language,CONTROL_NEXT,1,0.975
9,=,language,CONTROL_RETURN,1,0.975
9,=,language,PROMISE_CREATE,1,0.94
9,=,language,PROMISE_FORCE,1,0.92
9,=,language,PROMISE_CACHE,1,0.95
9,=,language,PROMISE_RECURSION_GUARD,1,0.88
9,=,language,ENV_LOOKUP_LOCAL,1,0.975
9,=,language,ENV_LOOKUP_PARENT,1,0.95
9,=,language,ACTIVE_BINDING_READ,1,0.86
9,=,language,ENV_ASSIGN_LOCAL,1,0.975
9,=,language,ENV_SUPERASSIGN,1,0.93
9,=,language,ACTIVE_BINDING_WRITE,1,0.84
9,=,language,SYMBOL_LOOKUP,1,0.975
9,=,language,PRIMITIVE_LOOKUP,1,0.975
9,=,language,SHAPE_SCALAR,1,0.975
10,<<-,replacement,ATTR_GET_GENERIC,1,0.985
10,<<-,replacement,ATTR_SET_GENERIC,1,0.985
10,<<-,replacement,LANG_CAPTURE_AST,1,0.94
10,<<-,replacement,LANG_SYMBOL_OBJECT,1,0.975
10,<<-,replacement,LANG_CALL_OBJECT,1,0.93
10,<<-,replacement,COERCE_IDENTITY,1,0.985
10,<<-,replacement,DOTS_COLLECT,1,0.975
10,<<-,replacement,DOTS_ORDER_PRESERVE,1,0.975
10,<<-,replacement,DOTS_NAMES_PRESERVE,1,0.985
10,<<-,replacement,PROMISE_CREATE,1,0.94
10,<<-,replacement,PROMISE_FORCE,1,0.92
10,<<-,replacement,PROMISE_CACHE,1,0.95
10,<<-,replacement,PROMISE_RECURSION_GUARD,1,0.88
10,<<-,replacement,ENV_LOOKUP_LOCAL,1,0.975
10,<<-,replacement,ENV_LOOKUP_PARENT,1,0.95
10,<<-,replacement,ACTIVE_BINDING_READ,1,0.86
10,<<-,replacement,ENV_ASSIGN_LOCAL,1,0.975
10,<<-,replacement,ENV_SUPERASSIGN,1,0.93
10,<<-,replacement,ACTIVE_BINDING_WRITE,1,0.84
10,<<-,replacement,ARG_FORCE_EAGER,1,0.975
10,<<-,replacement,SYMBOL_LOOKUP,1,0.975
10,<<-,replacement,PRIMITIVE_LOOKUP,1,0.975
10,<<-,replacement,SCATTER_ATOMIC,1,0.975
10,<<-,replacement,SCATTER_LIST,1,0.975
10,<<-,replacement,REPLACEMENT_RECYCLE,1,0.975
10,<<-,replacement,SHAPE_SCALAR,1,0.975
11,{,language,ATTR_DROP,1,0.985
11,{,language,ATTR_POLICY_DROP,1,0.985
11,{,language,LANG_CAPTURE_AST,1,0.94
11,{,language,LANG_SYMBOL_OBJECT,1,0.975
11,{,language,LANG_CALL_OBJECT,1,0.93
11,{,language,CLOSURE_CREATE,1,0.96
11,{,language,CLOSURE_CAPTURE_ENV,1,0.93
11,{,language,CALL_FRAME_CREATE,1,0.95
11,{,language,CALL_FRAME_PARENT,1,0.94
11,{,language,FORMAL_BIND_PROMISES,1,0.91
11,{,language,COERCE_IDENTITY,1,0.985
11,{,language,DOTS_COLLECT,1,0.975
11,{,language,DOTS_ORDER_PRESERVE,1,0.975
11,{,language,DOTS_NAMES_PRESERVE,1,0.985
11,{,language,TRUTH_SCALAR,1,0.975
11,{,language,MISSING_TRUTH_ERROR,1,0.975
11,{,language,CONTROL_BREAK,1,0.975
11,{,language,CONTROL_NEXT,1,0.975
11,{,language,CONTROL_RETURN,1,0.975
11,{,language,PROMISE_CREATE,1,0.94
11,{,language,PROMISE_FORCE,1,0.92
11,{,language,PROMISE_CACHE,1,0.95
11,{,language,PROMISE_RECURSION_GUARD,1,0.88
11,{,language,ENV_LOOKUP_LOCAL,1,0.975
11,{,language,ENV_LOOKUP_PARENT,1,0.95
11,{,language,ACTIVE_BINDING_READ,1,0.86
11,{,language,ENV_ASSIGN_LOCAL,1,0.975
11,{,language,ENV_SUPERASSIGN,1,0.93
11,{,language,ACTIVE_BINDING_WRITE,1,0.84
11,{,language,SYMBOL_LOOKUP,1,0.975
11,{,language,PRIMITIVE_LOOKUP,1,0.975
11,{,language,SHAPE_SCALAR,1,0.975
12,(,language,ATTR_DROP,1,0.985
12,(,language,ATTR_POLICY_DROP,1,0.985
12,(,language,LANG_CAPTURE_AST,1,0.94
12,(,language,LANG_SYMBOL_OBJECT,1,0.975
12,(,language,LANG_CALL_OBJECT,1,0.93
12,(,language,CLOSURE_CREATE,1,0.96
12,(,language,CLOSURE_CAPTURE_ENV,1,0.93
12,(,language,CALL_FRAME_CREATE,1,0.95
12,(,language,CALL_FRAME_PARENT,1,0.94
12,(,language,FORMAL_BIND_PROMISES,1,0.91
12,(,language,COERCE_IDENTITY,1,0.985
12,(,language,TRUTH_SCALAR,1,0.975
12,(,language,MISSING_TRUTH_ERROR,1,0.975
12,(,language,CONTROL_BREAK,1,0.975
12,(,language,CONTROL_NEXT,1,0.975
12,(,language,CONTROL_RETURN,1,0.975
12,(,language,PROMISE_CREATE,1,0.94
12,(,language,PROMISE_FORCE,1,0.92
12,(,language,PROMISE_CACHE,1,0.95
12,(,language,PROMISE_RECURSION_GUARD,1,0.88
12,(,language,ENV_LOOKUP_LOCAL,1,0.975
12,(,language,ENV_LOOKUP_PARENT,1,0.95
12,(,language,ACTIVE_BINDING_READ,1,0.86
12,(,language,ENV_ASSIGN_LOCAL,1,0.975
12,(,language,ENV_SUPERASSIGN,1,0.93
12,(,language,ACTIVE_BINDING_WRITE,1,0.84
12,(,language,ARG_FORCE_EAGER,1,0.975
12,(,language,ARG_MATCH_EXACT,1,0.975
12,(,language,ARG_MATCH_PARTIAL_UNIQUE,1,0.975
12,(,language,ARG_MATCH_PARTIAL_AMBIGUITY,1,0.94
12,(,language,ARG_MATCH_POSITIONAL,1,0.975
12,(,language,SYMBOL_LOOKUP,1,0.975
12,(,language,PRIMITIVE_LOOKUP,1,0.975
12,(,language,SHAPE_SCALAR,1,0.975
13,.subset,subset,ATTR_GET_GENERIC,1,0.985
13,.subset,subset,COERCE_IDENTITY,1,0.985
13,.subset,subset,DOTS_COLLECT,1,0.975
13,.subset,subset,DOTS_ORDER_PRESERVE,1,0.975
13,.subset,subset,DOTS_NAMES_PRESERVE,1,0.985
13,.subset,subset,INTERNAL_GENERIC_LOOKUP,1,0.975
13,.subset,subset,OPS_GROUP_DISPATCH,1,0.975
13,.subset,subset,ARG_FORCE_EAGER,1,0.975
13,.subset,subset,GATHER_ATOMIC,1,0.975
13,.subset,subset,GATHER_LIST,1,0.975
13,.subset,subset,INDEX_DROP_POLICY,1,0.985
13,.subset,subset,REGEX_COMPILE,1,0.975
13,.subset,subset,REGEX_MATCH,1,0.975
13,.subset,subset,REGEX_REPLACE,1,0.975
13,.subset,subset,REGEX_FLAGS_R,1,0.9
13,.subset,subset,REGEX_NA_POLICY,1,0.95
13,.subset,subset,SYMBOL_LOOKUP,1,0.975
13,.subset,subset,PRIMITIVE_LOOKUP,1,0.975
13,.subset,subset,INDEX_NORMALIZE,1,0.985
13,.subset,subset,INDEX_ONE_BASED,1,0.985
13,.subset,subset,INDEX_ZERO_OMIT,1,0.985
13,.subset,subset,INDEX_NEGATIVE_EXCLUDE,1,0.985
13,.subset,subset,INDEX_LOGICAL_RECYCLE,1,0.985
13,.subset,subset,INDEX_CHARACTER_NAMES,1,0.985
13,.subset,subset,INDEX_NA,1,0.985
14,.subset2,subset,ATTR_GET_GENERIC,1,0.985
14,.subset2,subset,COERCE_IDENTITY,1,0.985
14,.subset2,subset,DOTS_COLLECT,1,0.975
14,.subset2,subset,DOTS_ORDER_PRESERVE,1,0.975
14,.subset2,subset,DOTS_NAMES_PRESERVE,1,0.985
14,.subset2,subset,INTERNAL_GENERIC_LOOKUP,1,0.975
14,.subset2,subset,OPS_GROUP_DISPATCH,1,0.975
14,.subset2,subset,ARG_FORCE_EAGER,1,0.975
14,.subset2,subset,GATHER_ATOMIC,1,0.975
14,.subset2,subset,GATHER_LIST,1,0.975
14,.subset2,subset,INDEX_DROP_POLICY,1,0.985
14,.subset2,subset,REGEX_COMPILE,1,0.975
14,.subset2,subset,REGEX_MATCH,1,0.975
14,.subset2,subset,REGEX_REPLACE,1,0.975
14,.subset2,subset,REGEX_FLAGS_R,1,0.9
14,.subset2,subset,REGEX_NA_POLICY,1,0.95
14,.subset2,subset,SYMBOL_LOOKUP,1,0.975
14,.subset2,subset,PRIMITIVE_LOOKUP,1,0.975
14,.subset2,subset,INDEX_NORMALIZE,1,0.985
14,.subset2,subset,INDEX_ONE_BASED,1,0.985
14,.subset2,subset,INDEX_ZERO_OMIT,1,0.985
14,.subset2,subset,INDEX_NEGATIVE_EXCLUDE,1,0.985
14,.subset2,subset,INDEX_LOGICAL_RECYCLE,1,0.985
14,.subset2,subset,INDEX_CHARACTER_NAMES,1,0.985
14,.subset2,subset,INDEX_NA,1,0.985
15,[,subset,ATTR_GET_GENERIC,1,0.985
15,[,subset,LANG_CAPTURE_AST,1,0.94
15,[,subset,LANG_SYMBOL_OBJECT,1,0.975
15,[,subset,LANG_CALL_OBJECT,1,0.93
15,[,subset,COERCE_IDENTITY,1,0.985
15,[,subset,DOTS_COLLECT,1,0.975
15,[,subset,DOTS_ORDER_PRESERVE,1,0.975
15,[,subset,DOTS_NAMES_PRESERVE,1,0.985
15,[,subset,PROMISE_CREATE,1,0.94
15,[,subset,PROMISE_FORCE,1,0.92
15,[,subset,PROMISE_CACHE,1,0.95
15,[,subset,PROMISE_RECURSION_GUARD,1,0.88
15,[,subset,INTERNAL_GENERIC_LOOKUP,1,0.975
15,[,subset,OPS_GROUP_DISPATCH,1,0.975
15,[,subset,GATHER_ATOMIC,1,0.975
15,[,subset,GATHER_LIST,1,0.975
15,[,subset,INDEX_DROP_POLICY,1,0.985
15,[,subset,SYMBOL_LOOKUP,1,0.975
15,[,subset,PRIMITIVE_LOOKUP,1,0.975
15,[,subset,INDEX_NORMALIZE,1,0.985
15,[,subset,INDEX_ONE_BASED,1,0.985
15,[,subset,INDEX_ZERO_OMIT,1,0.985
15,[,subset,INDEX_NEGATIVE_EXCLUDE,1,0.985
15,[,subset,INDEX_LOGICAL_RECYCLE,1,0.985
15,[,subset,INDEX_CHARACTER_NAMES,1,0.985
15,[,subset,INDEX_NA,1,0.985
16,[[,subset,ATTR_GET_GENERIC,1,0.985
16,[[,subset,LANG_CAPTURE_AST,1,0.94
16,[[,subset,LANG_SYMBOL_OBJECT,1,0.975
16,[[,subset,LANG_CALL_OBJECT,1,0.93
16,[[,subset,COERCE_IDENTITY,1,0.985
16,[[,subset,DOTS_COLLECT,1,0.975
16,[[,subset,DOTS_ORDER_PRESERVE,1,0.975
16,[[,subset,DOTS_NAMES_PRESERVE,1,0.985
16,[[,subset,PROMISE_CREATE,1,0.94
16,[[,subset,PROMISE_FORCE,1,0.92
16,[[,subset,PROMISE_CACHE,1,0.95
16,[[,subset,PROMISE_RECURSION_GUARD,1,0.88
16,[[,subset,INTERNAL_GENERIC_LOOKUP,1,0.975
16,[[,subset,OPS_GROUP_DISPATCH,1,0.975
16,[[,subset,GATHER_ATOMIC,1,0.975
16,[[,subset,GATHER_LIST,1,0.975
16,[[,subset,INDEX_DROP_POLICY,1,0.985
16,[[,subset,SYMBOL_LOOKUP,1,0.975
16,[[,subset,PRIMITIVE_LOOKUP,1,0.975
16,[[,subset,INDEX_NORMALIZE,1,0.985
16,[[,subset,INDEX_ONE_BASED,1,0.985
16,[[,subset,INDEX_ZERO_OMIT,1,0.985
16,[[,subset,INDEX_NEGATIVE_EXCLUDE,1,0.985
16,[[,subset,INDEX_LOGICAL_RECYCLE,1,0.985
