table_index,name,kernel,arity,baseline_readiness
167,floor,numeric-unary,1,0.97775
168,ceiling,numeric-unary,1,0.97775
169,sqrt,numeric-unary,1,0.97775
170,sign,numeric-unary,1,0.97775
171,trunc,numeric-unary,-1,0.980263
172,exp,numeric-unary,1,0.97775
173,expm1,numeric-unary,1,0.97775
174,log1p,numeric-unary,1,0.97775
175,cos,numeric-unary,1,0.97775
176,sin,numeric-unary,1,0.97775
177,tan,numeric-unary,1,0.97775
178,acos,numeric-unary,1,0.97775
179,asin,numeric-unary,1,0.97775
180,atan,numeric-unary,1,0.97775
181,cosh,numeric-unary,1,0.97775
182,sinh,numeric-unary,1,0.97775
183,tanh,numeric-unary,1,0.97775
184,acosh,numeric-unary,1,0.97775
185,asinh,numeric-unary,1,0.97775
186,atanh,numeric-unary,1,0.97775
187,lgamma,numeric-unary,1,0.97775
188,gamma,numeric-unary,1,0.97775
189,digamma,numeric-unary,1,0.97775
190,trigamma,numeric-unary,1,0.97775
191,cospi,numeric-unary,1,0.97775
192,sinpi,numeric-unary,1,0.97775
193,tanpi,numeric-unary,1,0.97775
194,atan2,numeric-binary,2,0.977391
195,lbeta,numeric-binary,2,0.977391
196,beta,numeric-binary,2,0.977391
197,lchoose,numeric-binary,2,0.977391
198,choose,numeric-binary,2,0.977391
199,besselJ,numeric-binary,2,0.977391
200,besselY,numeric-binary,2,0.977391
201,psigamma,numeric-binary,2,0.977391
202,Re,numeric-complex,1,0.975938
203,Im,numeric-complex,1,0.975938
204,Mod,numeric-complex,1,0.975938
205,Arg,numeric-complex,1,0.975938
206,Conj,numeric-complex,1,0.975938
207,besselI,numeric-ternary,3,0.977391
208,besselK,numeric-ternary,3,0.977391
209,rchisq,random,2,0.965
210,rexp,random,2,0.965
211,rgeom,random,2,0.965
212,rpois,random,2,0.965
213,rt,random,2,0.965
214,rsignrank,random,2,0.965
215,rbeta,random,3,0.965
216,rbinom,random,3,0.965
217,rcauchy,random,3,0.965
218,rf,random,3,0.965
219,rgamma,random,3,0.965
220,rlnorm,random,3,0.965
221,rlogis,random,3,0.965
222,rnbinom,random,3,0.965
223,rnbinom_mu,random,3,0.965
224,rnchisq,random,3,0.965
225,rnorm,random,3,0.965
226,runif,random,3,0.965
227,rweibull,random,3,0.965
228,rwilcox,random,3,0.965
229,rhyper,random,4,0.965
230,sample,random,4,0.965
231,sample2,random,2,0.965
232,RNGkind,random,4,0.965
233,set.seed,random,5,0.965
234,sum,reduction,-1,0.9795
235,min,reduction,-1,0.9795
236,max,reduction,-1,0.9795
237,prod,reduction,-1,0.9795
238,mean,reduction,1,0.977143
239,range,runtime,-1,0.955227
240,cumsum,cumulative,1,0.977143
241,cumprod,cumulative,1,0.977143
242,cummax,cumulative,1,0.977143
243,cummin,cumulative,1,0.977143
244,cumvar,cumulative,1,0.977143
245,as.character,coercion-atomic,-1,0.978333
246,as.integer,coercion-atomic,-1,0.978333
247,as.double,coercion-atomic,-1,0.978333
248,as.numeric,coercion-atomic,-1,0.978333
249,as.complex,coercion-atomic,-1,0.978333
250,as.logical,coercion-atomic,-1,0.978333
251,as.raw,coercion-atomic,1,0.975313
252,as.call,runtime,1,0.95413
253,as.environment,environment,1,0.959524
254,storage.mode<-,replacement,2,0.9624
255,asCharacterFactor,character,1,0.975385
256,as.vector,coercion-mode,2,0.975313
257,paste,character,4,0.975385
258,paste0,character,3,0.975385
259,file.path,io,2,0.974783
260,format,runtime,9,0.95413
261,format.info,runtime,3,0.95413
262,cat,runtime,6,0.95413
263,do.call,runtime,3,0.95413
264,str2lang,character,1,0.975385
265,str2expression,character,1,0.975385
266,nchar,character,4,0.975385
267,nzchar,character,-1,0.979167
268,substr,character,3,0.969722
269,startsWith,character,2,0.975385
270,endsWith,character,2,0.975385
271,substr<-,replacement,4,0.959259
272,strsplit,character,5,0.975385
273,abbreviate,character,3,0.975385
274,make.names,attribute,2,0.974615
275,pcre_config,runtime,0,0.95413
276,grep,character,8,0.969722
277,grepl,character,8,0.969722
278,grepRaw,character,8,0.969722
279,sub,character,7,0.969722
280,gsub,character,7,0.969722
281,regexpr,runtime,6,0.954286
282,gregexpr,runtime,6,0.954286
283,regexec,runtime,5,0.954286
284,agrep,character,8,0.969722
285,agrepl,character,8,0.969722
286,adist,runtime,8,0.95413
287,aregexec,runtime,7,0.954286
288,tolower,character,1,0.975385
289,toupper,character,1,0.975385
290,chartr,character,3,0.975385
291,sprintf,runtime,-1,0.955227
292,make.unique,matching,2,0.974615
293,charToRaw,character,1,0.975385
294,rawToChar,character,2,0.975385
295,rawShift,bitwise,2,0.977059
296,intToBits,bitwise,1,0.977059
297,numToBits,bitwise,1,0.977059
298,numToInts,runtime,1,0.95413
299,rawToBits,bitwise,1,0.977059
300,packBits,bitwise,2,0.977059
301,utf8ToInt,character,1,0.975385
302,intToUtf8,character,3,0.975385
303,validUTF8,character,1,0.975385
304,validEnc,runtime,1,0.95413
305,encodeString,character,5,0.975385
306,iconv,system,6,0.974706
307,strtrim,character,2,0.975385
308,strtoi,character,2,0.975385
309,strrep,character,2,0.975385
310,is.null,predicate,1,0.973636
311,is.logical,predicate,1,0.973636
312,is.integer,predicate,1,0.973636
313,is.double,predicate,1,0.973636
314,is.complex,predicate,1,0.973636
315,is.character,predicate,1,0.973636
316,is.symbol,predicate,1,0.973636
317,is.name,predicate,1,0.973636
318,is.environment,predicate,1,0.973636
319,is.list,predicate,1,0.973636
320,is.pairlist,predicate,1,0.973636
321,is.expression,predicate,1,0.973636
322,is.raw,predicate,1,0.973636
323,is.object,predicate,1,0.973636
324,isS4,predicate,1,0.973636
325,is.numeric,predicate,1,0.973636
326,is.matrix,predicate,1,0.973636
327,is.array,predicate,1,0.973636
328,is.atomic,predicate,1,0.973636
329,is.recursive,predicate,1,0.973636
330,is.call,predicate,1,0.973636
331,is.language,predicate,1,0.973636
332,is.function,predicate,1,0.973636
333,is.single,predicate,1,0.973636
334,is.na,missingness,1,0.975385
335,is.nan,numeric-predicate,1,0.977955
336,is.finite,numeric-predicate,1,0.977955
337,is.infinite,numeric-predicate,1,0.977955
338,is.vector,runtime,2,0.95413
339,proc.time,system,0,0.969773
340,gc.time,runtime,-1,0.954815
341,withVisible,language,1,0.950758
342,expression,language,-1,0.951406
343,interactive,system,0,0.974706
344,invisible,runtime,1,0.95413
345,rep,language,-1,0.951406
346,rep.int,runtime,2,0.95413
347,rep_len,runtime,2,0.95413
348,seq.int,runtime,-1,0.955227
349,seq_len,runtime,1,0.95413
350,seq_along,runtime,1,0.95413
351,list,runtime,-1,0.955227
352,xtfrm,ordering,1,0.975385
353,enc2native,runtime,1,0.95413
354,enc2utf8,runtime,1,0.95413
355,emptyenv,environment,0,0.959524
356,baseenv,environment,0,0.959524
357,globalenv,environment,0,0.959524
358,environment<-,replacement,2,0.960227
359,pos.to.env,environment,1,0.959524
360,.C,runtime,-1,0.955227
361,.Fortran,runtime,-1,0.955227
362,.External,runtime,-1,0.955227
363,.External2,runtime,-1,0.955227
364,.Call,runtime,-1,0.955227
365,.External.graphics,runtime,-1,0.955227
366,.Call.graphics,runtime,-1,0.955227
367,eapply,language,4,0.950758
368,lapply,language,2,0.950758
369,vapply,language,4,0.950758
370,mapply,runtime,3,0.95413
371,Version,runtime,0,0.95413
372,machine,runtime,0,0.95413
373,commandArgs,runtime,0,0.95413
374,internalsID,runtime,0,0.95413
375,system,runtime,7,0.958448
376,system,runtime,4,0.958448
377,shell.exec,runtime,1,0.95413
378,Sys.which,runtime,1,0.95413
379,mkjunction,system,2,0.974706
380,tzone_name,runtime,0,0.95413
381,parse,runtime,6,0.95413
382,parse_Rd,runtime,7,0.95413
383,deparseRd,runtime,2,0.95413
384,parseLatex,runtime,5,0.95413
385,save,serialization,6,0.952826
386,saveToConn,serialization,6,0.952826
387,load,serialization,2,0.952826
388,loadFromConn2,serialization,3,0.952826
389,loadInfoFromConn2,serialization,1,0.952826
390,serializeToConn,serialization,5,0.952826
391,unserializeFromConn,serialization,2,0.952826
392,serializeInfoFromConn,serialization,1,0.952826
393,deparse,runtime,5,0.95413
394,dput,runtime,3,0.9425
395,dump,runtime,5,0.95413
396,quit,runtime,3,0.95413
397,readline,io,1,0.974706
398,print.default,runtime,3,0.95413
399,prmatrix,matrix,6,0.979531
400,gc,runtime,3,0.95413
401,gcinfo,runtime,1,0.95413
402,gctorture,runtime,1,0.95413
403,gctorture2,runtime,3,0.95413
404,memory.profile,io,0,0.974783
405,mem.maxVSize,runtime,1,0.95413
406,mem.maxNSize,runtime,1,0.95413
407,split,runtime,2,0.95413
408,is.loaded,serialization,-1,0.953864
409,recordGraphics,runtime,3,0.95413
410,dyn.load,serialization,4,0.952826
411,dyn.unload,serialization,1,0.952826
412,ls,environment,3,0.957895
413,typeof,runtime,1,0.95413
414,eval,language,3,0.951471
415,Exec,language,-1,0.951406
416,Tailcall,language,-1,0.951406
417,returnValue,language,1,0.951471
418,sys.parent,runtime,-1,0.955227
419,sys.call,runtime,-1,0.955227
420,sys.frame,runtime,-1,0.955227
421,sys.nframe,runtime,-1,0.955227
422,sys.calls,runtime,-1,0.955227
423,sys.frames,runtime,-1,0.955227
424,sys.on.exit,runtime,-1,0.955227
425,sys.parents,runtime,-1,0.955227
426,sys.function,runtime,-1,0.955227
427,traceback,runtime,1,0.95413
428,browserText,runtime,1,0.95413
429,browserCondition,runtime,1,0.95413
430,browserSetDebug,runtime,1,0.95413
431,parent.frame,runtime,1,0.95413
432,sort,ordering,2,0.975385
433,is.unsorted,ordering,3,0.975385
434,sorted_fpass,ordering,3,0.975385
435,psort,ordering,2,0.975385
436,qsort,runtime,2,0.95413
437,radixsort,runtime,-1,0.955227
438,order,ordering,-1,0.979167
439,rank,ordering,3,0.975385
440,scan,runtime,19,0.95413
441,t.default,matrix,1,0.979531
442,aperm,matrix,3,0.979032
443,builtins,environment,1,0.957895
444,args,runtime,1,0.95413
445,formals,runtime,1,0.95413
446,body,runtime,1,0.95413
447,bodyCode,runtime,1,0.95413
448,environment,environment,1,0.959524
449,environmentName,environment,1,0.959524
450,env2list,environment,3,0.959524
451,reg.finalizer,runtime,3,0.95413
452,options,runtime,-1,0.955227
453,getOption,environment,1,0.959524
454,sink,io,4,0.974706
455,sink.number,io,1,0.974706
456,rapply,iteration,5,0.964444
457,islistfactor,iteration,2,0.964444
458,colSums,reduction,4,0.977143
459,colMeans,reduction,4,0.977143
460,rowSums,reduction,4,0.977143
461,rowMeans,reduction,4,0.977143
462,tracemem,runtime,1,0.95413
463,retracemem,runtime,-1,0.955227
464,untracemem,runtime,1,0.95413
465,inspect,runtime,-1,0.955227
466,address,runtime,1,0.95413
467,named,runtime,1,0.95413
468,refcnt,runtime,1,0.95413
469,merge,runtime,4,0.95413
470,capabilities,system,0,0.974706
471,capabilitiesX11,system,0,0.974706
472,new.env,environment,3,0.959524
473,parent.env,environment,1,0.959524
474,parent.env<-,replacement,2,0.960227
475,topenv,environment,2,0.959524
476,l10n_info,system,0,0.974706
477,Cstack_info,system,0,0.974706
478,mmap_file,io,-1,0.976818
479,munmap_file,io,1,0.974783
480,wrap_meta,runtime,3,0.95413
481,tryWrap,runtime,1,0.95413
482,altrep_class,attribute,1,0.974615
483,file.show,io,5,0.974783
484,file.create,io,2,0.974783
485,file.remove,environment,1,0.962963
486,file.rename,io,2,0.974783
487,file.append,io,2,0.974783
488,file.symlink,io,2,0.974783
489,file.link,io,2,0.974783
490,file.copy,io,6,0.974783
491,list.files,io,9,0.974783
492,list.dirs,io,3,0.974783
493,file.exists,io,1,0.974783
494,file.choose,io,1,0.974783
495,file.info,io,2,0.974783
496,file.access,io,2,0.974783
497,dir.exists,io,1,0.974783
498,dir.create,io,4,0.974783
499,tempfile,io,3,0.974783
500,tempdir,io,1,0.974783
501,R.home,system,0,0.974706
502,date,system,0,0.969773
503,Sys.getenv,environment,2,0.959524
504,Sys.setenv,environment,2,0.959524
505,Sys.unsetenv,environment,1,0.959524
506,getwd,environment,0,0.959524
507,setwd,runtime,1,0.95413
508,basename,runtime,1,0.95413
509,dirname,io,1,0.974783
510,Sys.chmod,system,3,0.974706
511,Sys.umask,system,1,0.974706
512,Sys.readlink,io,1,0.974706
513,Sys.info,runtime,0,0.95413
514,Sys.sleep,system,1,0.974706
515,Sys.getlocale,environment,1,0.959524
516,Sys.setlocale,system,2,0.974706
517,Sys.localeconv,system,0,0.974706
518,path.expand,system,1,0.974706
519,Sys.getpid,environment,0,0.959524
520,normalizePath,runtime,3,0.958448
521,Sys.glob,system,2,0.974706
522,unlink,system,4,0.974706
523,polyroot,numeric-complex,1,0.976667
524,inherits,runtime,3,0.95413
525,UseMethod,language,-1,0.951406
526,NextMethod,language,-1,0.951406
527,standardGeneric,runtime,-1,0.955227
528,Sys.time,runtime,0,0.953929
529,as.POSIXct,datetime,2,0.967812
530,as.POSIXlt,datetime,2,0.967812
531,format.POSIXlt,datetime,4,0.967812
532,strptime,character,3,0.969167
533,Date2POSIXlt,datetime,2,0.967812
534,POSIXlt2Date,datetime,1,0.967812
535,balancePOSIXlt,datetime,3,0.967812
536,unCfillPOSIXlt,datetime,1,0.967812
537,compareNumericVersion,runtime,2,0.95413
538,mkCode,language,2,0.951471
539,bcClose,language,3,0.951471
540,is.builtin.internal,language,1,0.951471
541,disassemble,language,1,0.951471
542,bcVersion,language,0,0.951471
543,load.from.file,io,1,0.958333
544,save.to.file,io,4,0.958333
545,growconst,language,1,0.951471
546,putconst,language,3,0.951471
547,getconst,environment,2,0.959524
548,enableJIT,language,1,0.951471
549,compilePKGS,language,1,0.951471
550,setNumMathThreads,io,1,0.974706
551,setMaxNumMathThreads,io,1,0.974706
552,stdin,io,0,0.974706
553,stdout,io,0,0.974706
554,stderr,io,0,0.974706
555,isatty,io,1,0.974706
556,readLines,io,6,0.974706
557,writeLines,io,4,0.974706
558,readBin,io,6,0.974706
559,writeBin,io,5,0.974706
560,readChar,io,3,0.974706
561,writeChar,io,5,0.974706
562,open,io,3,0.974706
563,isOpen,io,2,0.974706
564,isIncomplete,io,1,0.974706
565,isSeekable,io,1,0.974706
566,close,io,2,0.974706
567,flush,io,1,0.974706
568,file,io,6,0.974783
569,url,io,6,0.974706
570,pipe,io,3,0.974706
571,fifo,io,4,0.974706
572,gzfile,io,4,0.974783
573,bzfile,io,4,0.974783
574,xzfile,io,4,0.974783
575,zstdfile,io,4,0.974783
576,unz,io,3,0.974706
577,seek,io,4,0.974706
578,truncate,io,1,0.974706
579,pushBack,io,4,0.974706
580,clearPushBack,io,1,0.974706
581,pushBackLength,io,1,0.974706
582,rawConnection,io,3,0.974706
583,rawConnectionValue,io,1,0.974706
584,textConnection,io,5,0.974706
585,textConnectionValue,io,1,0.974706
586,socketConnection,io,8,0.974706
587,socketAccept,io,6,0.974706
588,sockSelect,io,3,0.974706
589,serverSocket,io,1,0.974706
590,socketTimeout,io,2,0.969773
591,getConnection,environment,1,0.959524
592,getAllConnections,environment,0,0.959524
593,summary.connection,io,1,0.974706
594,gzcon,io,4,0.974706
595,memCompress,io,2,0.974706
596,memDecompress,io,2,0.974706
597,readDCF,io,3,0.974706
598,lockEnvironment,environment,2,0.959524
599,environmentIsLocked,environment,1,0.959524
600,lockBinding,environment,2,0.957895
601,unlockBinding,environment,2,0.957895
602,bindingIsLocked,environment,2,0.957895
603,makeActiveBinding,environment,3,0.957895
604,bindingIsActive,environment,2,0.957895
605,activeBindingFunction,environment,2,0.957895
606,getBindingType,environment,2,0.959524
607,delayedBindingExpression,environment,2,0.959524
608,delayedBindingEnvironment,environment,2,0.959524
609,forcedBindingExpression,environment,2,0.959524
610,dotsExist,environment,2,0.957895
611,getDotType,environment,3,0.957895
612,dotDelayedExpression,environment,3,0.957895
613,dotDelayedEnvironment,environment,3,0.959524
614,dotForcedExpression,environment,3,0.957895
615,dotsLength,environment,2,0.957895
616,dotsNames,attribute,2,0.974615
617,dotsElt,environment,3,0.957895
618,mkUnbound,environment,1,0.957895
619,isNamespaceEnv,environment,1,0.959524
620,registerNamespace,environment,2,0.957895
621,unregisterNamespace,environment,1,0.957895
622,getRegisteredNamespace,environment,1,0.959524
623,isRegisteredNamespace,environment,1,0.959524
624,getNamespaceRegistry,environment,0,0.959524
625,importIntoEnv,environment,4,0.959524
626,env.profile,environment,1,0.962963
627,Encoding,character,1,0.975385
628,setEncoding,character,2,0.975385
629,setTimeLimit,system,3,0.969773
630,setSessionTimeLimit,system,2,0.969773
631,icuSetCollate,runtime,-1,0.955227
632,icuGetCollate,environment,1,0.959524
633,readRenviron,environment,1,0.959524
634,shortRowNames,attribute,2,0.974615
635,copyDFattr,attribute,2,0.974615
636,getRegisteredRoutines,environment,1,0.959524
637,getLoadedDLLs,environment,0,0.945714
638,getSymbolInfo,environment,3,0.959524
639,.isMethodsDispatchOn,runtime,-1,0.955227
640,lazyLoadDBfetch,serialization,4,0.952826
641,lazyLoadDBflush,serialization,1,0.952826
642,getVarsFromFrame,environment,3,0.959524
643,lazyLoadDBinsertValue,serialization,5,0.952826
644,bincode,runtime,4,0.95413
645,tabulate,runtime,2,0.95413
646,findInterval,runtime,6,0.95413
647,pretty,runtime,8,0.95413
648,formatC,runtime,7,0.95413
649,crc64,runtime,1,0.95413
650,bitwiseAnd,bitwise,2,0.977059
651,bitwiseNot,bitwise,1,0.977059
652,bitwiseOr,bitwise,2,0.977059
653,bitwiseXor,bitwise,2,0.977059
654,bitwiseShiftL,bitwise,2,0.977059
655,bitwiseShiftR,bitwise,2,0.977059
656,serialize,serialization,5,0.952826
657,serializeb,serialization,5,0.952826
658,unserialize,serialization,2,0.952826
659,rowsum_matrix,reduction,5,0.977143
660,rowsum_df,reduction,5,0.977143
661,objsxp,runtime,0,0.95413
662,setS4Object,runtime,3,0.95413
663,traceOnOff,runtime,1,0.95413
664,debugOnOff,runtime,1,0.95413
665,La_qr_cmplx,matrix,1,0.979531
666,La_rs,matrix,2,0.979531
667,La_rs_cmplx,matrix,2,0.979531
668,La_rg,matrix,2,0.979531
669,La_rg_cmplx,matrix,2,0.979531
670,La_rs,matrix,2,0.979531
671,La_rs_cmplx,matrix,2,0.979531
672,La_dlange,matrix,2,0.979531
673,La_dgecon,matrix,2,0.979531
674,La_dtrcon,matrix,2,0.979531
675,La_dtrcon3,matrix,3,0.979531
676,La_zlange,matrix,2,0.979531
677,La_zgecon,matrix,2,0.979531
678,La_ztrcon,matrix,2,0.979531
679,La_ztrcon3,matrix,3,0.979531
680,La_solve_cmplx,matrix,3,0.979531
681,La_solve,matrix,3,0.979531
682,La_qr,matrix,1,0.979531
683,La_chol,matrix,3,0.979531
684,La_chol2inv,matrix,2,0.979531
685,qr_coef_real,matrix,2,0.979531
686,qr_qy_real,matrix,3,0.979531
687,det_ge_real,matrix,2,0.979531
688,qr_coef_cmplx,matrix,2,0.979531
689,qr_qy_cmplx,matrix,3,0.979531
690,La_svd,matrix,5,0.979531
691,La_svd_cmplx,matrix,5,0.979531
692,La_version,matrix,0,0.979531
693,La_library,matrix,0,0.979531
694,bcprofcounts,language,0,0.951471
695,bcprofstart,language,0,0.951471
696,bcprofstop,language,0,0.951471
697,eSoftVersion,system,0,0.974706
698,curlVersion,io,0,0.974706
699,curlGetHeaders,environment,5,0.959524
700,curlDownload,io,6,0.954167
701,compilerVersion,system,0,0.974706
