language_id,source_feature_a,source_feature_b,coobserved,cooccurrence_count
nim,GEN::compile_time_eval,GEN::function,1,64
nim,GEN::compile_time_eval,GEN::generic,1,54
nim,GEN::compile_time_eval,GEN::import,1,5
nim,GEN::compile_time_eval,GEN::macro,1,26
nim,GEN::compile_time_eval,GEN::pointer,1,6
nim,GEN::compile_time_eval,GEN::reference,1,3
nim,GEN::compile_time_eval,GEN::struct,1,2
nim,GEN::compile_time_eval,GEN::task_async,1,3
nim,GEN::compile_time_eval,GEN::throw_raise,1,1
nim,GEN::compile_time_eval,GEN::yield,1,3
nim,GEN::enum,GEN::function,1,5
nim,GEN::enum,GEN::generic,1,5
nim,GEN::enum,GEN::reference,1,1
nim,GEN::enum,GEN::struct,1,1
nim,GEN::function,GEN::generic,1,1842
nim,GEN::function,GEN::import,1,1
nim,GEN::function,GEN::macro,1,1
nim,GEN::function,GEN::ownership,1,5
nim,GEN::function,GEN::pointer,1,78
nim,GEN::function,GEN::reference,1,33
nim,GEN::function,GEN::struct,1,3
nim,GEN::function,GEN::task_async,1,178
nim,GEN::function,GEN::throw_raise,1,3
nim,GEN::generic,GEN::macro,1,12
nim,GEN::generic,GEN::ownership,1,2
nim,GEN::generic,GEN::pointer,1,26
nim,GEN::generic,GEN::reference,1,34
nim,GEN::generic,GEN::struct,1,29
nim,GEN::generic,GEN::task_async,1,44
nim,GEN::generic,GEN::yield,1,51
nim,GEN::import,GEN::throw_raise,1,6
nim,GEN::macro,GEN::pointer,1,9
nim,GEN::macro,GEN::reference,1,3
nim,GEN::macro,GEN::struct,1,1
nim,GEN::pointer,GEN::reference,1,5
nim,GEN::pointer,GEN::struct,1,2
nim,GEN::reference,GEN::struct,1,105
nim,GEN::reference,GEN::throw_raise,1,12
nim,GEN::struct,GEN::throw_raise,1,4
r,GEN::assignment,GEN::closure_lambda,1,997
r,GEN::assignment,GEN::for,1,776
r,GEN::assignment,GEN::function,1,36823
r,GEN::assignment,GEN::if,1,51559
r,GEN::assignment,GEN::member_access,1,102788
r,GEN::assignment,GEN::return,1,3564
r,GEN::assignment,GEN::while,1,472
r,GEN::assignment,R::r.condition_system,1,5040
r,GEN::assignment,R::r.dollar_member_partial_match,1,102788
r,GEN::assignment,R::r.dots_ellipsis,1,8194
r,GEN::assignment,R::r.double_bracket_index,1,21856
r,GEN::assignment,R::r.environment,1,375
r,GEN::assignment,R::r.ffi_C_Call_External,1,682
r,GEN::assignment,R::r.na_value,1,9927
r,GEN::assignment,R::r.namespace_package,1,28968
r,GEN::assignment,R::r.nan_inf_semantics,1,1803
r,GEN::assignment,R::r.on_exit_cleanup,1,191
r,GEN::assignment,R::r.quote_substitute_eval,1,1665
r,GEN::assignment,R::r.rng_state,1,28
r,GEN::assignment,R::r.s3_dispatch,1,85
r,GEN::assignment,R::r.s4_dispatch,1,330
r,GEN::assignment,R::r.superassignment,1,844
r,GEN::closure_lambda,GEN::for,1,1
r,GEN::closure_lambda,GEN::function,1,9
r,GEN::closure_lambda,GEN::if,1,32
r,GEN::closure_lambda,GEN::member_access,1,39
r,GEN::closure_lambda,GEN::while,1,1
r,GEN::closure_lambda,R::r.condition_system,1,8
r,GEN::closure_lambda,R::r.dollar_member_partial_match,1,39
r,GEN::closure_lambda,R::r.double_bracket_index,1,26
r,GEN::closure_lambda,R::r.na_value,1,2
r,GEN::closure_lambda,R::r.namespace_package,1,257
r,GEN::for,GEN::function,1,5
r,GEN::for,GEN::if,1,137
r,GEN::for,GEN::member_access,1,957
r,GEN::for,GEN::return,1,4
r,GEN::for,R::r.condition_system,1,2
r,GEN::for,R::r.dollar_member_partial_match,1,957
r,GEN::for,R::r.dots_ellipsis,1,7
r,GEN::for,R::r.double_bracket_index,1,401
r,GEN::for,R::r.na_value,1,20
r,GEN::for,R::r.namespace_package,1,48
r,GEN::for,R::r.nan_inf_semantics,1,2
r,GEN::for,R::r.quote_substitute_eval,1,18
r,GEN::for,R::r.superassignment,1,3
r,GEN::function,GEN::if,1,705
r,GEN::function,GEN::member_access,1,2070
r,GEN::function,GEN::return,1,288
r,GEN::function,GEN::while,1,6
r,GEN::function,R::r.condition_system,1,413
r,GEN::function,R::r.dollar_member_partial_match,1,2070
r,GEN::function,R::r.dots_ellipsis,1,4599
r,GEN::function,R::r.double_bracket_index,1,679
r,GEN::function,R::r.environment,1,8
r,GEN::function,R::r.ffi_C_Call_External,1,17
r,GEN::function,R::r.na_value,1,553
r,GEN::function,R::r.namespace_package,1,509
r,GEN::function,R::r.nan_inf_semantics,1,76
r,GEN::function,R::r.quote_substitute_eval,1,55
r,GEN::function,R::r.s3_dispatch,1,85
r,GEN::function,R::r.s4_dispatch,1,409
r,GEN::function,R::r.superassignment,1,22
r,GEN::if,GEN::member_access,1,16011
r,GEN::if,GEN::return,1,2081
r,GEN::if,GEN::while,1,2
r,GEN::if,R::r.condition_system,1,4711
r,GEN::if,R::r.dollar_member_partial_match,1,16011
r,GEN::if,R::r.dots_ellipsis,1,317
r,GEN::if,R::r.double_bracket_index,1,2488
r,GEN::if,R::r.environment,1,36
r,GEN::if,R::r.ffi_C_Call_External,1,2
r,GEN::if,R::r.na_value,1,1073
r,GEN::if,R::r.namespace_package,1,1019
r,GEN::if,R::r.nan_inf_semantics,1,262
r,GEN::if,R::r.on_exit_cleanup,1,3
r,GEN::if,R::r.quote_substitute_eval,1,78
r,GEN::if,R::r.rng_state,1,64
r,GEN::if,R::r.s4_dispatch,1,5
r,GEN::if,R::r.superassignment,1,13
r,GEN::member_access,GEN::return,1,933
r,GEN::member_access,GEN::while,1,85
r,GEN::member_access,R::r.condition_system,1,1045
r,GEN::member_access,R::r.dollar_member_partial_match,1,133486
r,GEN::member_access,R::r.dots_ellipsis,1,637
r,GEN::member_access,R::r.double_bracket_index,1,6885
r,GEN::member_access,R::r.environment,1,50
r,GEN::member_access,R::r.ffi_C_Call_External,1,27
r,GEN::member_access,R::r.na_value,1,1243
r,GEN::member_access,R::r.namespace_package,1,6072
r,GEN::member_access,R::r.nan_inf_semantics,1,178
r,GEN::member_access,R::r.on_exit_cleanup,1,11
r,GEN::member_access,R::r.quote_substitute_eval,1,356
r,GEN::member_access,R::r.rng_state,1,18
r,GEN::member_access,R::r.s4_dispatch,1,3
r,GEN::member_access,R::r.superassignment,1,102
r,GEN::return,GEN::while,1,4
r,GEN::return,R::r.condition_system,1,35
r,GEN::return,R::r.dollar_member_partial_match,1,933
r,GEN::return,R::r.dots_ellipsis,1,90
r,GEN::return,R::r.double_bracket_index,1,225
r,GEN::return,R::r.environment,1,2
r,GEN::return,R::r.ffi_C_Call_External,1,11
r,GEN::return,R::r.na_value,1,484
r,GEN::return,R::r.namespace_package,1,257
r,GEN::return,R::r.nan_inf_semantics,1,105
r,GEN::return,R::r.on_exit_cleanup,1,1
r,GEN::return,R::r.quote_substitute_eval,1,7
r,GEN::return,R::r.superassignment,1,1
r,GEN::while,R::r.dollar_member_partial_match,1,85
r,GEN::while,R::r.double_bracket_index,1,12
r,GEN::while,R::r.namespace_package,1,5
r,GEN::while,R::r.nan_inf_semantics,1,2
r,R::r.condition_system,R::r.dollar_member_partial_match,1,1045
r,R::r.condition_system,R::r.dots_ellipsis,1,136
r,R::r.condition_system,R::r.double_bracket_index,1,133
r,R::r.condition_system,R::r.environment,1,3
r,R::r.condition_system,R::r.ffi_C_Call_External,1,16
r,R::r.condition_system,R::r.na_value,1,476
r,R::r.condition_system,R::r.namespace_package,1,272
r,R::r.condition_system,R::r.nan_inf_semantics,1,59
r,R::r.condition_system,R::r.quote_substitute_eval,1,23
r,R::r.condition_system,R::r.s4_dispatch,1,1
r,R::r.condition_system,R::r.superassignment,1,1
r,R::r.dollar_member_partial_match,R::r.dots_ellipsis,1,637
r,R::r.dollar_member_partial_match,R::r.double_bracket_index,1,6885
r,R::r.dollar_member_partial_match,R::r.environment,1,50
r,R::r.dollar_member_partial_match,R::r.ffi_C_Call_External,1,27
r,R::r.dollar_member_partial_match,R::r.na_value,1,1243
r,R::r.dollar_member_partial_match,R::r.namespace_package,1,6072
r,R::r.dollar_member_partial_match,R::r.nan_inf_semantics,1,178
r,R::r.dollar_member_partial_match,R::r.on_exit_cleanup,1,11
r,R::r.dollar_member_partial_match,R::r.quote_substitute_eval,1,356
r,R::r.dollar_member_partial_match,R::r.rng_state,1,18
r,R::r.dollar_member_partial_match,R::r.s4_dispatch,1,3
r,R::r.dollar_member_partial_match,R::r.superassignment,1,102
r,R::r.dots_ellipsis,R::r.double_bracket_index,1,123
r,R::r.dots_ellipsis,R::r.environment,1,4
r,R::r.dots_ellipsis,R::r.ffi_C_Call_External,1,3
r,R::r.dots_ellipsis,R::r.na_value,1,62
r,R::r.dots_ellipsis,R::r.namespace_package,1,393
r,R::r.dots_ellipsis,R::r.nan_inf_semantics,1,18
r,R::r.dots_ellipsis,R::r.quote_substitute_eval,1,33
r,R::r.dots_ellipsis,R::r.rng_state,1,2
r,R::r.dots_ellipsis,R::r.s3_dispatch,1,49
r,R::r.dots_ellipsis,R::r.s4_dispatch,1,129
r,R::r.dots_ellipsis,R::r.superassignment,1,6
r,R::r.double_bracket_index,R::r.environment,1,6
r,R::r.double_bracket_index,R::r.na_value,1,251
r,R::r.double_bracket_index,R::r.namespace_package,1,917
r,R::r.double_bracket_index,R::r.nan_inf_semantics,1,26
r,R::r.double_bracket_index,R::r.quote_substitute_eval,1,81
r,R::r.double_bracket_index,R::r.s4_dispatch,1,1
r,R::r.double_bracket_index,R::r.superassignment,1,87
r,R::r.environment,R::r.na_value,1,1
r,R::r.environment,R::r.namespace_package,1,27
r,R::r.environment,R::r.quote_substitute_eval,1,6
r,R::r.environment,R::r.superassignment,1,2
r,R::r.ffi_C_Call_External,R::r.namespace_package,1,4
r,R::r.ffi_C_Call_External,R::r.superassignment,1,4
r,R::r.na_value,R::r.namespace_package,1,244
r,R::r.na_value,R::r.nan_inf_semantics,1,61
r,R::r.na_value,R::r.quote_substitute_eval,1,27
r,R::r.na_value,R::r.superassignment,1,3
r,R::r.namespace_package,R::r.nan_inf_semantics,1,51
r,R::r.namespace_package,R::r.on_exit_cleanup,1,68
r,R::r.namespace_package,R::r.quote_substitute_eval,1,88
r,R::r.namespace_package,R::r.rng_state,1,2
r,R::r.namespace_package,R::r.s4_dispatch,1,9
r,R::r.namespace_package,R::r.superassignment,1,18
r,R::r.nan_inf_semantics,R::r.quote_substitute_eval,1,2
r,R::r.nan_inf_semantics,R::r.superassignment,1,1
r,R::r.on_exit_cleanup,R::r.rng_state,1,2
r,R::r.on_exit_cleanup,R::r.superassignment,1,1
r,R::r.quote_substitute_eval,R::r.superassignment,1,7
r,R::r.s3_dispatch,R::r.s4_dispatch,1,1
swift,GEN::attribute_annotation,GEN::capture,1,10
swift,GEN::attribute_annotation,GEN::class,1,3
swift,GEN::attribute_annotation,GEN::closure_lambda,1,57
swift,GEN::attribute_annotation,GEN::function,1,957
swift,GEN::attribute_annotation,GEN::generic,1,160
swift,GEN::attribute_annotation,GEN::optional_nullable,1,124
swift,GEN::attribute_annotation,GEN::pattern,1,9
swift,GEN::attribute_annotation,GEN::struct,1,1
swift,GEN::attribute_annotation,GEN::task_async,1,535
swift,GEN::attribute_annotation,GEN::throw_raise,1,3
swift,GEN::await,GEN::capture,1,1
swift,GEN::await,GEN::closure_lambda,1,1072
swift,GEN::await,GEN::defer_cleanup,1,2
swift,GEN::await,GEN::exception_try,1,3584
swift,GEN::await,GEN::for,1,85
swift,GEN::await,GEN::generic,1,23
swift,GEN::await,GEN::optional_nullable,1,57
swift,GEN::await,GEN::pattern,1,11
swift,GEN::await,GEN::task_async,1,68
swift,GEN::capture,GEN::closure_lambda,1,66
swift,GEN::capture,GEN::generic,1,1
swift,GEN::capture,GEN::optional_nullable,1,2
swift,GEN::capture,GEN::task_async,1,13
swift,GEN::class,GEN::function,1,27
swift,GEN::class,GEN::generic,1,100
swift,GEN::class,GEN::import,1,3
swift,GEN::class,GEN::interface_trait,1,1
swift,GEN::closure_lambda,GEN::exception_try,1,1089
swift,GEN::closure_lambda,GEN::for,1,37
swift,GEN::closure_lambda,GEN::function,1,5
swift,GEN::closure_lambda,GEN::generic,1,60
swift,GEN::closure_lambda,GEN::optional_nullable,1,36
swift,GEN::closure_lambda,GEN::pattern,1,1
swift,GEN::closure_lambda,GEN::task_async,1,84
swift,GEN::closure_lambda,GEN::throw_raise,1,3
swift,GEN::defer_cleanup,GEN::exception_try,1,81
swift,GEN::defer_cleanup,GEN::optional_nullable,1,2
swift,GEN::defer_cleanup,GEN::task_async,1,3
swift,GEN::enum,GEN::generic,1,8
swift,GEN::enum,GEN::import,1,2
swift,GEN::enum,GEN::pattern,1,5
swift,GEN::exception_try,GEN::for,1,45
swift,GEN::exception_try,GEN::function,1,35
swift,GEN::exception_try,GEN::generic,1,159
swift,GEN::exception_try,GEN::optional_nullable,1,295
swift,GEN::exception_try,GEN::pattern,1,150
swift,GEN::exception_try,GEN::task_async,1,75
swift,GEN::exception_try,GEN::throw_raise,1,3
swift,GEN::for,GEN::function,1,5
swift,GEN::for,GEN::generic,1,230
swift,GEN::for,GEN::optional_nullable,1,26
swift,GEN::for,GEN::pattern,1,1
swift,GEN::for,GEN::task_async,1,1
swift,GEN::function,GEN::generic,1,782
swift,GEN::function,GEN::optional_nullable,1,8
swift,GEN::function,GEN::pattern,1,1
swift,GEN::function,GEN::task_async,1,1722
swift,GEN::function,GEN::throw_raise,1,4
swift,GEN::generic,GEN::interface_trait,1,5
swift,GEN::generic,GEN::optional_nullable,1,67
swift,GEN::generic,GEN::pattern,1,44
swift,GEN::generic,GEN::struct,1,102
swift,GEN::generic,GEN::task_async,1,117
swift,GEN::generic,GEN::throw_raise,1,3
swift,GEN::import,GEN::struct,1,9
swift,GEN::interface_trait,GEN::pattern,1,1
swift,GEN::interface_trait,GEN::throw_raise,1,2
swift,GEN::optional_nullable,GEN::pattern,1,106
swift,GEN::optional_nullable,GEN::task_async,1,10
swift,GEN::optional_nullable,GEN::throw_raise,1,16
swift,GEN::task_async,GEN::throw_raise,1,1
zig,GEN::atomic,GEN::exception_try,1,1
zig,GEN::atomic,GEN::switch_match,1,1
zig,GEN::atomic,GEN::unsafe,1,5
zig,GEN::compile_time_eval,GEN::defer_cleanup,1,47
zig,GEN::compile_time_eval,GEN::enum,1,14
zig,GEN::compile_time_eval,GEN::exception_try,1,193
zig,GEN::compile_time_eval,GEN::ffi,1,26
zig,GEN::compile_time_eval,GEN::function,1,1217
zig,GEN::compile_time_eval,GEN::generic,1,198
zig,GEN::compile_time_eval,GEN::optional_nullable,1,216
zig,GEN::compile_time_eval,GEN::pattern,1,193
zig,GEN::compile_time_eval,GEN::struct,1,14
zig,GEN::compile_time_eval,GEN::switch_match,1,37
zig,GEN::compile_time_eval,GEN::union_sum,1,2
zig,GEN::compile_time_eval,GEN::unsafe,1,2
zig,GEN::defer_cleanup,GEN::exception_try,1,72
zig,GEN::defer_cleanup,GEN::optional_nullable,1,1
zig,GEN::defer_cleanup,GEN::pattern,1,193
zig,GEN::defer_cleanup,GEN::switch_match,1,17
zig,GEN::defer_cleanup,GEN::unsafe,1,3
zig,GEN::enum,GEN::exception_try,1,6
zig,GEN::enum,GEN::ffi,1,2
zig,GEN::enum,GEN::function,1,38
zig,GEN::enum,GEN::generic,1,1
zig,GEN::enum,GEN::optional_nullable,1,37
zig,GEN::enum,GEN::struct,1,1
zig,GEN::enum,GEN::switch_match,1,10
zig,GEN::exception_try,GEN::ffi,1,17
zig,GEN::exception_try,GEN::function,1,2
zig,GEN::exception_try,GEN::generic,1,1
zig,GEN::exception_try,GEN::optional_nullable,1,851
zig,GEN::exception_try,GEN::pattern,1,3140
zig,GEN::exception_try,GEN::struct,1,129
zig,GEN::exception_try,GEN::switch_match,1,508
zig,GEN::exception_try,GEN::union_sum,1,2
zig,GEN::exception_try,GEN::unsafe,1,51
zig,GEN::ffi,GEN::function,1,1010
zig,GEN::ffi,GEN::optional_nullable,1,32
zig,GEN::ffi,GEN::pattern,1,2
zig,GEN::ffi,GEN::struct,1,381
zig,GEN::ffi,GEN::union_sum,1,15
zig,GEN::ffi,GEN::unsafe,1,10
zig,GEN::function,GEN::generic,1,570
zig,GEN::function,GEN::optional_nullable,1,2202
zig,GEN::function,GEN::pattern,1,5
zig,GEN::function,GEN::struct,1,180
zig,GEN::function,GEN::union_sum,1,10
zig,GEN::function,GEN::unsafe,1,11
zig,GEN::generic,GEN::optional_nullable,1,21
zig,GEN::generic,GEN::struct,1,5
zig,GEN::optional_nullable,GEN::pattern,1,95
zig,GEN::optional_nullable,GEN::struct,1,93
zig,GEN::optional_nullable,GEN::switch_match,1,73
zig,GEN::optional_nullable,GEN::thread,1,1
zig,GEN::optional_nullable,GEN::union_sum,1,5
zig,GEN::optional_nullable,GEN::unsafe,1,18
zig,GEN::pattern,GEN::struct,1,2
zig,GEN::pattern,GEN::switch_match,1,725
zig,GEN::pattern,GEN::unsafe,1,7
zig,GEN::struct,GEN::union_sum,1,1
zig,GEN::struct,GEN::unsafe,1,20
zig,GEN::switch_match,GEN::union_sum,1,2
zig,GEN::switch_match,GEN::unsafe,1,12
zig,GEN::thread,GEN::union_sum,1,1
zig,GEN::thread,GEN::unsafe,1,1
zig,GEN::union_sum,GEN::unsafe,1,5
