source_id,language,ecosystem,canonical_semantic_id,observed,source_feature_count,occurrences
github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,UASF_0305,1,1,49
github:GenieFramework/Genie.jl@5a4e5f6972ea91c37c609e4bd972b92c8a51a850,julia,github,UASF_0151,1,1,8
github:nim-lang/nimble@605d325d676268e92534e003ae586925f3d42f57,nim,github,UASF_0207,1,2,82
github:nim-lang/nimble@605d325d676268e92534e003ae586925f3d42f57,nim,github,UASF_0119,1,1,135
github:nim-lang/nimble@605d325d676268e92534e003ae586925f3d42f57,nim,github,UASF_0308,1,1,111
github:nim-lang/nimble@605d325d676268e92534e003ae586925f3d42f57,nim,github,UASF_0026,1,1,1
github:nim-lang/nimble@605d325d676268e92534e003ae586925f3d42f57,nim,github,UASF_0118,1,1,287
github:nim-lang/nimble@605d325d676268e92534e003ae586925f3d42f57,nim,github,UASF_0183,1,3,460
github:nim-lang/nimble@605d325d676268e92534e003ae586925f3d42f57,nim,github,UASF_0306,1,1,1342
github:nim-lang/nimble@605d325d676268e92534e003ae586925f3d42f57,nim,github,UASF_0151,1,1,163
github:nim-lang/nimble@605d325d676268e92534e003ae586925f3d42f57,nim,github,UASF_0223,1,1,20
github:nim-lang/nimble@605d325d676268e92534e003ae586925f3d42f57,nim,github,UASF_0305,1,1,529
github:nim-lang/nimble@605d325d676268e92534e003ae586925f3d42f57,nim,github,UASF_0309,1,1,39
github:nim-lang/nimble@605d325d676268e92534e003ae586925f3d42f57,nim,github,UASF_0217,1,1,7
github:nim-lang/nimble@605d325d676268e92534e003ae586925f3d42f57,nim,github,UASF_0304,1,1,648
github:dom96/jester@8a491a8e28965ee9291f058963ff65571a315e84,nim,github,UASF_0217,1,1,12
github:dom96/jester@8a491a8e28965ee9291f058963ff65571a315e84,nim,github,UASF_0309,1,1,6
github:dom96/jester@8a491a8e28965ee9291f058963ff65571a315e84,nim,github,UASF_0183,1,2,22
github:dom96/jester@8a491a8e28965ee9291f058963ff65571a315e84,nim,github,UASF_0119,1,1,33
github:dom96/jester@8a491a8e28965ee9291f058963ff65571a315e84,nim,github,UASF_0207,1,1,5
github:dom96/jester@8a491a8e28965ee9291f058963ff65571a315e84,nim,github,UASF_0151,1,1,36
github:dom96/jester@8a491a8e28965ee9291f058963ff65571a315e84,nim,github,UASF_0304,1,1,36
github:dom96/jester@8a491a8e28965ee9291f058963ff65571a315e84,nim,github,UASF_0306,1,1,106
github:dom96/jester@8a491a8e28965ee9291f058963ff65571a315e84,nim,github,UASF_0308,1,1,9
github:dom96/jester@8a491a8e28965ee9291f058963ff65571a315e84,nim,github,UASF_0223,1,1,3
github:dom96/jester@8a491a8e28965ee9291f058963ff65571a315e84,nim,github,UASF_0118,1,1,32
github:dom96/jester@8a491a8e28965ee9291f058963ff65571a315e84,nim,github,UASF_0305,1,1,19
github:yglukhov/nimpy@b07fc2c6f09fadb0ae224ce5bf66361ec3fe12e3,nim,github,UASF_0118,1,1,57
github:yglukhov/nimpy@b07fc2c6f09fadb0ae224ce5bf66361ec3fe12e3,nim,github,UASF_0026,1,1,1
github:yglukhov/nimpy@b07fc2c6f09fadb0ae224ce5bf66361ec3fe12e3,nim,github,UASF_0305,1,1,56
github:yglukhov/nimpy@b07fc2c6f09fadb0ae224ce5bf66361ec3fe12e3,nim,github,UASF_0207,1,2,68
github:yglukhov/nimpy@b07fc2c6f09fadb0ae224ce5bf66361ec3fe12e3,nim,github,UASF_0217,1,1,13
github:yglukhov/nimpy@b07fc2c6f09fadb0ae224ce5bf66361ec3fe12e3,nim,github,UASF_0183,1,3,41
github:yglukhov/nimpy@b07fc2c6f09fadb0ae224ce5bf66361ec3fe12e3,nim,github,UASF_0306,1,1,252
github:yglukhov/nimpy@b07fc2c6f09fadb0ae224ce5bf66361ec3fe12e3,nim,github,UASF_0304,1,1,34
github:yglukhov/nimpy@b07fc2c6f09fadb0ae224ce5bf66361ec3fe12e3,nim,github,UASF_0119,1,1,34
github:yglukhov/nimpy@b07fc2c6f09fadb0ae224ce5bf66361ec3fe12e3,nim,github,UASF_0309,1,1,7
github:yglukhov/nimpy@b07fc2c6f09fadb0ae224ce5bf66361ec3fe12e3,nim,github,UASF_0308,1,1,40
github:yglukhov/nimpy@b07fc2c6f09fadb0ae224ce5bf66361ec3fe12e3,nim,github,UASF_0223,1,1,19
github:mratsim/Arraymancer@d3b67712a3334ab4ded2809cc793e9cd7fed5fae,nim,github,UASF_0217,1,1,114
github:mratsim/Arraymancer@d3b67712a3334ab4ded2809cc793e9cd7fed5fae,nim,github,UASF_0207,1,2,315
github:mratsim/Arraymancer@d3b67712a3334ab4ded2809cc793e9cd7fed5fae,nim,github,UASF_0183,1,3,104
github:mratsim/Arraymancer@d3b67712a3334ab4ded2809cc793e9cd7fed5fae,nim,github,UASF_0306,1,1,1586
github:mratsim/Arraymancer@d3b67712a3334ab4ded2809cc793e9cd7fed5fae,nim,github,UASF_0304,1,1,539
github:mratsim/Arraymancer@d3b67712a3334ab4ded2809cc793e9cd7fed5fae,nim,github,UASF_0305,1,1,1122
github:mratsim/Arraymancer@d3b67712a3334ab4ded2809cc793e9cd7fed5fae,nim,github,UASF_0309,1,1,35
github:mratsim/Arraymancer@d3b67712a3334ab4ded2809cc793e9cd7fed5fae,nim,github,UASF_0308,1,1,100
github:mratsim/Arraymancer@d3b67712a3334ab4ded2809cc793e9cd7fed5fae,nim,github,UASF_0118,1,1,632
github:mratsim/Arraymancer@d3b67712a3334ab4ded2809cc793e9cd7fed5fae,nim,github,UASF_0119,1,1,307
github:mratsim/Arraymancer@d3b67712a3334ab4ded2809cc793e9cd7fed5fae,nim,github,UASF_0026,1,1,1
github:mratsim/Arraymancer@d3b67712a3334ab4ded2809cc793e9cd7fed5fae,nim,github,UASF_0223,1,1,64
github:planety/prologue@01edc251595ff696045a4c38c5034d145bd0fe89,nim,github,UASF_0183,1,2,72
github:planety/prologue@01edc251595ff696045a4c38c5034d145bd0fe89,nim,github,UASF_0118,1,1,62
github:planety/prologue@01edc251595ff696045a4c38c5034d145bd0fe89,nim,github,UASF_0151,1,1,225
github:planety/prologue@01edc251595ff696045a4c38c5034d145bd0fe89,nim,github,UASF_0306,1,1,653
github:planety/prologue@01edc251595ff696045a4c38c5034d145bd0fe89,nim,github,UASF_0217,1,1,8
github:planety/prologue@01edc251595ff696045a4c38c5034d145bd0fe89,nim,github,UASF_0309,1,1,8
github:planety/prologue@01edc251595ff696045a4c38c5034d145bd0fe89,nim,github,UASF_0305,1,1,155
github:planety/prologue@01edc251595ff696045a4c38c5034d145bd0fe89,nim,github,UASF_0119,1,1,23
github:planety/prologue@01edc251595ff696045a4c38c5034d145bd0fe89,nim,github,UASF_0304,1,1,512
github:planety/prologue@01edc251595ff696045a4c38c5034d145bd0fe89,nim,github,UASF_0308,1,1,58
github:planety/prologue@01edc251595ff696045a4c38c5034d145bd0fe89,nim,github,UASF_0026,1,1,2
github:planety/prologue@01edc251595ff696045a4c38c5034d145bd0fe89,nim,github,UASF_0207,1,1,19
github:planety/prologue@01edc251595ff696045a4c38c5034d145bd0fe89,nim,github,UASF_0223,1,1,19
github:karaxnim/karax@fa5fdef42b3dd290880b3e4892e52385b892cfcb,nim,github,UASF_0305,1,1,101
github:karaxnim/karax@fa5fdef42b3dd290880b3e4892e52385b892cfcb,nim,github,UASF_0026,1,1,5
github:karaxnim/karax@fa5fdef42b3dd290880b3e4892e52385b892cfcb,nim,github,UASF_0207,1,1,83
github:karaxnim/karax@fa5fdef42b3dd290880b3e4892e52385b892cfcb,nim,github,UASF_0183,1,2,5
github:karaxnim/karax@fa5fdef42b3dd290880b3e4892e52385b892cfcb,nim,github,UASF_0306,1,1,828
github:karaxnim/karax@fa5fdef42b3dd290880b3e4892e52385b892cfcb,nim,github,UASF_0304,1,1,96
github:karaxnim/karax@fa5fdef42b3dd290880b3e4892e52385b892cfcb,nim,github,UASF_0308,1,1,83
github:karaxnim/karax@fa5fdef42b3dd290880b3e4892e52385b892cfcb,nim,github,UASF_0217,1,1,6
github:karaxnim/karax@fa5fdef42b3dd290880b3e4892e52385b892cfcb,nim,github,UASF_0118,1,1,103
github:karaxnim/karax@fa5fdef42b3dd290880b3e4892e52385b892cfcb,nim,github,UASF_0309,1,1,28
github:karaxnim/karax@fa5fdef42b3dd290880b3e4892e52385b892cfcb,nim,github,UASF_0223,1,1,12
github:karaxnim/karax@fa5fdef42b3dd290880b3e4892e52385b892cfcb,nim,github,UASF_0119,1,1,58
github:karaxnim/karax@fa5fdef42b3dd290880b3e4892e52385b892cfcb,nim,github,UASF_0151,1,1,23
github:Alamofire/Alamofire@0455bfb650893e86ad07ace16e5f2d36dadf46f4,swift,github,UASF_0048,1,1,19
github:Alamofire/Alamofire@0455bfb650893e86ad07ace16e5f2d36dadf46f4,swift,github,UASF_0182,1,1,138
github:Alamofire/Alamofire@0455bfb650893e86ad07ace16e5f2d36dadf46f4,swift,github,UASF_0219,1,1,998
github:Alamofire/Alamofire@0455bfb650893e86ad07ace16e5f2d36dadf46f4,swift,github,UASF_0307,1,1,29
github:Alamofire/Alamofire@0455bfb650893e86ad07ace16e5f2d36dadf46f4,swift,github,UASF_0311,1,1,189
github:Alamofire/Alamofire@0455bfb650893e86ad07ace16e5f2d36dadf46f4,swift,github,UASF_0217,1,1,966
github:Alamofire/Alamofire@0455bfb650893e86ad07ace16e5f2d36dadf46f4,swift,github,UASF_0151,1,1,257
github:Alamofire/Alamofire@0455bfb650893e86ad07ace16e5f2d36dadf46f4,swift,github,UASF_0183,1,3,713
github:Alamofire/Alamofire@0455bfb650893e86ad07ace16e5f2d36dadf46f4,swift,github,UASF_0306,1,1,1888
github:Alamofire/Alamofire@0455bfb650893e86ad07ace16e5f2d36dadf46f4,swift,github,UASF_0305,1,1,948
github:Alamofire/Alamofire@0455bfb650893e86ad07ace16e5f2d36dadf46f4,swift,github,UASF_0308,1,1,111
github:Alamofire/Alamofire@0455bfb650893e86ad07ace16e5f2d36dadf46f4,swift,github,UASF_0222,1,1,139
github:Alamofire/Alamofire@0455bfb650893e86ad07ace16e5f2d36dadf46f4,swift,github,UASF_0301,1,1,630
github:Alamofire/Alamofire@0455bfb650893e86ad07ace16e5f2d36dadf46f4,swift,github,UASF_0304,1,1,183
github:Alamofire/Alamofire@0455bfb650893e86ad07ace16e5f2d36dadf46f4,swift,github,UASF_0208,1,1,1498
github:Alamofire/Alamofire@0455bfb650893e86ad07ace16e5f2d36dadf46f4,swift,github,UASF_0309,1,1,77
github:vapor/vapor@4813c31be404e8efe90dc09cc5568aaa6634e2ed,swift,github,UASF_0305,1,1,466
github:vapor/vapor@4813c31be404e8efe90dc09cc5568aaa6634e2ed,swift,github,UASF_0048,1,1,5
github:vapor/vapor@4813c31be404e8efe90dc09cc5568aaa6634e2ed,swift,github,UASF_0217,1,1,1006
github:vapor/vapor@4813c31be404e8efe90dc09cc5568aaa6634e2ed,swift,github,UASF_0311,1,1,47
github:vapor/vapor@4813c31be404e8efe90dc09cc5568aaa6634e2ed,swift,github,UASF_0301,1,1,803
github:vapor/vapor@4813c31be404e8efe90dc09cc5568aaa6634e2ed,swift,github,UASF_0304,1,1,805
github:vapor/vapor@4813c31be404e8efe90dc09cc5568aaa6634e2ed,swift,github,UASF_0309,1,1,62
github:vapor/vapor@4813c31be404e8efe90dc09cc5568aaa6634e2ed,swift,github,UASF_0308,1,1,426
github:vapor/vapor@4813c31be404e8efe90dc09cc5568aaa6634e2ed,swift,github,UASF_0182,1,1,127
github:vapor/vapor@4813c31be404e8efe90dc09cc5568aaa6634e2ed,swift,github,UASF_0151,1,1,800
github:vapor/vapor@4813c31be404e8efe90dc09cc5568aaa6634e2ed,swift,github,UASF_0219,1,1,673
github:vapor/vapor@4813c31be404e8efe90dc09cc5568aaa6634e2ed,swift,github,UASF_0183,1,3,2730
github:vapor/vapor@4813c31be404e8efe90dc09cc5568aaa6634e2ed,swift,github,UASF_0306,1,1,1521
github:vapor/vapor@4813c31be404e8efe90dc09cc5568aaa6634e2ed,swift,github,UASF_0222,1,1,1956
github:vapor/vapor@4813c31be404e8efe90dc09cc5568aaa6634e2ed,swift,github,UASF_0307,1,1,43
github:vapor/vapor@4813c31be404e8efe90dc09cc5568aaa6634e2ed,swift,github,UASF_0208,1,1,552
github:onevcat/Kingfisher@be0d257b9bd47a4e6e1265fc8c237411825f107a,swift,github,UASF_0304,1,1,345
github:onevcat/Kingfisher@be0d257b9bd47a4e6e1265fc8c237411825f107a,swift,github,UASF_0309,1,1,45
github:onevcat/Kingfisher@be0d257b9bd47a4e6e1265fc8c237411825f107a,swift,github,UASF_0301,1,1,435
github:onevcat/Kingfisher@be0d257b9bd47a4e6e1265fc8c237411825f107a,swift,github,UASF_0217,1,1,615
github:onevcat/Kingfisher@be0d257b9bd47a4e6e1265fc8c237411825f107a,swift,github,UASF_0219,1,1,834
github:onevcat/Kingfisher@be0d257b9bd47a4e6e1265fc8c237411825f107a,swift,github,UASF_0307,1,1,34
github:onevcat/Kingfisher@be0d257b9bd47a4e6e1265fc8c237411825f107a,swift,github,UASF_0208,1,1,891
github:onevcat/Kingfisher@be0d257b9bd47a4e6e1265fc8c237411825f107a,swift,github,UASF_0048,1,1,22
github:onevcat/Kingfisher@be0d257b9bd47a4e6e1265fc8c237411825f107a,swift,github,UASF_0182,1,1,65
github:onevcat/Kingfisher@be0d257b9bd47a4e6e1265fc8c237411825f107a,swift,github,UASF_0183,1,3,403
github:onevcat/Kingfisher@be0d257b9bd47a4e6e1265fc8c237411825f107a,swift,github,UASF_0305,1,1,344
github:onevcat/Kingfisher@be0d257b9bd47a4e6e1265fc8c237411825f107a,swift,github,UASF_0151,1,1,272
github:onevcat/Kingfisher@be0d257b9bd47a4e6e1265fc8c237411825f107a,swift,github,UASF_0306,1,1,1379
github:onevcat/Kingfisher@be0d257b9bd47a4e6e1265fc8c237411825f107a,swift,github,UASF_0308,1,1,130
github:onevcat/Kingfisher@be0d257b9bd47a4e6e1265fc8c237411825f107a,swift,github,UASF_0222,1,1,178
github:onevcat/Kingfisher@be0d257b9bd47a4e6e1265fc8c237411825f107a,swift,github,UASF_0311,1,1,170
github:rxhanson/Rectangle@e5f06cbf7a2e040a3d65a7c2e2cef2eceffc7ffe,swift,github,UASF_0309,1,1,35
github:rxhanson/Rectangle@e5f06cbf7a2e040a3d65a7c2e2cef2eceffc7ffe,swift,github,UASF_0208,1,1,490
github:rxhanson/Rectangle@e5f06cbf7a2e040a3d65a7c2e2cef2eceffc7ffe,swift,github,UASF_0311,1,1,208
github:rxhanson/Rectangle@e5f06cbf7a2e040a3d65a7c2e2cef2eceffc7ffe,swift,github,UASF_0307,1,1,18
github:rxhanson/Rectangle@e5f06cbf7a2e040a3d65a7c2e2cef2eceffc7ffe,swift,github,UASF_0219,1,1,1320
github:rxhanson/Rectangle@e5f06cbf7a2e040a3d65a7c2e2cef2eceffc7ffe,swift,github,UASF_0151,1,1,13
github:rxhanson/Rectangle@e5f06cbf7a2e040a3d65a7c2e2cef2eceffc7ffe,swift,github,UASF_0048,1,1,11
github:rxhanson/Rectangle@e5f06cbf7a2e040a3d65a7c2e2cef2eceffc7ffe,swift,github,UASF_0305,1,1,86
github:rxhanson/Rectangle@e5f06cbf7a2e040a3d65a7c2e2cef2eceffc7ffe,swift,github,UASF_0301,1,1,142
github:rxhanson/Rectangle@e5f06cbf7a2e040a3d65a7c2e2cef2eceffc7ffe,swift,github,UASF_0304,1,1,213
github:rxhanson/Rectangle@e5f06cbf7a2e040a3d65a7c2e2cef2eceffc7ffe,swift,github,UASF_0183,1,2,88
github:rxhanson/Rectangle@e5f06cbf7a2e040a3d65a7c2e2cef2eceffc7ffe,swift,github,UASF_0308,1,1,56
github:rxhanson/Rectangle@e5f06cbf7a2e040a3d65a7c2e2cef2eceffc7ffe,swift,github,UASF_0182,1,1,95
github:rxhanson/Rectangle@e5f06cbf7a2e040a3d65a7c2e2cef2eceffc7ffe,swift,github,UASF_0306,1,1,1353
github:rxhanson/Rectangle@e5f06cbf7a2e040a3d65a7c2e2cef2eceffc7ffe,swift,github,UASF_0217,1,1,115
github:apple/container@97a0c11a6e8969538cb7b42dbbddbb23a43607f8,swift,github,UASF_0306,1,1,2551
github:apple/container@97a0c11a6e8969538cb7b42dbbddbb23a43607f8,swift,github,UASF_0309,1,1,107
github:apple/container@97a0c11a6e8969538cb7b42dbbddbb23a43607f8,swift,github,UASF_0305,1,1,495
github:apple/container@97a0c11a6e8969538cb7b42dbbddbb23a43607f8,swift,github,UASF_0301,1,1,1620
github:apple/container@97a0c11a6e8969538cb7b42dbbddbb23a43607f8,swift,github,UASF_0217,1,1,733
github:apple/container@97a0c11a6e8969538cb7b42dbbddbb23a43607f8,swift,github,UASF_0183,1,3,7055
github:apple/container@97a0c11a6e8969538cb7b42dbbddbb23a43607f8,swift,github,UASF_0219,1,1,1530
github:apple/container@97a0c11a6e8969538cb7b42dbbddbb23a43607f8,swift,github,UASF_0151,1,1,1299
github:apple/container@97a0c11a6e8969538cb7b42dbbddbb23a43607f8,swift,github,UASF_0308,1,1,500
github:apple/container@97a0c11a6e8969538cb7b42dbbddbb23a43607f8,swift,github,UASF_0182,1,1,316
github:apple/container@97a0c11a6e8969538cb7b42dbbddbb23a43607f8,swift,github,UASF_0304,1,1,1709
github:apple/container@97a0c11a6e8969538cb7b42dbbddbb23a43607f8,swift,github,UASF_0222,1,1,1796
github:apple/container@97a0c11a6e8969538cb7b42dbbddbb23a43607f8,swift,github,UASF_0311,1,1,33
github:apple/container@97a0c11a6e8969538cb7b42dbbddbb23a43607f8,swift,github,UASF_0208,1,1,720
github:apple/container@97a0c11a6e8969538cb7b42dbbddbb23a43607f8,swift,github,UASF_0048,1,1,6
github:apple/container@97a0c11a6e8969538cb7b42dbbddbb23a43607f8,swift,github,UASF_0307,1,1,30
github:kodecocodes/swift-algorithm-club@05c6d0bc5fa9484dd29eb324603b3452f4f44f39,swift,github,UASF_0304,1,1,237
github:kodecocodes/swift-algorithm-club@05c6d0bc5fa9484dd29eb324603b3452f4f44f39,swift,github,UASF_0308,1,1,117
github:kodecocodes/swift-algorithm-club@05c6d0bc5fa9484dd29eb324603b3452f4f44f39,swift,github,UASF_0151,1,1,23
github:kodecocodes/swift-algorithm-club@05c6d0bc5fa9484dd29eb324603b3452f4f44f39,swift,github,UASF_0208,1,1,1092
github:kodecocodes/swift-algorithm-club@05c6d0bc5fa9484dd29eb324603b3452f4f44f39,swift,github,UASF_0305,1,1,1190
github:kodecocodes/swift-algorithm-club@05c6d0bc5fa9484dd29eb324603b3452f4f44f39,swift,github,UASF_0048,1,1,3
github:kodecocodes/swift-algorithm-club@05c6d0bc5fa9484dd29eb324603b3452f4f44f39,swift,github,UASF_0217,1,1,103
github:kodecocodes/swift-algorithm-club@05c6d0bc5fa9484dd29eb324603b3452f4f44f39,swift,github,UASF_0309,1,1,34
