language_id,element_type,element_id,observed_via_semantics,semantic_package_evidence,semantic_occurrences,ecosystems
r,structure,SymbolRef,1,601,133486,cran
swift,facet,UASF_0048,1,6,66,github
swift,facet,UASF_0151,1,6,2664,github
swift,facet,UASF_0182,1,6,1327,github
swift,facet,UASF_0183,1,6,11105,github
swift,facet,UASF_0208,1,6,5243,github
swift,facet,UASF_0217,1,6,3538,github
swift,facet,UASF_0219,1,6,6111,github
swift,facet,UASF_0222,1,4,4069,github
swift,facet,UASF_0301,1,6,3634,github
swift,facet,UASF_0304,1,6,3492,github
swift,facet,UASF_0305,1,6,3529,github
swift,facet,UASF_0306,1,6,10463,github
swift,facet,UASF_0307,1,6,188,github
swift,facet,UASF_0308,1,6,1340,github
swift,facet,UASF_0309,1,6,360,github
swift,facet,UASF_0311,1,6,838,github
swift,field,attributes,1,94,57967,github
swift,field,binding_refs,1,66,33559,github
swift,field,branches,1,28,29628,github
swift,field,candidates,1,6,188,github
swift,field,concurrency_contract,1,10,6733,github
swift,field,condition,1,28,29628,github
swift,field,conversion,1,6,5243,github
swift,field,dispatch,1,6,188,github
swift,field,effects,1,28,30502,github
swift,field,evaluation_order,1,28,26150,github
swift,field,extensions,1,94,57967,github
swift,field,id,1,94,57967,github
swift,field,kind,1,94,57967,github
swift,field,layout,1,12,1700,github
swift,field,members,1,12,1700,github
swift,field,memory_order,1,10,6733,github
swift,field,name,1,48,23844,github
swift,field,operands,1,28,25508,github
swift,field,operation,1,16,13718,github
swift,field,results,1,28,25508,github
swift,field,scope_id,1,54,23910,github
swift,field,semantic_facets,1,94,57967,github
swift,field,source_span,1,94,57967,github
swift,field,symbol,1,54,29565,github
swift,field,synchronization,1,10,6733,github
swift,field,type_origin,1,6,5243,github
swift,field,type_ref,1,54,29087,github
swift,field,type_shape,1,54,29087,github
swift,field,value,1,16,13718,github
swift,relation,annotation.applies,1,6,3634,github
swift,relation,binding.declares,1,54,29565,github
swift,relation,binding.refers,1,54,29565,github
swift,relation,binding.shadows,1,54,29565,github
swift,relation,capture.captures,1,42,19925,github
swift,relation,concurrency.atomic_order,1,10,6733,github
swift,relation,concurrency.communicates,1,10,6733,github
swift,relation,concurrency.spawns,1,10,6733,github
swift,relation,concurrency.synchronizes,1,10,6733,github
swift,relation,control.false,1,28,29628,github
swift,relation,control.loop_back,1,28,29628,github
swift,relation,control.next,1,28,29628,github
swift,relation,control.true,1,28,29628,github
swift,relation,conversion.converts,1,6,5243,github
swift,relation,data.def_use,1,18,17901,github
swift,relation,data.operand,1,18,17901,github
swift,relation,data.result,1,18,17901,github
swift,relation,dispatch.resolves,1,6,188,github
swift,relation,effect.has,1,28,30502,github
swift,relation,evaluation.before,1,28,26150,github
swift,relation,layout.field,1,12,1700,github
swift,relation,name.resolves,1,54,29565,github
swift,relation,operation.kind,1,16,13718,github
swift,relation,overload.candidate,1,6,188,github
swift,relation,scope.parent,1,30,16321,github
swift,relation,type.constraint,1,36,11498,github
swift,relation,type.convert,1,36,11498,github
swift,relation,type.has,1,36,11498,github
swift,relation,type.origin,1,36,11498,github
swift,relation,type.parameter,1,36,11498,github
swift,structure,Annotation,1,6,3634,github
swift,structure,ArraySliceType,1,6,5243,github
swift,structure,AwaitExpr,1,4,4069,github
swift,structure,BindingPattern,1,6,6111,github
swift,structure,BoolType,1,6,5243,github
swift,structure,CaptureRelation,1,6,66,github
swift,structure,ClosureExpr,1,6,3538,github
swift,structure,ConcurrencyOp,1,6,2664,github
swift,structure,DeferCleanupStmt,1,6,11105,github
swift,structure,FloatType,1,6,5243,github
swift,structure,FunctionDecl,1,6,10463,github
swift,structure,GenericParamDecl,1,6,3529,github
swift,structure,IfStmt,1,6,1327,github
swift,structure,ImportDecl,1,6,3492,github
swift,structure,IntegerType,1,6,5243,github
swift,structure,InterfaceTypeDecl,1,6,188,github
swift,structure,LoopStmt,1,6,1327,github
swift,structure,MemberAccessExpr,1,6,6111,github
swift,structure,ModuleDecl,1,6,3492,github
swift,structure,NominalTypeDecl,1,6,838,github
swift,structure,OptionalType,1,6,5243,github
swift,structure,ParameterDecl,1,6,3492,github
swift,structure,RaisePanicStmt,1,6,11105,github
swift,structure,RecordTypeDecl,1,6,1340,github
swift,structure,StringType,1,6,5243,github
swift,structure,SymbolRef,1,6,6111,github
swift,structure,TryStmt,1,6,11105,github
swift,structure,TupleType,1,6,5243,github
swift,structure,TypeRelation,1,6,5243,github
swift,structure,VariantTypeDecl,1,6,360,github
zig,facet,UASF_0022,1,5,2218,github
zig,facet,UASF_0024,1,5,4815,github
zig,facet,UASF_0118,1,5,5093,github
zig,facet,UASF_0153,1,4,6,github
zig,facet,UASF_0154,1,5,68,github
zig,facet,UASF_0178,1,5,5857,github
zig,facet,UASF_0183,1,5,77948,github
zig,facet,UASF_0206,1,5,587,github
zig,facet,UASF_0208,1,5,11885,github
zig,facet,UASF_0219,1,5,18345,github
zig,facet,UASF_0305,1,5,769,github
zig,facet,UASF_0306,1,5,23722,github
zig,facet,UASF_0308,1,5,6443,github
zig,facet,UASF_0309,1,5,1280,github
zig,field,abi_contract,1,10,7033,github
zig,field,attributes,1,69,159036,github
zig,field,binding_refs,1,30,56416,github
zig,field,branches,1,15,107527,github
zig,field,calling_convention,1,10,7033,github
zig,field,compiletime_contract,1,5,5093,github
zig,field,concurrency_contract,1,9,74,github
zig,field,condition,1,15,107527,github
zig,field,conversion,1,10,12472,github
zig,field,dialect,1,5,5093,github
zig,field,effects,1,34,114634,github
zig,field,evaluation_order,1,15,102150,github
zig,field,extensions,1,69,159036,github
zig,field,id,1,69,159036,github
zig,field,kind,1,69,159036,github
zig,field,layout,1,15,8310,github
zig,field,lifetime,1,15,7101,github
zig,field,lowering,1,5,5093,github
zig,field,members,1,15,8310,github
zig,field,memory_model,1,10,7033,github
zig,field,memory_order,1,9,74,github
zig,field,name,1,20,32214,github
zig,field,operands,1,20,53017,github
zig,field,operation,1,5,18345,github
zig,field,ownership,1,15,7101,github
zig,field,provenance,1,10,4883,github
zig,field,results,1,20,53017,github
zig,field,scope_id,1,20,32214,github
zig,field,semantic_facets,1,69,159036,github
zig,field,source_span,1,69,159036,github
zig,field,storage,1,10,4883,github
zig,field,symbol,1,25,55136,github
zig,field,synchronization,1,9,74,github
zig,field,type_origin,1,10,12472,github
zig,field,type_ref,1,30,44686,github
zig,field,type_shape,1,30,44686,github
zig,field,value,1,5,18345,github
zig,relation,abi.calls,1,5,2218,github
zig,relation,binding.declares,1,25,55136,github
zig,relation,binding.refers,1,25,55136,github
zig,relation,binding.shadows,1,25,55136,github
zig,relation,capture.captures,1,10,30165,github
zig,relation,compiletime.depends,1,5,5093,github
zig,relation,concurrency.atomic_order,1,9,74,github
zig,relation,concurrency.communicates,1,9,74,github
zig,relation,concurrency.spawns,1,9,74,github
zig,relation,concurrency.synchronizes,1,9,74,github
zig,relation,control.false,1,15,107527,github
zig,relation,control.loop_back,1,15,107527,github
zig,relation,control.next,1,15,107527,github
zig,relation,control.true,1,15,107527,github
zig,relation,conversion.converts,1,10,12472,github
zig,relation,data.def_use,1,20,53017,github
zig,relation,data.operand,1,20,53017,github
zig,relation,data.result,1,20,53017,github
zig,relation,dialect.requires,1,5,5093,github
zig,relation,effect.has,1,29,108777,github
zig,relation,evaluation.before,1,15,102150,github
zig,relation,layout.field,1,15,8310,github
zig,relation,memory.aliases,1,10,4883,github
zig,relation,memory.borrows,1,10,4883,github
zig,relation,memory.owns,1,10,4883,github
zig,relation,name.resolves,1,25,55136,github
zig,relation,operation.kind,1,5,18345,github
zig,relation,scope.parent,1,10,30165,github
zig,relation,storage.resides_in,1,10,4883,github
zig,relation,type.constraint,1,25,20964,github
zig,relation,type.convert,1,25,20964,github
zig,relation,type.has,1,25,20964,github
zig,relation,type.origin,1,25,20964,github
zig,relation,type.parameter,1,25,20964,github
zig,structure,ArraySliceType,1,5,11885,github
zig,structure,AtomicOp,1,5,68,github
zig,structure,BindingPattern,1,5,18345,github
zig,structure,BoolType,1,5,11885,github
zig,structure,CompileTimeEval,1,5,5093,github
zig,structure,ConcurrencyOp,1,4,6,github
zig,structure,DeferCleanupStmt,1,5,77948,github
zig,structure,FloatType,1,5,11885,github
zig,structure,ForeignDeclCall,1,5,2218,github
zig,structure,FunctionDecl,1,5,23722,github
zig,structure,GenericParamDecl,1,5,769,github
zig,structure,IntegerType,1,5,11885,github
zig,structure,MemberAccessExpr,1,5,18345,github
zig,structure,MemoryManagement,1,5,4815,github
zig,structure,OptionalType,1,5,11885,github
zig,structure,RaisePanicStmt,1,5,77948,github
zig,structure,RecordTypeDecl,1,5,6443,github
zig,structure,SafetyRegion,1,5,4815,github
zig,structure,StringType,1,5,11885,github
zig,structure,SwitchMatchStmt,1,5,5857,github
zig,structure,SymbolRef,1,5,18345,github
zig,structure,SynchronizationOp,1,4,6,github
zig,structure,TryStmt,1,5,77948,github
zig,structure,TupleType,1,5,11885,github
zig,structure,TypeRelation,1,5,11885,github
zig,structure,UnionVariantType,1,5,587,github
zig,structure,VariantTypeDecl,1,5,1280,github
